"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06073","0","10","70","0","2019","1","","San Diego County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",113830,1459715,1468734,1472109,23825015164,6879024977,284412357,1249,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3873,3.5,21777,1.5,19759,1.4,20182,1.4,962751597,4.2,175011082,2.6,-5308191,-1.8,33,2.7
"06073","0","10","70","0","2019","2","","San Diego County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",115506,1479518,1486428,1491022,22955014055,1523354271,57936538,1189,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4102,3.7,18940,1.3,21993,1.5,19211,1.3,1280159628,5.9,28538356,1.9,-1264301,-2.1,51,4.5
"06073","1","10","71","0","2019","1","","San Diego County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",247,47612,47552,47444,978614839,0,0,1584,"",0.37,1.70,1.69,1.69,1.66,0.00,0.00,0.98,"",-2,-0.8,841,1.8,905,1.9,910,2.0,-5683170,-0.6,0,0.0,0,0.0,-39,-2.4
"06073","1","10","71","0","2019","2","","San Diego County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",246,47543,47057,47060,1110040255,0,0,1808,"",0.36,1.69,1.67,1.66,1.71,0.00,0.00,1.02,"",-2,-0.8,780,1.7,437,0.9,316,0.7,52758720,5.0,0,0.0,0,0.0,67,3.8
"06073","1","102","72","0","2019","1","","San Diego County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",247,47612,47552,47444,978614839,0,0,1584,"",0.37,1.74,1.72,1.72,1.70,0.00,0.00,0.98,"",-2,-0.8,841,1.8,905,1.9,910,2.0,-5683170,-0.6,0,0.0,0,0.0,-39,-2.4
"06073","1","102","72","0","2019","2","","San Diego County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",246,47543,47057,47060,1110040255,0,0,1808,"",0.37,1.73,1.70,1.70,1.74,0.00,0.00,1.02,"",-2,-0.8,780,1.7,437,0.9,316,0.7,52758720,5.0,0,0.0,0,0.0,67,3.8
"06073","1","1021","73","0","2019","1","","San Diego County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",110,7282,7217,7176,95005728,0,0,1012,"",0.33,1.08,1.06,1.06,0.91,0.00,0.00,0.85,"",-2,-1.8,-134,-1.8,-112,-1.5,-110,-1.5,1514465,1.6,0,0.0,0,0.0,33,3.4
"06073","1","1021","73","0","2019","2","","San Diego County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",111,7207,7151,7133,103715746,0,0,1114,"",0.33,1.07,1.06,1.06,0.87,0.00,0.00,0.82,"",0,0.0,-123,-1.7,-109,-1.5,-125,-1.7,-912448,-0.9,0,0.0,0,0.0,9,0.8
"06073","1","1022","73","0","2019","1","","San Diego County, California","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,23069,0,0,1775,"",0.71,0.02,0.02,0.02,0.02,0.00,0.00,1.16,"",0,0.0,0,0.0,0,0.0,0,0.0,-3686,-13.8,0,0.0,0,0.0,-283,-13.8
"06073","1","1022","73","0","2019","2","","San Diego County, California","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,23975,0,0,1844,"",0.70,0.02,0.02,0.02,0.02,0.00,0.00,1.16,"",0,0.0,0,0.0,0,0.0,0,0.0,906,3.9,0,0.0,0,0.0,69,3.9
"06073","1","1023","73","0","2019","1","","San Diego County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,113158,0,0,2901,"",0.11,0.02,0.02,0.02,0.03,0.00,0.00,1.28,"",0,0.0,0,0.0,0,0.0,0,0.0,6643,6.2,0,0.0,0,0.0,170,6.2
"06073","1","1023","73","0","2019","2","","San Diego County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,103807,0,0,2662,"",0.11,0.02,0.02,0.02,0.03,0.00,0.00,1.12,"",0,0.0,0,0.0,0,0.0,0,0.0,5737,5.8,0,0.0,0,0.0,147,5.8
"06073","1","1024","73","0","2019","1","","San Diego County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",13,2405,2414,2416,50101880,0,0,1598,"",0.79,3.61,3.62,3.62,3.15,0.00,0.00,0.87,"",0,0.0,128,5.6,145,6.4,136,6.0,2228321,4.7,0,0.0,0,0.0,-20,-1.2
"06073","1","1024","73","0","2019","2","","San Diego County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",13,2391,2417,2422,61792999,0,0,1972,"",0.79,3.61,3.60,3.57,3.80,0.00,0.00,1.06,"",0,0.0,107,4.7,108,4.7,94,4.0,6440273,11.6,0,0.0,0,0.0,126,6.8
"06073","1","1025","73","0","2019","1","","San Diego County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,7102,7128,7130,155763531,0,0,1683,"",0.33,1.69,1.69,1.69,1.79,0.00,0.00,1.06,"",0,0.0,95,1.4,93,1.3,71,1.0,7179979,4.8,0,0.0,0,0.0,58,3.6
