"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06079","0","10","70","0","2019","1","","San Luis Obispo County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10566,116803,118326,119650,1500324495,510599019,19422918,976,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",281,2.7,2152,1.9,792,0.7,2269,1.9,113277255,8.2,-201074,0.0,-1025979,-5.0,60,6.6
"06079","0","10","70","0","2019","2","","San Luis Obispo County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10633,121123,122258,122428,1505522631,143380523,5247977,950,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",234,2.3,2346,2.0,2357,2.0,2117,1.8,91377915,6.5,5381252,3.9,37051,0.7,41,4.5
"06079","1","10","71","0","2019","1","","San Luis Obispo County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",38,517,541,541,7408460,0,0,1069,"",0.61,0.23,0.24,0.24,0.20,0.00,0.00,0.85,"",1,2.7,-17,-3.2,13,2.5,-10,-1.8,-33352,-0.4,0,0.0,0,0.0,4,0.4
"06079","1","10","71","0","2019","2","","San Luis Obispo County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",38,533,564,563,8369314,0,0,1163,"",0.61,0.23,0.24,0.24,0.20,0.00,0.00,0.82,"",1,2.7,8,1.5,28,5.2,10,1.8,412885,5.2,0,0.0,0,0.0,25,2.2
"06079","1","102","72","0","2019","1","","San Luis Obispo County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",38,517,541,541,7408460,0,0,1069,"",0.61,0.24,0.24,0.24,0.20,0.00,0.00,0.85,"",1,2.7,-17,-3.2,13,2.5,-10,-1.8,-33352,-0.4,0,0.0,0,0.0,4,0.4
"06079","1","102","72","0","2019","2","","San Luis Obispo County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",38,533,564,563,8369314,0,0,1163,"",0.61,0.24,0.25,0.25,0.20,0.00,0.00,0.82,"",1,2.7,8,1.5,28,5.2,10,1.8,412885,5.2,0,0.0,0,0.0,25,2.2
"06079","1","1021","73","0","2019","1","","San Luis Obispo County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,366,381,380,5033424,0,0,1031,"",0.64,0.68,0.70,0.69,0.76,0.00,0.00,1.11,"",1,5.3,-3,-0.8,21,5.8,-2,-0.5,192009,4.0,0,0.0,0,0.0,25,2.5
"06079","1","1021","73","0","2019","2","","San Luis Obispo County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,368,379,375,5621222,0,0,1156,"",0.64,0.67,0.68,0.68,0.72,0.00,0.00,1.06,"",1,5.3,5,1.4,6,1.6,6,1.6,30985,0.6,0,0.0,0,0.0,-11,-0.9
"06079","1","1025","73","0","2019","1","","San Luis Obispo County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,19,19,20,572239,0,0,2277,"",0.71,0.06,0.06,0.06,0.10,0.00,0.00,1.84,"",0,0.0,-9,-32.1,-9,-32.1,-6,-23.1,-92279,-13.9,0,0.0,0,0.0,407,21.8
"06079","1","1025","73","0","2019","2","","San Luis Obispo County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,19,19,18,663257,0,0,2733,"",0.71,0.06,0.05,0.05,0.10,0.00,0.00,1.86,"",0,0.0,1,5.6,2,11.8,1,5.9,64116,10.7,0,0.0,0,0.0,74,2.8
"06079","1","1026","73","0","2019","1","","San Luis Obispo County, California","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,23,25,26,170718,0,0,532,"",1.26,0.64,0.68,0.70,0.47,0.00,0.00,0.69,"",0,0.0,-7,-23.3,-6,-19.4,-5,-16.1,-4108,-2.3,0,0.0,0,0.0,93,21.2
"06079","1","1026","73","0","2019","2","","San Luis Obispo County, California","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,25,25,24,194466,0,0,606,"",1.27,0.66,0.60,0.56,0.48,0.00,0.00,0.80,"",0,0.0,-5,-16.7,-6,-19.4,-7,-22.6,-20726,-9.6,0,0.0,0,0.0,66,12.2
"06079","1","1028","73","0","2019","1","","San Luis Obispo County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,109,116,115,1632079,0,0,1108,"",0.60,0.09,0.09,0.09,0.07,0.00,0.00,0.78,"",0,0.0,2,1.9,7,6.4,3,2.7,-128974,-7.3,0,0.0,0,0.0,-131,-10.6
"06079","1","1028","73","0","2019","2","","San Luis Obispo County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,121,141,146,1890369,0,0,1069,"",0.60,0.10,0.11,0.12,0.07,0.00,0.00,0.68,"",0,0.0,7,6.1,26,22.6,10,7.4,338510,21.8,0,0.0,0,0.0,88,9.0
"06079","1","48-49","74","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",20,366,381,380,5033424,0,0,1031,"",0.66,0.74,0.76,0.75,0.82,0.00,0.00,1.09,"",1,5.3,-3,-0.8,21,5.8,-2,-0.5,192009,4.0,0,0.0,0,0.0,25,2.5
"06079","1","48-49","74","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",20,368,379,375,5621222,0,0,1156,"",0.66,0.73,0.74,0.74,0.77,0.00,0.00,1.04,"",1,5.3,5,1.4,6,1.6,6,1.6,30985,0.6,0,0.0,0,0.0,-11,-0.9
"06079","1","491","75","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,366,381,380,5033424,0,0,1031,"",0.66,0.76,0.78,0.77,0.86,0.00,0.00,1.12,"",1,5.3,-3,-0.8,21,5.8,-2,-0.5,192009,4.0,0,0.0,0,0.0,25,2.5
"06079","1","491","75","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,368,379,375,5621222,0,0,1156,"",0.66,0.74,0.76,0.75,0.80,0.00,0.00,1.06,"",1,5.3,5,1.4,6,1.6,6,1.6,30985,0.6,0,0.0,0,0.0,-11,-0.9
"06079","1","4911","76","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",20,366,381,380,5033424,0,0,1031,"",0.66,0.76,0.78,0.77,0.86,0.00,0.00,1.12,"",1,5.3,-3,-0.8,21,5.8,-2,-0.5,192009,4.0,0,0.0,0,0.0,25,2.5
"06079","1","4911","76","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",20,368,379,375,5621222,0,0,1156,"",0.66,0.74,0.76,0.75,0.80,0.00,0.00,1.06,"",1,5.3,5,1.4,6,1.6,6,1.6,30985,0.6,0,0.0,0,0.0,-11,-0.9
"06079","1","49111","77","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",20,366,381,380,5033424,0,0,1031,"",0.66,0.76,0.78,0.77,0.86,0.00,0.00,1.12,"",1,5.3,-3,-0.8,21,5.8,-2,-0.5,192009,4.0,0,0.0,0,0.0,25,2.5
"06079","1","49111","77","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",20,368,379,375,5621222,0,0,1156,"",0.66,0.74,0.76,0.75,0.80,0.00,0.00,1.06,"",1,5.3,5,1.4,6,1.6,6,1.6,30985,0.6,0,0.0,0,0.0,-11,-0.9
"06079","1","491110","78","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",20,366,381,380,5033424,0,0,1031,"",0.66,0.76,0.78,0.77,0.86,0.00,0.00,1.12,"",1,5.3,-3,-0.8,21,5.8,-2,-0.5,192009,4.0,0,0.0,0,0.0,25,2.5
"06079","1","491110","78","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",20,368,379,375,5621222,0,0,1156,"",0.66,0.74,0.76,0.75,0.80,0.00,0.00,1.06,"",1,5.3,5,1.4,6,1.6,6,1.6,30985,0.6,0,0.0,0,0.0,-11,-0.9
"06079","1","62","74","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,19,19,20,572239,0,0,2277,"",0.80,0.06,0.06,0.06,0.11,0.00,0.00,1.84,"",0,0.0,-9,-32.1,-9,-32.1,-6,-23.1,-92279,-13.9,0,0.0,0,0.0,407,21.8
"06079","1","62","74","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,19,19,18,663257,0,0,2733,"",0.80,0.06,0.06,0.05,0.10,0.00,0.00,1.86,"",0,0.0,1,5.6,2,11.8,1,5.9,64116,10.7,0,0.0,0,0.0,74,2.8
"06079","1","622","75","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,19,19,20,572239,0,0,2277,"",2.52,0.07,0.07,0.07,0.12,0.00,0.00,1.80,"",0,0.0,-9,-32.1,-9,-32.1,-6,-23.1,-92279,-13.9,0,0.0,0,0.0,407,21.8
"06079","1","622","75","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,19,19,18,663257,0,0,2733,"",2.52,0.07,0.07,0.06,0.12,0.00,0.00,1.82,"",0,0.0,1,5.6,2,11.8,1,5.9,64116,10.7,0,0.0,0,0.0,74,2.8
"06079","1","6221","76","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 6221 General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,19,19,20,572239,0,0,2277,"",2.57,0.07,0.07,0.07,0.12,0.00,0.00,1.79,"",0,0.0,-9,-32.1,-9,-32.1,-6,-23.1,-92279,-13.9,0,0.0,0,0.0,407,21.8
"06079","1","6221","76","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 6221 General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,19,19,18,663257,0,0,2733,"",2.56,0.07,0.07,0.06,0.12,0.00,0.00,1.81,"",0,0.0,1,5.6,2,11.8,1,5.9,64116,10.7,0,0.0,0,0.0,74,2.8
"06079","1","62211","77","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 62211 General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,19,19,20,572239,0,0,2277,"",2.57,0.07,0.07,0.07,0.12,0.00,0.00,1.79,"",0,0.0,-9,-32.1,-9,-32.1,-6,-23.1,-92279,-13.9,0,0.0,0,0.0,407,21.8
"06079","1","62211","77","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 62211 General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,19,19,18,663257,0,0,2733,"",2.56,0.07,0.07,0.06,0.12,0.00,0.00,1.81,"",0,0.0,1,5.6,2,11.8,1,5.9,64116,10.7,0,0.0,0,0.0,74,2.8
"06079","1","622110","78","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,19,19,20,572239,0,0,2277,"",2.57,0.07,0.07,0.07,0.12,0.00,0.00,1.79,"",0,0.0,-9,-32.1,-9,-32.1,-6,-23.1,-92279,-13.9,0,0.0,0,0.0,407,21.8
"06079","1","622110","78","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,19,19,18,663257,0,0,2733,"",2.56,0.07,0.07,0.06,0.12,0.00,0.00,1.81,"",0,0.0,1,5.6,2,11.8,1,5.9,64116,10.7,0,0.0,0,0.0,74,2.8
"06079","1","72","74","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,23,25,26,170718,0,0,532,"",4.78,3.07,3.27,3.39,4.18,0.00,0.00,1.29,"",0,0.0,-7,-23.3,-6,-19.4,-5,-16.1,-4108,-2.3,0,0.0,0,0.0,93,21.2
"06079","1","72","74","0","2019","2","","San Luis Obispo County, California","Federal Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,25,25,24,194466,0,0,606,"",4.83,3.21,3.18,3.04,4.34,0.00,0.00,1.38,"",0,0.0,-5,-16.7,-6,-19.4,-7,-22.6,-20726,-9.6,0,0.0,0,0.0,66,12.2
"06079","1","721","75","0","2019","1","","San Luis Obispo County, California","Federal Government","NAICS 721 Accommodation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,23,25,26,170718,0,0,532,"",9.42,5.25,5.68,5.86,6.45,0.00,0.00,1.15,"",0,0.0,-7,-23.3,-6,-19.4,-5,-16.1,-4108,-2.3,0,0.0,0,0.0,93,21.2
