"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06087","0","10","70","0","2019","1","","Santa Cruz County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9584,98453,100524,101640,1329408115,440826047,17666067,1021,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",155,1.6,668,0.7,630,0.6,1357,1.4,46639177,3.6,10612379,2.5,-309035,-1.7,28,2.8
"06087","0","10","70","0","2019","2","","Santa Cruz County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9678,105092,109147,112228,1426683929,150930423,6418585,1008,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",236,2.5,2311,2.2,2833,2.7,2280,2.1,65728561,4.8,2306646,1.6,-73866,-1.1,24,2.4
"06087","1","10","71","0","2019","1","","Santa Cruz County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,519,518,526,10393484,0,0,1535,"",0.50,0.28,0.27,0.27,0.32,0.00,0.00,1.17,"",1,3.7,-13,-2.4,-4,-0.8,2,0.4,4814,0.0,0,0.0,0,0.0,16,1.1
"06087","1","10","71","0","2019","2","","Santa Cruz County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,525,520,520,10939992,0,0,1613,"",0.50,0.26,0.25,0.24,0.27,0.00,0.00,1.07,"",1,3.7,5,1.0,-8,-1.5,-10,-1.9,575961,5.6,0,0.0,0,0.0,97,6.4
"06087","1","102","72","0","2019","1","","Santa Cruz County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,519,518,526,10393484,0,0,1535,"",0.50,0.28,0.27,0.28,0.32,0.00,0.00,1.16,"",1,3.7,-13,-2.4,-4,-0.8,2,0.4,4814,0.0,0,0.0,0,0.0,16,1.1
"06087","1","102","72","0","2019","2","","Santa Cruz County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,525,520,520,10939992,0,0,1613,"",0.50,0.27,0.26,0.25,0.28,0.00,0.00,1.07,"",1,3.7,5,1.0,-8,-1.5,-10,-1.9,575961,5.6,0,0.0,0,0.0,97,6.4
"06087","1","1021","73","0","2019","1","","Santa Cruz County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,312,310,315,4923233,0,0,1213,"",0.49,0.69,0.67,0.67,0.84,0.00,0.00,1.24,"",0,0.0,-11,-3.4,-6,-1.9,-1,-0.3,313968,6.8,0,0.0,0,0.0,99,8.9
"06087","1","1021","73","0","2019","2","","Santa Cruz County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,315,307,304,5741200,0,0,1431,"",0.49,0.66,0.62,0.60,0.77,0.00,0.00,1.24,"",0,0.0,-2,-0.6,-18,-5.5,-21,-6.5,334845,6.2,0,0.0,0,0.0,141,10.9
"06087","1","1024","73","0","2019","1","","Santa Cruz County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,48,48,50,1392248,0,0,2201,"",0.73,1.07,1.05,1.08,1.57,0.00,0.00,1.47,"",0,0.0,-1,-2.0,-1,-2.0,1,2.0,-280153,-16.8,0,0.0,0,0.0,-424,-16.2
"06087","1","1024","73","0","2019","2","","Santa Cruz County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,48,48,48,1378300,0,0,2209,"",0.72,1.02,0.97,0.94,1.37,0.00,0.00,1.40,"",0,0.0,-1,-2.0,-1,-2.0,-1,-2.0,-15960,-1.1,0,0.0,0,0.0,20,0.9
"06087","1","1025","73","0","2019","1","","Santa Cruz County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,12,12,271827,0,0,1695,"",0.78,0.05,0.04,0.04,0.06,0.00,0.00,1.31,"",0,0.0,-3,-18.8,-4,-25.0,-4,-25.0,-51524,-15.9,0,0.0,0,0.0,140,9.0
"06087","1","1025","73","0","2019","2","","Santa Cruz County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,13,14,338192,0,0,2001,"",0.78,0.04,0.04,0.04,0.05,0.00,0.00,1.28,"",0,0.0,0,0.0,1,8.3,1,7.7,6976,2.1,0,0.0,0,0.0,-65,-3.1
"06087","1","1027","73","0","2019","1","","Santa Cruz County, California","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,29904,0,0,2300,"",6.42,0.32,0.32,0.31,0.85,0.00,0.00,2.68,"",1,100.0,1,100.0,1,100.0,1,100.0,29904,100.0,0,0.0,0,0.0,2300,100.0
"06087","1","1027","73","0","2019","2","","Santa Cruz County, California","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,35524,0,0,2733,"",6.66,0.30,0.29,0.29,0.78,0.00,0.00,2.66,"",1,100.0,1,100.0,1,100.0,1,100.0,35524,100.0,0,0.0,0,0.0,2733,100.0
"06087","1","1028","73","0","2019","1","","Santa Cruz County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,145,147,148,3776272,0,0,1981,"",0.48,0.14,0.14,0.14,0.19,0.00,0.00,1.34,"",0,0.0,1,0.7,6,4.3,5,3.5,-7381,-0.2,0,0.0,0,0.0,-59,-2.9
"06087","1","1028","73","0","2019","2","","Santa Cruz County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,149,151,153,3446776,0,0,1756,"",0.48,0.14,0.13,0.13,0.14,0.00,0.00,1.06,"",0,0.0,7,4.9,9,6.3,10,7.0,214576,6.6,0,0.0,0,0.0,9,0.5
"06087","1","48-49","74","0","2019","1","","Santa Cruz County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,312,310,315,4923233,0,0,1213,"",0.51,0.75,0.73,0.73,0.90,0.00,0.00,1.23,"",0,0.0,-11,-3.4,-6,-1.9,-1,-0.3,313968,6.8,0,0.0,0,0.0,99,8.9
"06087","1","48-49","74","0","2019","2","","Santa Cruz County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,315,307,304,5741200,0,0,1431,"",0.51,0.72,0.67,0.65,0.83,0.00,0.00,1.22,"",0,0.0,-2,-0.6,-18,-5.5,-21,-6.5,334845,6.2,0,0.0,0,0.0,141,10.9
