"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06089","0","10","70","0","2019","1","","Shasta County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",7160,66060,64883,66127,721972357,272804955,12031114,845,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",211,3.0,580,0.9,-296,-0.5,858,1.3,24528525,3.5,5807715,2.2,-190151,-1.6,24,2.9
"06089","0","10","70","0","2019","2","","Shasta County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",7241,66947,68067,68762,743611048,81120016,3484307,842,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",202,2.9,827,1.3,1042,1.6,961,1.4,38975003,5.5,4715046,6.2,139554,4.2,33,4.1
"06089","1","10","71","0","2019","1","","Shasta County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",59,1173,1186,1176,20494929,0,0,1338,"",1.40,0.93,0.95,0.93,1.15,0.00,0.00,1.23,"",1,1.7,-35,-2.9,-12,-1.0,-20,-1.7,-1719078,-7.7,0,0.0,0,0.0,-85,-6.0
"06089","1","10","71","0","2019","2","","Shasta County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",59,1200,1313,1344,22297886,0,0,1334,"",1.40,0.94,1.02,1.03,1.06,0.00,0.00,1.06,"",0,0.0,-22,-1.8,50,4.0,-18,-1.3,-48193,-0.2,0,0.0,0,0.0,-6,-0.4
"06089","1","102","72","0","2019","1","","Shasta County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",59,1173,1186,1176,20494929,0,0,1338,"",1.40,0.95,0.97,0.95,1.17,0.00,0.00,1.23,"",1,1.7,-35,-2.9,-12,-1.0,-20,-1.7,-1719078,-7.7,0,0.0,0,0.0,-85,-6.0
"06089","1","102","72","0","2019","2","","Shasta County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",59,1200,1313,1344,22297886,0,0,1334,"",1.40,0.96,1.04,1.05,1.08,0.00,0.00,1.06,"",0,0.0,-22,-1.8,50,4.0,-18,-1.3,-48193,-0.2,0,0.0,0,0.0,-6,-0.4
"06089","1","1021","73","0","2019","1","","Shasta County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,283,286,289,4054595,0,0,1091,"",1.27,0.93,0.95,0.95,1.27,0.00,0.00,1.35,"",1,3.8,-5,-1.7,2,0.7,7,2.5,245547,6.4,0,0.0,0,0.0,62,6.0
"06089","1","1021","73","0","2019","2","","Shasta County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,289,292,291,4616027,0,0,1222,"",1.27,0.95,0.94,0.93,1.19,0.00,0.00,1.27,"",0,0.0,4,1.4,4,1.4,7,2.5,174890,3.9,0,0.0,0,0.0,26,2.2
"06089","1","1023","73","0","2019","1","","Shasta County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,57436,0,0,1473,"",1.80,0.55,0.56,0.55,0.53,0.00,0.00,0.96,"",0,0.0,0,0.0,0,0.0,0,0.0,-7277,-11.2,0,0.0,0,0.0,-186,-11.2
"06089","1","1023","73","0","2019","2","","Shasta County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,69388,0,0,1334,"",1.81,0.73,0.73,0.71,0.57,0.00,0.00,0.79,"",0,0.0,1,33.3,1,33.3,1,33.3,13655,24.5,0,0.0,0,0.0,-95,-6.6
"06089","1","1024","73","0","2019","1","","Shasta County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,33182,0,0,1276,"",0.97,0.07,0.07,0.07,0.07,0.00,0.00,1.03,"",0,0.0,-2,-50.0,-2,-50.0,-2,-50.0,-36382,-52.3,0,0.0,0,0.0,-62,-4.6
