"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06095","0","10","70","0","2019","1","","Solano County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",11791,140654,141082,141417,2292962071,610474160,25039483,1250,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",370,3.2,2281,1.6,1804,1.3,1892,1.4,138182468,6.4,21478031,3.6,-379493,-1.5,58,4.9
"06095","0","10","70","0","2019","2","","Solano County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",11896,143413,144267,144820,2178845908,155214294,6088575,1163,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",337,2.9,2666,1.9,2509,1.8,1928,1.3,198097957,10.0,7268495,4.9,49377,0.8,88,8.2
"06095","1","10","71","0","2019","1","","Solano County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",54,3503,3498,3526,60361794,0,0,1323,"",0.78,1.30,1.29,1.31,1.07,0.00,0.00,0.82,"",0,0.0,-88,-2.5,-81,-2.3,-43,-1.2,-1181099,-1.9,0,0.0,0,0.0,1,0.1
"06095","1","10","71","0","2019","2","","Solano County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",54,3553,3586,3598,70486141,0,0,1515,"",0.78,1.31,1.31,1.31,1.14,0.00,0.00,0.87,"",1,1.9,-25,-0.7,60,1.7,56,1.6,3776898,5.7,0,0.0,0,0.0,69,4.8
"06095","1","102","72","0","2019","1","","Solano County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",54,3503,3498,3526,60361794,0,0,1323,"",0.78,1.33,1.32,1.33,1.09,0.00,0.00,0.82,"",0,0.0,-88,-2.5,-81,-2.3,-43,-1.2,-1181099,-1.9,0,0.0,0,0.0,1,0.1
"06095","1","102","72","0","2019","2","","Solano County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",54,3553,3586,3598,70486141,0,0,1515,"",0.78,1.33,1.34,1.34,1.17,0.00,0.00,0.87,"",1,1.9,-25,-0.7,60,1.7,56,1.6,3776898,5.7,0,0.0,0,0.0,69,4.8
"06095","1","1021","73","0","2019","1","","Solano County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,938,950,950,11801441,0,0,960,"",0.43,1.44,1.46,1.46,1.17,0.00,0.00,0.80,"",0,0.0,-39,-4.0,-27,-2.8,-20,-2.1,270384,2.3,0,0.0,0,0.0,50,5.5
"06095","1","1021","73","0","2019","2","","Solano County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,967,949,952,13347653,0,0,1074,"",0.43,1.48,1.45,1.45,1.18,0.00,0.00,0.81,"",0,0.0,-22,-2.2,-3,-0.3,0,0.0,383893,3.0,0,0.0,0,0.0,40,3.9
"06095","1","1022","73","0","2019","1","","Solano County, California","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,8,54977,0,0,577,"",6.89,1.10,1.11,1.27,0.44,0.00,0.00,0.38,"",0,0.0,-2,-22.2,0,0.0,0,0.0,-9672,-15.0,0,0.0,0,0.0,-45,-7.2
"06095","1","1022","73","0","2019","2","","Solano County, California","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,9,8,8,57318,0,0,529,"",6.84,1.41,1.27,1.25,0.45,0.00,0.00,0.34,"",0,0.0,0,0.0,0,0.0,0,0.0,-882,-1.5,0,0.0,0,0.0,-8,-1.5
