"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06109","0","10","70","0","2019","1","","Tuolumne County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1664,17261,17223,17375,193800565,66325604,3001767,862,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",84,5.3,386,2.3,60,0.3,150,0.9,4778247,2.5,1779829,2.8,20572,0.7,11,1.3
"06109","0","10","70","0","2019","2","","Tuolumne County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1690,17612,17876,18066,197915471,19222603,825957,853,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",70,4.3,255,1.5,355,2.0,102,0.6,9572191,5.1,1071939,5.9,27047,3.4,30,3.6
"06109","1","10","71","0","2019","1","","Tuolumne County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,371,390,364,4980045,0,0,1022,"",2.45,1.12,1.18,1.10,1.04,0.00,0.00,0.92,"",1,4.3,-22,-5.6,11,2.9,1,0.3,-1075091,-17.8,0,0.0,0,0.0,-209,-17.0
"06109","1","10","71","0","2019","2","","Tuolumne County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,365,434,497,5626079,0,0,1002,"",2.43,1.09,1.28,1.45,1.00,0.00,0.00,0.79,"",0,0.0,-9,-2.4,-7,-1.6,-14,-2.7,-280107,-4.7,0,0.0,0,0.0,-26,-2.5
"06109","1","102","72","0","2019","1","","Tuolumne County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,371,390,364,4980045,0,0,1022,"",2.45,1.14,1.20,1.12,1.06,0.00,0.00,0.92,"",1,4.3,-22,-5.6,11,2.9,1,0.3,-1075091,-17.8,0,0.0,0,0.0,-209,-17.0
"06109","1","102","72","0","2019","2","","Tuolumne County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,365,434,497,5626079,0,0,1002,"",2.44,1.11,1.31,1.48,1.02,0.00,0.00,0.79,"",0,0.0,-9,-2.4,-7,-1.6,-14,-2.7,-280107,-4.7,0,0.0,0,0.0,-26,-2.5
"06109","1","1021","73","0","2019","1","","Tuolumne County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,94,90,90,1021005,0,0,860,"",2.43,1.18,1.13,1.13,1.20,0.00,0.00,1.05,"",1,9.1,5,5.6,4,4.7,6,7.1,12619,1.3,0,0.0,0,0.0,-38,-4.2
"06109","1","1021","73","0","2019","2","","Tuolumne County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,93,87,88,1156987,0,0,996,"",2.41,1.16,1.07,1.08,1.12,0.00,0.00,1.02,"",0,0.0,9,10.7,-1,-1.1,-2,-2.2,-33249,-2.8,0,0.0,0,0.0,-52,-5.0
"06109","1","1024","73","0","2019","1","","Tuolumne County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,103856,0,0,1997,"",4.18,0.51,0.51,0.51,0.80,0.00,0.00,1.58,"",0,0.0,0,0.0,1,33.3,-1,-20.0,-20298,-16.3,0,0.0,0,0.0,-391,-16.4
"06109","1","1024","73","0","2019","2","","Tuolumne County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,5,5,145115,0,0,2392,"",4.15,0.51,0.62,0.61,1.04,0.00,0.00,1.79,"",0,0.0,0,0.0,0,0.0,0,0.0,-1932,-1.3,0,0.0,0,0.0,-32,-1.3
"06109","1","1025","73","0","2019","1","","Tuolumne County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,16,16,350729,0,0,1722,"",4.48,0.30,0.32,0.32,0.50,0.00,0.00,1.58,"",0,0.0,-7,-31.8,-5,-23.8,-4,-20.0,-85985,-19.7,0,0.0,0,0.0,122,7.6
"06109","1","1025","73","0","2019","2","","Tuolumne County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,14,17,19,447098,0,0,2064,"",4.46,0.28,0.34,0.37,0.52,0.00,0.00,1.57,"",0,0.0,-6,-30.0,-3,-15.0,2,11.8,9727,2.2,0,0.0,0,0.0,293,16.5
"06109","1","1028","73","0","2019","1","","Tuolumne County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,258,280,254,3504455,0,0,1021,"",2.53,1.44,1.57,1.42,1.20,0.00,0.00,0.82,"",0,0.0,-20,-7.2,11,4.1,0,0.0,-981427,-21.9,0,0.0,0,0.0,-271,-21.0
"06109","1","1028","73","0","2019","2","","Tuolumne County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,254,325,385,3876879,0,0,928,"",2.52,1.40,1.77,2.07,1.16,0.00,0.00,0.66,"",0,0.0,-12,-4.5,-3,-0.9,-14,-3.5,-254653,-6.2,0,0.0,0,0.0,-32,-3.3
"06109","1","48-49","74","0","2019","1","","Tuolumne County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,94,90,90,1021005,0,0,860,"",2.50,1.28,1.23,1.23,1.28,0.00,0.00,1.03,"",1,9.1,5,5.6,4,4.7,6,7.1,12619,1.3,0,0.0,0,0.0,-38,-4.2
"06109","1","48-49","74","0","2019","2","","Tuolumne County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,93,87,88,1156987,0,0,996,"",2.48,1.26,1.17,1.17,1.20,0.00,0.00,1.00,"",0,0.0,9,10.7,-1,-1.1,-2,-2.2,-33249,-2.8,0,0.0,0,0.0,-52,-5.0
"06109","1","491","75","0","2019","1","","Tuolumne County, California","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,94,90,90,1021005,0,0,860,"",2.51,1.31,1.26,1.25,1.35,0.00,0.00,1.06,"",1,9.1,5,5.6,4,4.7,6,7.1,12619,1.3,0,0.0,0,0.0,-38,-4.2
