"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06111","0","10","70","0","2019","1","","Ventura County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",27753,322920,326404,329019,4898155819,1568132035,64407157,1155,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",747,2.8,3310,1.0,1622,0.5,3255,1.0,284257735,6.2,27517384,1.8,-1739041,-2.6,58,5.3
"06111","0","10","70","0","2019","2","","Ventura County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",28005,333538,335368,334287,4648399118,401765456,15838316,1069,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",670,2.5,2084,0.6,2718,0.8,3417,1.0,188979688,4.2,-2012280,-0.5,-842426,-5.1,35,3.4
"06111","1","10","71","0","2019","1","","Ventura County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,7294,7323,7292,157739488,0,0,1661,"",0.40,1.18,1.17,1.16,1.30,0.00,0.00,1.12,"",1,1.6,93,1.3,156,2.2,108,1.5,-1017889,-0.6,0,0.0,0,0.0,-39,-2.3
"06111","1","10","71","0","2019","2","","Ventura County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",66,7223,7280,7338,185091880,0,0,1956,"",0.40,1.14,1.15,1.16,1.41,0.00,0.00,1.23,"",2,3.1,59,0.8,106,1.5,117,1.6,8838278,5.0,0,0.0,0,0.0,69,3.7
"06111","1","102","72","0","2019","1","","Ventura County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",65,7294,7323,7292,157739488,0,0,1661,"",0.40,1.20,1.19,1.18,1.33,0.00,0.00,1.11,"",1,1.6,93,1.3,156,2.2,108,1.5,-1017889,-0.6,0,0.0,0,0.0,-39,-2.3
"06111","1","102","72","0","2019","2","","Ventura County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",66,7223,7280,7338,185091880,0,0,1956,"",0.40,1.16,1.17,1.18,1.44,0.00,0.00,1.23,"",2,3.1,59,0.8,106,1.5,117,1.6,8838278,5.0,0,0.0,0,0.0,69,3.7
"06111","1","1021","73","0","2019","1","","Ventura County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",22,1155,1173,1171,14828458,0,0,978,"",0.27,0.77,0.78,0.77,0.69,0.00,0.00,0.89,"",1,4.8,-40,-3.3,-21,-1.8,-29,-2.4,-404980,-2.7,0,0.0,0,0.0,-1,-0.1
"06111","1","1021","73","0","2019","2","","Ventura County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,1161,1178,1183,16506928,0,0,1082,"",0.28,0.76,0.77,0.78,0.68,0.00,0.00,0.88,"",2,9.5,-31,-2.6,-3,-0.3,2,0.2,-510595,-3.0,0,0.0,0,0.0,-23,-2.1
"06111","1","1024","73","0","2019","1","","Ventura County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,1060,1061,1060,24192322,0,0,1755,"",0.50,7.18,7.15,7.10,7.39,0.00,0.00,1.04,"",0,0.0,39,3.8,41,4.0,29,2.8,908678,3.9,0,0.0,0,0.0,6,0.3
"06111","1","1024","73","0","2019","2","","Ventura County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,1063,1069,1084,30620993,0,0,2197,"",0.50,7.11,7.05,7.12,9.31,0.00,0.00,1.31,"",0,0.0,33,3.2,36,3.5,47,4.5,2324543,8.2,0,0.0,0,0.0,91,4.3
"06111","1","1025","73","0","2019","1","","Ventura County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,63,62,61,1335569,0,0,1657,"",0.27,0.07,0.07,0.06,0.07,0.00,0.00,1.13,"",0,0.0,0,0.0,2,3.3,1,1.7,56532,4.4,0,0.0,0,0.0,44,2.7
"06111","1","1025","73","0","2019","2","","Ventura County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,59,61,61,1571836,0,0,2004,"",0.27,0.06,0.06,0.06,0.08,0.00,0.00,1.21,"",0,0.0,-1,-1.7,1,1.7,1,1.7,82333,5.5,0,0.0,0,0.0,94,4.9
"06111","1","1026","73","0","2019","1","","Ventura County, California","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",7,132,132,134,2579290,0,0,1496,"",1.68,1.33,1.31,1.31,2.15,0.00,0.00,1.64,"",0,0.0,0,0.0,-1,-0.8,-3,-2.2,-100256,-3.7,0,0.0,0,0.0,-42,-2.7
"06111","1","1026","73","0","2019","2","","Ventura County, California","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",7,135,145,143,2367411,0,0,1292,"",1.69,1.30,1.28,1.22,1.90,0.00,0.00,1.51,"",0,0.0,-1,-0.7,5,3.6,1,0.7,54879,2.4,0,0.0,0,0.0,15,1.2
"06111","1","1028","73","0","2019","1","","Ventura County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",33,4884,4895,4866,114803849,0,0,1809,"",0.50,1.46,1.44,1.43,1.56,0.00,0.00,1.08,"",0,0.0,94,2.0,135,2.8,110,2.3,-1477863,-1.3,0,0.0,0,0.0,-67,-3.6
"06111","1","1028","73","0","2019","2","","Ventura County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",33,4805,4827,4867,134024712,0,0,2133,"",0.50,1.40,1.40,1.42,1.71,0.00,0.00,1.21,"",0,0.0,59,1.2,67,1.4,66,1.4,6887118,5.4,0,0.0,0,0.0,82,4.0
"06111","1","44-45","74","0","2019","1","","Ventura County, California","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",5,241,244,244,1944595,0,0,616,"",2.76,2.43,2.45,2.46,2.53,0.00,0.00,1.04,"",0,0.0,-12,-4.7,-15,-5.8,-16,-6.2,-45855,-2.3,0,0.0,0,0.0,21,3.5
"06111","1","44-45","74","0","2019","2","","Ventura County, California","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",5,241,242,245,1840280,0,0,583,"",2.75,2.42,2.44,2.48,2.26,0.00,0.00,0.92,"",0,0.0,-17,-6.6,-18,-6.9,-15,-5.8,-47965,-2.5,0,0.0,0,0.0,23,4.1
"06111","1","445","75","0","2019","1","","Ventura County, California","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,52,55,55,523744,0,0,746,"",1.86,2.09,2.20,2.20,2.22,0.00,0.00,1.03,"",0,0.0,-3,-5.5,-4,-6.8,-2,-3.5,-52269,-9.1,0,0.0,0,0.0,-31,-4.0
"06111","1","445","75","0","2019","2","","Ventura County, California","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,53,53,55,644125,0,0,923,"",1.85,2.14,2.15,2.27,2.25,0.00,0.00,1.03,"",0,0.0,-4,-7.0,-7,-11.7,-4,-6.8,-23726,-3.6,0,0.0,0,0.0,47,5.4
"06111","1","4451","76","0","2019","1","","Ventura County, California","Federal Government","NAICS 4451 Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,52,55,55,523744,0,0,746,"",1.87,2.09,2.20,2.20,2.22,0.00,0.00,1.03,"",0,0.0,-3,-5.5,-4,-6.8,-2,-3.5,-52269,-9.1,0,0.0,0,0.0,-31,-4.0
