"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08023","0","10","70","0","2019","1","","Costilla County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",99,888,902,911,7126740,5964540,73413,609,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,2.1,19,2.2,43,5.0,19,2.1,665578,10.3,544614,10.0,9891,15.6,40,7.0
"08023","0","10","70","0","2019","2","","Costilla County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",100,904,919,1044,7631881,4712354,45538,614,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,2.0,16,1.8,-10,-1.1,52,5.2,605961,8.6,309618,7.0,1612,3.7,37,6.4
"08023","1","10","71","0","2019","1","","Costilla County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,10,10,10,100736,0,0,775,"",13.72,0.59,0.58,0.58,0.57,0.00,0.00,0.99,"",0,0.0,0,0.0,-1,-9.1,1,11.1,-1402,-1.4,0,0.0,0,0.0,-11,-1.4
"08023","1","10","71","0","2019","2","","Costilla County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,12,10,9,116369,0,0,866,"",13.71,0.70,0.57,0.45,0.54,0.00,0.00,0.95,"",0,0.0,3,33.3,0,0.0,-1,-10.0,3765,3.3,0,0.0,0,0.0,-30,-3.3
"08023","1","102","72","0","2019","1","","Costilla County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,10,10,10,100736,0,0,775,"",13.75,0.60,0.59,0.59,0.58,0.00,0.00,0.99,"",0,0.0,0,0.0,-1,-9.1,1,11.1,-1402,-1.4,0,0.0,0,0.0,-11,-1.4
"08023","1","102","72","0","2019","2","","Costilla County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,12,10,9,116369,0,0,866,"",13.74,0.71,0.59,0.46,0.55,0.00,0.00,0.95,"",0,0.0,3,33.3,0,0.0,-1,-10.0,3765,3.3,0,0.0,0,0.0,-30,-3.3
"08023","1","1021","73","0","2019","1","","Costilla County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,8,8,7,68532,0,0,688,"",17.02,1.95,1.92,1.67,2.18,0.00,0.00,1.18,"",0,0.0,0,0.0,0,0.0,0,0.0,2264,3.4,0,0.0,0,0.0,23,3.5
"08023","1","1021","73","0","2019","2","","Costilla County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,7,8,7,79778,0,0,837,"",16.99,1.70,1.91,1.48,2.01,0.00,0.00,1.19,"",0,0.0,0,0.0,0,0.0,-1,-12.5,2401,3.1,0,0.0,0,0.0,61,7.9
"08023","1","1028","73","0","2019","1","","Costilla County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,2,2,3,32204,0,0,1062,"",12.75,0.22,0.21,0.32,0.30,0.00,0.00,1.20,"",0,0.0,0,0.0,-1,-33.3,1,50.0,-3666,-10.2,0,0.0,0,0.0,-121,-10.2
"08023","1","1028","73","0","2019","2","","Costilla County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,2,2,36591,0,0,938,"",12.75,0.54,0.21,0.19,0.28,0.00,0.00,0.93,"",0,0.0,3,150.0,0,0.0,0,0.0,1364,3.9,0,0.0,0,0.0,-417,-30.8
"08023","1","48-49","74","0","2019","1","","Costilla County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,8,8,7,68532,0,0,688,"",17.49,2.12,2.10,1.82,2.34,0.00,0.00,1.17,"",0,0.0,0,0.0,0,0.0,0,0.0,2264,3.4,0,0.0,0,0.0,23,3.5
"08023","1","48-49","74","0","2019","2","","Costilla County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,7,8,7,79778,0,0,837,"",17.47,1.85,2.08,1.61,2.15,0.00,0.00,1.17,"",0,0.0,0,0.0,0,0.0,-1,-12.5,2401,3.1,0,0.0,0,0.0,61,7.9
"08023","1","491","75","0","2019","1","","Costilla County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,8,8,7,68532,0,0,688,"",17.61,2.17,2.14,1.86,2.46,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,2264,3.4,0,0.0,0,0.0,23,3.5
"08023","1","491","75","0","2019","2","","Costilla County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,7,8,7,79778,0,0,837,"",17.58,1.89,2.13,1.65,2.23,0.00,0.00,1.19,"",0,0.0,0,0.0,0,0.0,-1,-12.5,2401,3.1,0,0.0,0,0.0,61,7.9
"08023","1","4911","76","0","2019","1","","Costilla County, Colorado","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,8,8,7,68532,0,0,688,"",17.61,2.17,2.14,1.86,2.46,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,2264,3.4,0,0.0,0,0.0,23,3.5
"08023","1","4911","76","0","2019","2","","Costilla County, Colorado","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,7,8,7,79778,0,0,837,"",17.58,1.89,2.13,1.65,2.23,0.00,0.00,1.19,"",0,0.0,0,0.0,0,0.0,-1,-12.5,2401,3.1,0,0.0,0,0.0,61,7.9
"08023","1","49111","77","0","2019","1","","Costilla County, Colorado","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,8,8,7,68532,0,0,688,"",17.61,2.17,2.14,1.86,2.46,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,2264,3.4,0,0.0,0,0.0,23,3.5
"08023","1","49111","77","0","2019","2","","Costilla County, Colorado","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,7,8,7,79778,0,0,837,"",17.58,1.89,2.13,1.65,2.23,0.00,0.00,1.19,"",0,0.0,0,0.0,0,0.0,-1,-12.5,2401,3.1,0,0.0,0,0.0,61,7.9
