"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08031","0","10","70","0","2019","1","","Denver County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",33697,515126,517482,518873,10306143204,4289519916,67258932,1533,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",720,2.2,8960,1.8,8662,1.7,7179,1.4,659763812,6.8,270513867,6.7,3120609,4.9,75,5.1
"08031","0","10","70","0","2019","2","","Denver County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34158,524702,527083,532355,9184087252,1337321068,20082827,1338,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",746,2.2,7575,1.5,8290,1.6,7439,1.4,596215283,6.9,89519001,7.2,1103824,5.8,68,5.4
"08031","1","10","71","0","2019","1","","Denver County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",107,12994,12964,12920,268705045,0,0,1595,"",0.54,1.32,1.31,1.31,1.06,0.00,0.00,0.81,"",-1,-0.9,-1751,-11.9,-1714,-11.7,-1687,-11.5,-45371562,-14.4,0,0.0,0,0.0,-51,-3.1
"08031","1","10","71","0","2019","2","","Denver County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",108,13036,12974,13053,285012094,0,0,1684,"",0.54,1.31,1.30,1.29,1.10,0.00,0.00,0.84,"",-1,-0.9,-1612,-11.0,-1598,-11.0,-1524,-10.5,-34423322,-10.8,0,0.0,0,0.0,1,0.1
"08031","1","101","72","0","2019","1","","Denver County, Colorado","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,354,350,354,6109763,0,0,1333,"",2.37,1.91,1.88,1.89,1.31,0.00,0.00,0.69,"",0,0.0,-6,-1.7,-5,-1.4,-1,-0.3,-1015929,-14.3,0,0.0,0,0.0,-204,-13.3
"08031","1","101","72","0","2019","2","","Denver County, Colorado","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,360,353,346,6307199,0,0,1374,"",2.36,1.92,1.85,1.78,1.24,0.00,0.00,0.67,"",0,0.0,8,2.3,1,0.3,-4,-1.1,287700,4.8,0,0.0,0,0.0,56,4.2
"08031","1","1013","73","0","2019","1","","Denver County, Colorado","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,354,350,354,6109763,0,0,1333,"",6.41,2.02,1.99,2.01,1.37,0.00,0.00,0.68,"",0,0.0,-6,-1.7,-5,-1.4,-1,-0.3,-1015929,-14.3,0,0.0,0,0.0,-204,-13.3
"08031","1","1013","73","0","2019","2","","Denver County, Colorado","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,360,353,346,6307199,0,0,1374,"",6.39,2.04,2.00,1.94,1.30,0.00,0.00,0.65,"",0,0.0,8,2.3,1,0.3,-4,-1.1,287700,4.8,0,0.0,0,0.0,56,4.2
"08031","1","102","72","0","2019","1","","Denver County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",106,12640,12614,12566,262595282,0,0,1602,"",0.54,1.31,1.30,1.29,1.05,0.00,0.00,0.81,"",-1,-0.9,-1745,-12.1,-1709,-11.9,-1686,-11.8,-44355633,-14.5,0,0.0,0,0.0,-47,-2.9
"08031","1","102","72","0","2019","2","","Denver County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",107,12676,12621,12707,278704895,0,0,1692,"",0.54,1.30,1.29,1.28,1.09,0.00,0.00,0.85,"",-1,-0.9,-1620,-11.3,-1599,-11.2,-1520,-10.7,-34711022,-11.1,0,0.0,0,0.0,0,0.0
"08031","1","1021","73","0","2019","1","","Denver County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,3516,3463,3433,61230635,0,0,1357,"",0.21,1.48,1.45,1.44,1.35,0.00,0.00,0.93,"",0,0.0,-232,-6.2,-234,-6.3,-248,-6.7,1479181,2.5,0,0.0,0,0.0,118,9.5
