"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08051","0","10","70","0","2019","1","","Gunnison County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1212,8747,8783,8764,84508228,54347877,685616,742,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.2,-80,-0.9,4,0.0,-32,-0.4,4633422,5.8,3103504,6.1,-72918,-9.6,44,6.3
"08051","0","10","70","0","2019","2","","Gunnison County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1217,8089,7985,9049,78464351,26842615,298371,721,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.2,-55,-0.7,-3,0.0,14,0.2,2813016,3.7,253422,1.0,-27260,-8.4,27,3.9
"08051","1","10","71","0","2019","1","","Gunnison County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,130,130,128,1978076,0,0,1176,"",1.54,0.78,0.77,0.77,0.95,0.00,0.00,1.23,"",-1,-8.3,1,0.8,-11,-7.8,-8,-5.9,-181948,-8.4,0,0.0,0,0.0,-52,-4.2
"08051","1","10","71","0","2019","2","","Gunnison County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,130,197,206,2246361,0,0,973,"",1.55,0.85,1.30,1.20,1.01,0.00,0.00,0.90,"",-1,-8.3,-13,-9.1,23,13.2,-3,-1.4,-86372,-3.7,0,0.0,0,0.0,-50,-4.9
"08051","1","102","72","0","2019","1","","Gunnison County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,130,130,128,1978076,0,0,1176,"",1.54,0.79,0.79,0.78,0.97,0.00,0.00,1.23,"",-1,-8.3,1,0.8,-11,-7.8,-8,-5.9,-181948,-8.4,0,0.0,0,0.0,-52,-4.2
"08051","1","102","72","0","2019","2","","Gunnison County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,130,197,206,2246361,0,0,973,"",1.55,0.86,1.33,1.22,1.03,0.00,0.00,0.91,"",-1,-8.3,-13,-9.1,23,13.2,-3,-1.4,-86372,-3.7,0,0.0,0,0.0,-50,-4.9
"08051","1","1021","73","0","2019","1","","Gunnison County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,24,24,26,307024,0,0,957,"",1.67,0.59,0.59,0.64,0.82,0.00,0.00,1.35,"",-1,-14.3,-4,-14.3,-4,-14.3,-1,-3.7,11142,3.8,0,0.0,0,0.0,134,16.3
"08051","1","1021","73","0","2019","2","","Gunnison County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,24,26,25,338590,0,0,1042,"",1.68,0.65,0.72,0.61,0.83,0.00,0.00,1.26,"",-1,-14.3,-2,-7.7,0,0.0,-1,-3.8,-1528,-0.4,0,0.0,0,0.0,36,3.6
"08051","1","1026","73","0","2019","1","","Gunnison County, Colorado","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,37,37,35,650440,0,0,1377,"",5.51,13.79,13.62,12.88,31.49,0.00,0.00,2.34,"",0,0.0,2,5.7,-1,-2.6,-6,-14.6,-68206,-9.5,0,0.0,0,0.0,-78,-5.4
"08051","1","1026","73","0","2019","2","","Gunnison County, Colorado","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,36,68,70,757532,0,0,1005,"",5.56,14.24,25.15,22.02,36.06,0.00,0.00,1.74,"",0,0.0,-7,-16.3,2,3.0,-2,-2.8,-68077,-8.2,0,0.0,0,0.0,-48,-4.6
