"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08057","0","10","70","0","2019","1","","Jackson County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",89,503,563,550,5465528,3776115,74439,780,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-71,-12.4,8,1.4,-14,-2.5,-7409,-0.1,21271,0.6,-12637,-14.5,34,4.6
"08057","0","10","70","0","2019","2","","Jackson County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",87,553,586,626,5647076,2193372,28315,738,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-1.1,-18,-3.2,-5,-0.8,-19,-2.9,142693,2.6,15966,0.7,-3163,-10.0,35,5.0
"08057","1","10","71","0","2019","1","","Jackson County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,21,24,22,280290,0,0,965,"",11.45,2.18,2.22,2.10,2.08,0.00,0.00,0.96,"",0,0.0,-5,-19.2,-2,-7.7,-4,-15.4,-36406,-11.5,0,0.0,0,0.0,28,3.0
"08057","1","10","71","0","2019","2","","Jackson County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,26,32,46,321363,0,0,713,"",11.82,2.48,2.88,3.87,2.01,0.00,0.00,0.65,"",0,0.0,1,4.0,4,14.3,-3,-6.1,-19932,-5.8,0,0.0,0,0.0,-59,-7.6
"08057","1","102","72","0","2019","1","","Jackson County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,21,24,22,280290,0,0,965,"",11.47,2.22,2.27,2.14,2.12,0.00,0.00,0.96,"",0,0.0,-5,-19.2,-2,-7.7,-4,-15.4,-36406,-11.5,0,0.0,0,0.0,28,3.0
"08057","1","102","72","0","2019","2","","Jackson County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,26,32,46,321363,0,0,713,"",11.84,2.52,2.94,3.95,2.05,0.00,0.00,0.65,"",0,0.0,1,4.0,4,14.3,-3,-6.1,-19932,-5.8,0,0.0,0,0.0,-59,-7.6
"08057","1","1021","73","0","2019","1","","Jackson County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,5,5,4,35812,0,0,590,"",11.36,2.15,1.92,1.58,1.49,0.00,0.00,0.79,"",0,0.0,-2,-28.6,-2,-28.6,-3,-42.9,-6343,-15.0,0,0.0,0,0.0,127,27.4
"08057","1","1021","73","0","2019","2","","Jackson County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,6,4,7,40838,0,0,554,"",11.72,2.38,1.50,2.47,1.39,0.00,0.00,0.65,"",0,0.0,0,0.0,-2,-33.3,1,16.7,-13547,-24.9,0,0.0,0,0.0,-143,-20.5
"08057","1","1028","73","0","2019","1","","Jackson County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,16,19,18,244478,0,0,1064,"",14.19,3.07,3.25,3.17,2.98,0.00,0.00,0.94,"",0,0.0,-3,-15.8,0,0.0,-1,-5.3,-30063,-11.0,0,0.0,0,0.0,-48,-4.3
"08057","1","1028","73","0","2019","2","","Jackson County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,20,28,39,280525,0,0,744,"",14.66,3.51,4.66,6.06,2.94,0.00,0.00,0.61,"",0,0.0,1,5.3,6,27.3,-4,-9.3,-6385,-2.2,0,0.0,0,0.0,-44,-5.6
"08057","1","48-49","74","0","2019","1","","Jackson County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,5,5,4,35812,0,0,590,"",11.68,2.34,2.10,1.72,1.60,0.00,0.00,0.78,"",0,0.0,-2,-28.6,-2,-28.6,-3,-42.9,-6343,-15.0,0,0.0,0,0.0,127,27.4
"08057","1","48-49","74","0","2019","2","","Jackson County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,4,7,40838,0,0,554,"",12.05,2.59,1.63,2.69,1.49,0.00,0.00,0.64,"",0,0.0,0,0.0,-2,-33.3,1,16.7,-13547,-24.9,0,0.0,0,0.0,-143,-20.5
"08057","1","491","75","0","2019","1","","Jackson County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,5,5,4,35812,0,0,590,"",11.75,2.40,2.14,1.76,1.68,0.00,0.00,0.80,"",0,0.0,-2,-28.6,-2,-28.6,-3,-42.9,-6343,-15.0,0,0.0,0,0.0,127,27.4
"08057","1","491","75","0","2019","2","","Jackson County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,4,7,40838,0,0,554,"",12.12,2.65,1.67,2.75,1.55,0.00,0.00,0.66,"",0,0.0,0,0.0,-2,-33.3,1,16.7,-13547,-24.9,0,0.0,0,0.0,-143,-20.5
