"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08063","0","10","70","0","2019","1","","Kit Carson County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",295,2819,2809,2786,25052741,17825081,163087,687,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.0,56,2.0,49,1.8,6,0.2,378591,1.5,562060,3.3,-1843,-1.1,1,0.1
"08063","0","10","70","0","2019","2","","Kit Carson County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",297,2797,2897,2936,26211145,9758262,82668,701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.7,15,0.5,60,2.1,24,0.8,1153260,4.6,718420,7.9,3128,3.9,23,3.4
"08063","1","10","71","0","2019","1","","Kit Carson County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,37,35,36,399713,0,0,854,"",4.60,0.69,0.65,0.68,0.65,0.00,0.00,0.96,"",-1,-11.1,-1,-2.6,-7,-16.7,-5,-12.2,-27679,-6.5,0,0.0,0,0.0,39,4.8
"08063","1","10","71","0","2019","2","","Kit Carson County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,41,42,42,503321,0,0,929,"",4.62,0.77,0.77,0.75,0.68,0.00,0.00,0.89,"",-1,-11.1,2,5.1,2,5.0,1,2.4,14825,3.0,0,0.0,0,0.0,-10,-1.1
"08063","1","102","72","0","2019","1","","Kit Carson County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,37,35,36,399713,0,0,854,"",4.61,0.70,0.66,0.69,0.66,0.00,0.00,0.96,"",-1,-11.1,-1,-2.6,-7,-16.7,-5,-12.2,-27679,-6.5,0,0.0,0,0.0,39,4.8
"08063","1","102","72","0","2019","2","","Kit Carson County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,41,42,42,503321,0,0,929,"",4.63,0.79,0.78,0.77,0.69,0.00,0.00,0.89,"",-1,-11.1,2,5.1,2,5.0,1,2.4,14825,3.0,0,0.0,0,0.0,-10,-1.1
"08063","1","1021","73","0","2019","1","","Kit Carson County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,26,24,24,249926,0,0,779,"",5.71,1.99,1.85,1.87,2.26,0.00,0.00,1.19,"",-1,-16.7,-1,-3.7,-4,-14.3,-3,-11.1,-22206,-8.2,0,0.0,0,0.0,13,1.7
"08063","1","1021","73","0","2019","2","","Kit Carson County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,24,27,25,313849,0,0,953,"",5.72,1.88,2.05,1.88,2.30,0.00,0.00,1.19,"",-1,-16.7,-3,-11.1,-2,-6.9,-4,-13.8,-25207,-7.4,0,0.0,0,0.0,32,3.5
"08063","1","1025","73","0","2019","1","","Kit Carson County, Colorado","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,47564,0,0,1220,"",25.29,0.37,0.37,0.37,0.52,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,1348,2.9,0,0.0,0,0.0,35,3.0
"08063","1","1025","73","0","2019","2","","Kit Carson County, Colorado","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,56721,0,0,1454,"",25.36,0.38,0.37,0.36,0.49,0.00,0.00,1.34,"",0,0.0,0,0.0,0,0.0,0,0.0,2837,5.3,0,0.0,0,0.0,72,5.2
