"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08065","0","10","70","0","2019","1","","Lake County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",243,2496,2522,2483,26007736,14928918,160476,800,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,107,4.5,107,4.4,95,4.0,2388357,10.1,1185838,8.6,-1681,-1.0,42,5.5
"08065","0","10","70","0","2019","2","","Lake County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",242,2431,2299,2385,25804184,7356645,69773,837,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-2.8,124,5.4,126,5.8,118,5.2,2650000,11.4,511566,7.5,4106,6.3,45,5.7
"08065","1","10","71","0","2019","1","","Lake County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,51,51,50,1016047,0,0,1543,"",3.49,1.07,1.06,1.06,1.58,0.00,0.00,1.50,"",0,0.0,0,0.0,2,4.1,0,0.0,-93972,-8.5,0,0.0,0,0.0,-165,-9.7
"08065","1","10","71","0","2019","2","","Lake County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,50,57,58,1071145,0,0,1498,"",3.54,1.08,1.31,1.28,1.47,0.00,0.00,1.20,"",0,0.0,-4,-7.4,1,1.8,1,1.8,61290,6.1,0,0.0,0,0.0,103,7.4
"08065","1","102","72","0","2019","1","","Lake County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,51,51,50,1016047,0,0,1543,"",3.50,1.09,1.08,1.08,1.61,0.00,0.00,1.49,"",0,0.0,0,0.0,2,4.1,0,0.0,-93972,-8.5,0,0.0,0,0.0,-165,-9.7
"08065","1","102","72","0","2019","2","","Lake County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,50,57,58,1071145,0,0,1498,"",3.55,1.10,1.33,1.31,1.50,0.00,0.00,1.20,"",0,0.0,-4,-7.4,1,1.8,1,1.8,61290,6.1,0,0.0,0,0.0,103,7.4
"08065","1","1021","73","0","2019","1","","Lake County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,10,10,10,121629,0,0,936,"",1.39,0.87,0.86,0.88,1.06,0.00,0.00,1.23,"",0,0.0,0,0.0,0,0.0,0,0.0,601,0.5,0,0.0,0,0.0,5,0.5
"08065","1","1021","73","0","2019","2","","Lake County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,10,135562,0,0,978,"",1.40,0.99,1.05,0.93,1.01,0.00,0.00,1.02,"",0,0.0,1,10.0,1,10.0,0,0.0,63,0.0,0,0.0,0,0.0,-64,-6.1
"08065","1","1028","73","0","2019","1","","Lake County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,41,41,40,894418,0,0,1692,"",6.93,1.59,1.57,1.56,2.29,0.00,0.00,1.46,"",0,0.0,0,0.0,2,5.1,0,0.0,-94573,-9.6,0,0.0,0,0.0,-210,-11.0
"08065","1","1028","73","0","2019","2","","Lake County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,39,46,48,935583,0,0,1623,"",7.03,1.56,1.95,1.96,2.14,0.00,0.00,1.18,"",0,0.0,-5,-11.4,0,0.0,1,2.1,61227,7.0,0,0.0,0,0.0,150,10.2
"08065","1","48-49","74","0","2019","1","","Lake County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,10,10,10,121629,0,0,936,"",1.43,0.94,0.94,0.95,1.14,0.00,0.00,1.21,"",0,0.0,0,0.0,0,0.0,0,0.0,601,0.5,0,0.0,0,0.0,5,0.5
"08065","1","48-49","74","0","2019","2","","Lake County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,11,11,10,135562,0,0,978,"",1.44,1.08,1.15,1.01,1.08,0.00,0.00,1.00,"",0,0.0,1,10.0,1,10.0,0,0.0,63,0.0,0,0.0,0,0.0,-64,-6.1
"08065","1","491","75","0","2019","1","","Lake County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,10,10,121629,0,0,936,"",1.43,0.97,0.96,0.97,1.20,0.00,0.00,1.24,"",0,0.0,0,0.0,0,0.0,0,0.0,601,0.5,0,0.0,0,0.0,5,0.5
"08065","1","491","75","0","2019","2","","Lake County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,11,10,135562,0,0,978,"",1.45,1.10,1.17,1.03,1.12,0.00,0.00,1.02,"",0,0.0,1,10.0,1,10.0,0,0.0,63,0.0,0,0.0,0,0.0,-64,-6.1
"08065","1","4911","76","0","2019","1","","Lake County, Colorado","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,10,10,121629,0,0,936,"",1.43,0.97,0.96,0.97,1.20,0.00,0.00,1.24,"",0,0.0,0,0.0,0,0.0,0,0.0,601,0.5,0,0.0,0,0.0,5,0.5
"08065","1","4911","76","0","2019","2","","Lake County, Colorado","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,11,11,10,135562,0,0,978,"",1.45,1.10,1.17,1.03,1.12,0.00,0.00,1.02,"",0,0.0,1,10.0,1,10.0,0,0.0,63,0.0,0,0.0,0,0.0,-64,-6.1
"08065","1","49111","77","0","2019","1","","Lake County, Colorado","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,10,10,121629,0,0,936,"",1.43,0.97,0.96,0.97,1.20,0.00,0.00,1.24,"",0,0.0,0,0.0,0,0.0,0,0.0,601,0.5,0,0.0,0,0.0,5,0.5
"08065","1","49111","77","0","2019","2","","Lake County, Colorado","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,11,11,10,135562,0,0,978,"",1.45,1.10,1.17,1.03,1.12,0.00,0.00,1.02,"",0,0.0,1,10.0,1,10.0,0,0.0,63,0.0,0,0.0,0,0.0,-64,-6.1
