"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08067","0","10","70","0","2019","1","","La Plata County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2640,25386,25325,25348,291416144,169655888,2174275,884,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-0.7,-411,-1.6,-362,-1.4,-590,-2.3,-12649233,-4.2,59855,0.0,-241838,-10.0,-22,-2.4
"08067","0","10","70","0","2019","2","","La Plata County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2658,25657,26079,26963,303264690,98877867,1180311,889,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-0.3,-519,-2.0,-417,-1.6,-5,0.0,11883269,4.1,3745715,3.9,9490,0.8,45,5.3
"08067","1","10","71","0","2019","1","","La Plata County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,299,309,309,4799842,0,0,1208,"",1.48,0.62,0.64,0.64,0.67,0.00,0.00,1.06,"",0,0.0,23,8.3,28,10.0,21,7.3,-229925,-4.6,0,0.0,0,0.0,-166,-12.1
"08067","1","10","71","0","2019","2","","La Plata County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,324,350,357,5395227,0,0,1208,"",1.48,0.67,0.71,0.70,0.63,0.00,0.00,0.91,"",-1,-4.2,21,6.9,27,8.4,11,3.2,-57660,-1.1,0,0.0,0,0.0,-87,-6.7
"08067","1","102","72","0","2019","1","","La Plata County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,299,309,309,4799842,0,0,1208,"",1.48,0.63,0.65,0.65,0.68,0.00,0.00,1.06,"",0,0.0,23,8.3,28,10.0,21,7.3,-229925,-4.6,0,0.0,0,0.0,-166,-12.1
"08067","1","102","72","0","2019","2","","La Plata County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,324,350,357,5395227,0,0,1208,"",1.49,0.68,0.72,0.71,0.64,0.00,0.00,0.91,"",-1,-4.2,21,6.9,27,8.4,11,3.2,-57660,-1.1,0,0.0,0,0.0,-87,-6.7
"08067","1","1021","73","0","2019","1","","La Plata County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,80,85,83,1101894,0,0,1025,"",0.64,0.68,0.73,0.71,0.86,0.00,0.00,1.21,"",1,25.0,6,8.1,14,19.7,10,13.7,101973,10.2,0,0.0,0,0.0,-33,-3.1
"08067","1","1021","73","0","2019","2","","La Plata County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,81,82,79,1168612,0,0,1114,"",0.64,0.69,0.69,0.65,0.74,0.00,0.00,1.09,"",0,0.0,6,8.0,5,6.5,-1,-1.2,-44903,-3.7,0,0.0,0,0.0,-93,-7.7
"08067","1","1024","73","0","2019","1","","La Plata County, Colorado","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,42343,0,0,1629,"",2.64,0.17,0.17,0.17,0.22,0.00,0.00,1.26,"",0,0.0,0,0.0,0,0.0,0,0.0,-4850,-10.3,0,0.0,0,0.0,-186,-10.2
"08067","1","1024","73","0","2019","2","","La Plata County, Colorado","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,37418,0,0,1439,"",2.64,0.17,0.17,0.16,0.17,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,0,0.0,-5836,-13.5,0,0.0,0,0.0,-225,-13.5
