"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08075","0","10","70","0","2019","1","","Logan County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",651,7819,7865,7889,80248458,40199726,486812,786,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-2.4,-115,-1.4,-55,-0.7,-106,-1.3,1443889,1.8,1162845,3.0,-22804,-4.5,23,3.0
"08075","0","10","70","0","2019","2","","Logan County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",648,7971,7991,7965,75783067,21108414,255185,731,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-2.4,-35,-0.4,-44,-0.5,-32,-0.4,2604200,3.6,1269056,6.4,9516,3.9,28,4.0
"08075","1","10","71","0","2019","1","","Logan County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,57,60,57,726192,0,0,963,"",2.87,0.38,0.40,0.38,0.37,0.00,0.00,0.95,"",0,0.0,0,0.0,3,5.3,-1,-1.7,23272,3.3,0,0.0,0,0.0,20,2.1
"08075","1","10","71","0","2019","2","","Logan County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,60,61,61,833172,0,0,1056,"",2.91,0.40,0.40,0.40,0.39,0.00,0.00,0.97,"",0,0.0,0,0.0,4,7.0,4,7.0,93321,12.6,0,0.0,0,0.0,75,7.6
"08075","1","102","72","0","2019","1","","Logan County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,57,60,57,726192,0,0,963,"",2.87,0.39,0.41,0.39,0.37,0.00,0.00,0.95,"",0,0.0,0,0.0,3,5.3,-1,-1.7,23272,3.3,0,0.0,0,0.0,20,2.1
"08075","1","102","72","0","2019","2","","Logan County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,60,61,61,833172,0,0,1056,"",2.92,0.40,0.41,0.41,0.40,0.00,0.00,0.97,"",0,0.0,0,0.0,4,7.0,4,7.0,93321,12.6,0,0.0,0,0.0,75,7.6
"08075","1","1021","73","0","2019","1","","Logan County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,42,40,41,481027,0,0,902,"",4.14,1.16,1.10,1.13,1.36,0.00,0.00,1.20,"",0,0.0,1,2.4,-1,-2.4,-1,-2.4,38700,8.7,0,0.0,0,0.0,79,9.6
"08075","1","1021","73","0","2019","2","","Logan County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,40,44,45,571321,0,0,1022,"",4.20,1.10,1.21,1.25,1.45,0.00,0.00,1.22,"",0,0.0,-1,-2.4,2,4.8,4,9.8,50386,9.7,0,0.0,0,0.0,53,5.5
"08075","1","1028","73","0","2019","1","","Logan County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,15,20,16,245165,0,0,1109,"",1.94,0.19,0.24,0.20,0.20,0.00,0.00,0.97,"",0,0.0,-1,-6.2,4,25.0,0,0.0,-15428,-5.9,0,0.0,0,0.0,-144,-11.5
"08075","1","1028","73","0","2019","2","","Logan County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,20,17,16,261851,0,0,1140,"",1.97,0.24,0.21,0.20,0.20,0.00,0.00,0.95,"",0,0.0,1,5.3,2,13.3,0,0.0,42935,19.6,0,0.0,0,0.0,130,12.9
