"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08083","0","10","70","0","2019","1","","Montezuma County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",922,8711,8853,8856,80228814,53127229,726357,701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.8,-36,-0.4,30,0.3,-38,-0.4,2013799,2.6,2635123,5.2,-26916,-3.6,19,2.8
"08083","0","10","70","0","2019","2","","Montezuma County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",930,9041,9376,9555,84235212,36162436,505866,695,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-1.0,-140,-1.5,-56,-0.6,-33,-0.3,-3256582,-3.7,2498423,7.4,19064,3.9,-21,-2.9
"08083","1","10","71","0","2019","1","","Montezuma County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,275,276,276,4236715,0,0,1182,"",3.68,1.65,1.63,1.63,2.14,0.00,0.00,1.31,"",0,0.0,-2,-0.7,-4,-1.4,-8,-2.8,-210408,-4.7,0,0.0,0,0.0,-38,-3.1
"08083","1","10","71","0","2019","2","","Montezuma County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,300,378,389,4879101,0,0,1055,"",3.69,1.75,2.13,2.15,2.05,0.00,0.00,1.02,"",0,0.0,-7,-2.3,10,2.7,-1,-0.3,-56050,-1.1,0,0.0,0,0.0,-14,-1.3
"08083","1","102","72","0","2019","1","","Montezuma County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,275,276,276,4236715,0,0,1182,"",3.69,1.68,1.66,1.67,2.18,0.00,0.00,1.31,"",0,0.0,-2,-0.7,-4,-1.4,-8,-2.8,-210408,-4.7,0,0.0,0,0.0,-38,-3.1
"08083","1","102","72","0","2019","2","","Montezuma County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,300,378,389,4879101,0,0,1055,"",3.69,1.78,2.17,2.19,2.09,0.00,0.00,1.02,"",0,0.0,-7,-2.3,10,2.7,-1,-0.3,-56050,-1.1,0,0.0,0,0.0,-14,-1.3
"08083","1","1021","73","0","2019","1","","Montezuma County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,42,44,43,447034,0,0,800,"",2.92,1.04,1.08,1.06,1.26,0.00,0.00,1.20,"",0,0.0,2,5.0,0,0.0,0,0.0,28059,6.7,0,0.0,0,0.0,39,5.1
"08083","1","1021","73","0","2019","2","","Montezuma County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,42,42,42,515757,0,0,945,"",2.92,1.02,0.98,0.97,1.17,0.00,0.00,1.19,"",0,0.0,0,0.0,2,5.0,1,2.4,12505,2.5,0,0.0,0,0.0,1,0.1
"08083","1","1023","73","0","2019","1","","Montezuma County, Colorado","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,68534,0,0,1318,"",13.94,5.51,5.48,5.49,5.69,0.00,0.00,1.04,"",0,0.0,0,0.0,0,0.0,0,0.0,-8706,-11.3,0,0.0,0,0.0,-167,-11.2
"08083","1","1023","73","0","2019","2","","Montezuma County, Colorado","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,69772,0,0,1342,"",14.08,5.41,5.27,5.13,5.10,0.00,0.00,0.97,"",0,0.0,0,0.0,0,0.0,0,0.0,2649,3.9,0,0.0,0,0.0,51,4.0
