"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08095","0","10","70","0","2019","1","","Phillips County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",165,1653,1649,1634,15493371,11136386,89430,724,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.6,62,3.9,66,4.2,23,1.4,752782,5.1,372445,3.5,3757,4.4,13,1.8
"08095","0","10","70","0","2019","2","","Phillips County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",168,1643,1687,1772,16328942,7144332,47490,739,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.6,18,1.1,21,1.3,17,1.0,810582,5.2,359929,5.3,2262,5.0,29,4.1
"08095","1","10","71","0","2019","1","","Phillips County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,22,22,23,256848,0,0,885,"",5.14,0.70,0.70,0.74,0.67,0.00,0.00,0.95,"",0,0.0,3,15.8,3,15.8,-3,-11.5,-7257,-2.7,0,0.0,0,0.0,-67,-7.0
"08095","1","10","71","0","2019","2","","Phillips County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,24,20,25,266201,0,0,890,"",5.10,0.77,0.63,0.74,0.58,0.00,0.00,0.81,"",0,0.0,3,14.3,0,0.0,-1,-3.8,20640,8.4,0,0.0,0,0.0,44,5.2
"08095","1","102","72","0","2019","1","","Phillips County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,22,22,23,256848,0,0,885,"",5.16,0.71,0.71,0.75,0.68,0.00,0.00,0.95,"",0,0.0,3,15.8,3,15.8,-3,-11.5,-7257,-2.7,0,0.0,0,0.0,-67,-7.0
"08095","1","102","72","0","2019","2","","Phillips County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,24,20,25,266201,0,0,890,"",5.11,0.78,0.64,0.76,0.59,0.00,0.00,0.81,"",0,0.0,3,14.3,0,0.0,-1,-3.8,20640,8.4,0,0.0,0,0.0,44,5.2
"08095","1","1021","73","0","2019","1","","Phillips County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,15,15,16,154800,0,0,777,"",6.13,1.96,1.97,2.13,2.27,0.00,0.00,1.12,"",0,0.0,1,7.1,1,7.1,-1,-5.9,-26005,-14.4,0,0.0,0,0.0,-150,-16.2
"08095","1","1021","73","0","2019","2","","Phillips County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,15,14,14,178810,0,0,960,"",6.07,2.00,1.82,1.74,2.10,0.00,0.00,1.13,"",0,0.0,-1,-6.2,-1,-6.7,-2,-12.5,6980,4.1,0,0.0,0,0.0,116,13.7
"08095","1","1028","73","0","2019","1","","Phillips County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,7,7,102048,0,0,1121,"",5.10,0.41,0.41,0.42,0.44,0.00,0.00,1.07,"",0,0.0,2,40.0,2,40.0,-2,-22.2,18748,22.5,0,0.0,0,0.0,109,10.8
"08095","1","1028","73","0","2019","2","","Phillips County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,6,11,87391,0,0,776,"",5.06,0.53,0.35,0.60,0.32,0.00,0.00,0.64,"",0,0.0,4,80.0,1,20.0,1,10.0,13660,18.5,0,0.0,0,0.0,-75,-8.8
"08095","1","48-49","74","0","2019","1","","Phillips County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,15,15,16,154800,0,0,777,"",6.30,2.14,2.15,2.32,2.43,0.00,0.00,1.11,"",0,0.0,1,7.1,1,7.1,-1,-5.9,-26005,-14.4,0,0.0,0,0.0,-150,-16.2
"08095","1","48-49","74","0","2019","2","","Phillips County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,15,14,14,178810,0,0,960,"",6.24,2.18,1.99,1.90,2.25,0.00,0.00,1.11,"",0,0.0,-1,-6.2,-1,-6.7,-2,-12.5,6980,4.1,0,0.0,0,0.0,116,13.7
