"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"09009","0","10","70","0","2019","1","","New Haven County, Connecticut","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",24887,360651,362328,363452,5291238331,2256292372,77550468,1124,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",450,1.8,773,0.2,788,0.2,1482,0.4,129061435,2.5,44120187,2.0,-187243,-0.2,24,2.2
"09009","0","10","70","0","2019","2","","New Haven County, Connecticut","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25161,366194,368773,368421,5265692655,895702527,30746797,1101,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",525,2.1,346,0.1,-651,-0.2,-2906,-0.8,131470371,2.6,-13090652,-1.4,-1210775,-3.8,30,2.8
"09009","1","10","71","0","2019","1","","New Haven County, Connecticut","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",91,5389,5385,5363,108423920,0,0,1551,"",0.62,0.78,0.78,0.77,0.83,0.00,0.00,1.07,"",-1,-1.1,-26,-0.5,-35,-0.6,-47,-0.9,-1791505,-1.6,0,0.0,0,0.0,-15,-1.0
"09009","1","10","71","0","2019","2","","New Haven County, Connecticut","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",91,5370,5392,5414,123158878,0,0,1757,"",0.62,0.77,0.77,0.77,0.83,0.00,0.00,1.07,"",1,1.1,-56,-1.0,-31,-0.6,-12,-0.2,848039,0.7,0,0.0,0,0.0,23,1.3
"09009","1","102","72","0","2019","1","","New Haven County, Connecticut","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",91,5389,5385,5363,108423920,0,0,1551,"",0.62,0.80,0.79,0.79,0.85,0.00,0.00,1.07,"",-1,-1.1,-26,-0.5,-35,-0.6,-47,-0.9,-1791505,-1.6,0,0.0,0,0.0,-15,-1.0
"09009","1","102","72","0","2019","2","","New Haven County, Connecticut","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",91,5370,5392,5414,123158878,0,0,1757,"",0.62,0.79,0.79,0.79,0.84,0.00,0.00,1.07,"",1,1.1,-56,-1.0,-31,-0.6,-12,-0.2,848039,0.7,0,0.0,0,0.0,23,1.3
"09009","1","1021","73","0","2019","1","","New Haven County, Connecticut","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",39,1733,1714,1721,25609764,0,0,1144,"",0.53,1.04,1.02,1.03,1.10,0.00,0.00,1.07,"",0,0.0,-19,-1.1,-24,-1.4,-15,-0.9,-495354,-1.9,0,0.0,0,0.0,-9,-0.8
"09009","1","1021","73","0","2019","2","","New Haven County, Connecticut","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",39,1720,1736,1739,29067355,0,0,1291,"",0.53,1.03,1.03,1.04,1.06,0.00,0.00,1.02,"",0,0.0,-23,-1.3,-10,-0.6,-4,-0.2,-579034,-2.0,0,0.0,0,0.0,-17,-1.3
"09009","1","1023","73","0","2019","1","","New Haven County, Connecticut","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,2,6,6,160329,0,0,2643,"",1.03,0.07,0.20,0.20,0.20,0.00,0.00,1.29,"",0,0.0,-4,-66.7,0,0.0,0,0.0,-7561,-4.5,0,0.0,0,0.0,491,22.8
"09009","1","1023","73","0","2019","2","","New Haven County, Connecticut","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,6,5,5,182442,0,0,2631,"",1.04,0.20,0.17,0.17,0.21,0.00,0.00,1.20,"",0,0.0,0,0.0,-1,-16.7,-1,-16.7,-2510,-1.4,0,0.0,0,0.0,260,11.0
