"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"09011","0","10","70","0","2019","1","","New London County, Connecticut","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",7690,120953,120399,121241,1871942309,801618618,24050163,1191,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",126,1.7,-668,-0.5,-1309,-1.1,-1185,-1.0,22659353,1.2,-3040718,-0.4,-512555,-2.1,24,2.1
"09011","0","10","70","0","2019","2","","New London County, Connecticut","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",7744,122718,124126,125171,1702938817,290836435,9584626,1056,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",68,0.9,-529,-0.4,-766,-0.6,-1780,-1.4,54688016,3.3,-3176303,-1.1,-393885,-3.9,42,4.1
"09011","1","10","71","0","2019","1","","New London County, Connecticut","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,2737,2768,2756,44841496,0,0,1253,"",1.43,1.18,1.20,1.19,0.97,0.00,0.00,0.82,"",-1,-1.5,-17,-0.6,9,0.3,-15,-0.5,-925468,-2.0,0,0.0,0,0.0,-22,-1.7
"09011","1","10","71","0","2019","2","","New London County, Connecticut","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",63,2761,2766,2787,51217677,0,0,1422,"",1.39,1.19,1.18,1.17,1.06,0.00,0.00,0.90,"",-2,-3.1,-3,-0.1,-8,-0.3,16,0.6,1873291,3.8,0,0.0,0,0.0,52,3.8
"09011","1","101","72","0","2019","1","","New London County, Connecticut","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,327,329,330,7954601,0,0,1862,"",20.80,7.52,7.59,7.55,9.38,0.00,0.00,1.24,"",0,0.0,10,3.2,8,2.5,12,3.8,247434,3.2,0,0.0,0,0.0,2,0.1
"09011","1","101","72","0","2019","2","","New London County, Connecticut","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,325,326,327,9652593,0,0,2278,"",20.85,7.40,7.27,7.16,10.22,0.00,0.00,1.41,"",0,0.0,9,2.8,4,1.2,-1,-0.3,726538,8.1,0,0.0,0,0.0,146,6.8
"09011","1","1013","73","0","2019","1","","New London County, Connecticut","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,327,329,330,7954601,0,0,1862,"",56.19,7.95,8.05,8.00,9.83,0.00,0.00,1.23,"",0,0.0,10,3.2,8,2.5,12,3.8,247434,3.2,0,0.0,0,0.0,2,0.1
"09011","1","1013","73","0","2019","2","","New London County, Connecticut","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,325,326,327,9652593,0,0,2278,"",56.33,7.88,7.84,7.81,10.73,0.00,0.00,1.37,"",0,0.0,9,2.8,4,1.2,-1,-0.3,726538,8.1,0,0.0,0,0.0,146,6.8
"09011","1","102","72","0","2019","1","","New London County, Connecticut","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",63,2410,2439,2426,36886895,0,0,1170,"",1.39,1.06,1.08,1.07,0.81,0.00,0.00,0.76,"",-1,-1.6,-27,-1.1,1,0.0,-27,-1.1,-1172902,-3.1,0,0.0,0,0.0,-29,-2.4
"09011","1","102","72","0","2019","2","","New London County, Connecticut","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",61,2436,2440,2460,41565084,0,0,1308,"",1.35,1.07,1.06,1.06,0.88,0.00,0.00,0.83,"",-2,-3.2,-12,-0.5,-12,-0.5,17,0.7,1146753,2.8,0,0.0,0,0.0,38,3.0
