"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"10000","0","10","50","0","2019","1","","Delaware -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",33787,441695,442726,446045,7085933808,3294714324,40114938,1229,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1489,4.6,6791,1.6,6313,1.4,7581,1.7,274201551,4.0,99793595,3.1,-4560267,-10.2,29,2.4
"10000","0","10","50","0","2019","2","","Delaware -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",33767,450394,453243,458000,6235687170,1349495942,18700009,1057,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",860,2.6,6105,1.4,2953,0.7,3717,0.8,260565993,4.4,25226042,1.9,-1815214,-8.8,35,3.4
"10000","1","10","51","0","2019","1","","Delaware -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",188,5613,5651,5671,97461241,0,0,1328,"",0.94,0.66,0.67,0.67,0.56,0.00,0.00,0.84,"",-1,-0.5,-82,-1.4,-7,-0.1,8,0.1,-2147246,-2.2,0,0.0,0,0.0,-23,-1.7
"10000","1","10","51","0","2019","2","","Delaware -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",187,5662,5682,5725,110726717,0,0,1497,"",0.95,0.66,0.66,0.66,0.63,0.00,0.00,0.95,"",0,0.0,-20,-0.4,23,0.4,81,1.4,2481709,2.3,0,0.0,0,0.0,26,1.8
"10000","1","102","52","0","2019","1","","Delaware -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",188,5613,5651,5671,97461241,0,0,1328,"",0.95,0.68,0.68,0.68,0.57,0.00,0.00,0.84,"",-1,-0.5,-82,-1.4,-7,-0.1,8,0.1,-2147246,-2.2,0,0.0,0,0.0,-23,-1.7
"10000","1","102","52","0","2019","2","","Delaware -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",187,5662,5682,5725,110726717,0,0,1497,"",0.95,0.67,0.67,0.67,0.64,0.00,0.00,0.95,"",0,0.0,-20,-0.4,23,0.4,81,1.4,2481709,2.3,0,0.0,0,0.0,26,1.8
"10000","1","1021","53","0","2019","1","","Delaware -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",69,2020,2029,2051,28790113,0,0,1089,"",0.69,0.99,0.99,1.00,0.92,0.00,0.00,0.93,"",0,0.0,-1,0.0,21,1.0,48,2.4,-454553,-1.6,0,0.0,0,0.0,-30,-2.7
"10000","1","1021","53","0","2019","2","","Delaware -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",68,2023,2042,2038,32157191,0,0,1216,"",0.68,0.98,0.99,0.98,0.99,0.00,0.00,1.00,"",-1,-1.4,-8,-0.4,29,1.4,32,1.6,-1081521,-3.3,0,0.0,0,0.0,-52,-4.1
"10000","1","1023","53","0","2019","1","","Delaware -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",6,61,61,62,1469495,0,0,1843,"",2.28,1.66,1.67,1.69,1.38,0.00,0.00,0.83,"",0,0.0,-4,-6.2,-2,-3.2,-1,-1.6,-212224,-12.6,0,0.0,0,0.0,-189,-9.3
"10000","1","1023","53","0","2019","2","","Delaware -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",6,61,60,61,1457017,0,0,1847,"",2.33,1.66,1.64,1.63,1.44,0.00,0.00,0.88,"",0,0.0,-1,-1.6,-1,-1.6,-1,-1.6,50445,3.6,0,0.0,0,0.0,92,5.2
"10000","1","1024","53","0","2019","1","","Delaware -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",6,19,21,22,415243,0,0,1546,"",1.24,0.09,0.10,0.11,0.09,0.00,0.00,0.86,"",0,0.0,-1,-5.0,-2,-8.7,0,0.0,-293,-0.1,0,0.0,0,0.0,71,4.8
"10000","1","1024","53","0","2019","2","","Delaware -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",6,22,18,19,394032,0,0,1541,"",1.25,0.11,0.09,0.09,0.09,0.00,0.00,0.93,"",0,0.0,1,4.8,-4,-18.2,-2,-9.5,-2700,-0.7,0,0.0,0,0.0,110,7.7
"10000","1","1025","53","0","2019","1","","Delaware -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",5,1105,1107,1119,22630365,0,0,1568,"",1.10,0.87,0.87,0.87,0.88,0.00,0.00,1.01,"",-1,-16.7,-49,-4.2,-32,-2.8,-25,-2.2,-266658,-1.2,0,0.0,0,0.0,31,2.0
"10000","1","1025","53","0","2019","2","","Delaware -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",5,1115,1131,1141,27071520,0,0,1844,"",1.12,0.87,0.88,0.88,0.99,0.00,0.00,1.13,"",-1,-16.7,-17,-1.5,4,0.4,9,0.8,876994,3.3,0,0.0,0,0.0,61,3.4
"10000","1","1026","53","0","2019","1","","Delaware -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",8,74,82,84,456593,0,0,439,"",1.58,0.55,0.60,0.61,0.26,0.00,0.00,0.45,"",1,14.3,-12,-14.0,-8,-8.9,-3,-3.4,-39914,-8.0,0,0.0,0,0.0,3,0.7
"10000","1","1026","53","0","2019","2","","Delaware -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",8,87,90,91,472849,0,0,407,"",1.60,0.62,0.59,0.57,0.28,0.00,0.00,0.48,"",1,14.3,-12,-12.1,-5,-5.3,-7,-7.1,4605,1.0,0,0.0,0,0.0,37,10.0
"10000","1","1028","53","0","2019","1","","Delaware -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",94,2334,2351,2333,43699432,0,0,1437,"",1.17,0.51,0.51,0.51,0.41,0.00,0.00,0.81,"",-1,-1.1,-15,-0.6,16,0.7,-11,-0.5,-1173604,-2.6,0,0.0,0,0.0,-36,-2.4
"10000","1","1028","53","0","2019","2","","Delaware -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",94,2354,2341,2375,49174108,0,0,1605,"",1.18,0.51,0.50,0.50,0.47,0.00,0.00,0.92,"",1,1.1,17,0.7,0,0.0,50,2.2,2633886,5.7,0,0.0,0,0.0,71,4.6
"10000","1","44-45","54","0","2019","1","","Delaware -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",5,5,6,7,26339,0,0,338,"",2.26,0.04,0.04,0.05,0.02,0.00,0.00,0.53,"",0,0.0,-2,-28.6,-2,-25.0,-1,-12.5,-8281,-23.9,0,0.0,0,0.0,-9,-2.6
"10000","1","44-45","54","0","2019","2","","Delaware -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",5,6,6,6,32470,0,0,416,"",2.28,0.04,0.04,0.04,0.03,0.00,0.00,0.67,"",0,0.0,-2,-25.0,-3,-33.3,-2,-25.0,465,1.5,0,0.0,0,0.0,121,41.0
"10000","1","441","55","0","2019","1","","Delaware -- Statewide","Federal Government","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,8074,0,0,311,"",7.33,5.06,4.85,4.73,2.74,0.00,0.00,0.56,"",0,0.0,1,100.0,1,100.0,1,100.0,1675,26.2,0,0.0,0,0.0,-181,-36.8
"10000","1","441","55","0","2019","2","","Delaware -- Statewide","Federal Government","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,7265,0,0,279,"",7.59,4.85,4.86,4.79,2.99,0.00,0.00,0.62,"",0,0.0,1,100.0,1,100.0,1,100.0,1514,26.3,0,0.0,0,0.0,-163,-36.9
"10000","1","4413","56","0","2019","1","","Delaware -- Statewide","Federal Government","NAICS 4413 Auto parts, accessories, and tire stores","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,8074,0,0,311,"",7.51,5.06,4.85,4.73,2.74,0.00,0.00,0.56,"",0,0.0,1,100.0,1,100.0,1,100.0,1675,26.2,0,0.0,0,0.0,-181,-36.8
