"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"10003","0","10","70","0","2019","1","","New Castle County, Delaware","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",20911,289513,289883,291454,5334971319,2340575141,28221585,1414,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",931,4.7,3698,1.3,3690,1.3,5055,1.8,184630268,3.6,51935772,2.3,-2734872,-8.8,29,2.1
"10003","0","10","70","0","2019","2","","New Castle County, Delaware","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",20895,292914,293256,293261,4486634387,814426356,11484499,1177,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",533,2.6,3637,1.3,1924,0.7,1955,0.7,171367245,4.0,13449051,1.7,-1088150,-8.7,35,3.1
"10003","1","10","71","0","2019","1","","New Castle County, Delaware","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,3320,3325,3338,61615517,0,0,1424,"",0.50,0.60,0.60,0.60,0.47,0.00,0.00,0.78,"",1,1.7,-31,-0.9,11,0.3,19,0.6,-1240029,-2.0,0,0.0,0,0.0,-29,-2.0
"10003","1","10","71","0","2019","2","","New Castle County, Delaware","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",60,3315,3336,3334,69310063,0,0,1602,"",0.49,0.60,0.60,0.60,0.55,0.00,0.00,0.91,"",0,0.0,-13,-0.4,38,1.2,50,1.5,1320083,1.9,0,0.0,0,0.0,19,1.2
"10003","1","102","72","0","2019","1","","New Castle County, Delaware","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",61,3320,3325,3338,61615517,0,0,1424,"",0.50,0.61,0.61,0.61,0.48,0.00,0.00,0.78,"",1,1.7,-31,-0.9,11,0.3,19,0.6,-1240029,-2.0,0,0.0,0,0.0,-29,-2.0
"10003","1","102","72","0","2019","2","","New Castle County, Delaware","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",60,3315,3336,3334,69310063,0,0,1602,"",0.49,0.61,0.61,0.61,0.56,0.00,0.00,0.91,"",0,0.0,-13,-0.4,38,1.2,50,1.5,1320083,1.9,0,0.0,0,0.0,19,1.2
"10003","1","1021","73","0","2019","1","","New Castle County, Delaware","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",26,1398,1380,1392,20859417,0,0,1154,"",0.42,1.04,1.03,1.04,0.89,0.00,0.00,0.86,"",0,0.0,13,0.9,0,0.0,14,1.0,-727466,-3.4,0,0.0,0,0.0,-48,-4.0
"10003","1","1021","73","0","2019","2","","New Castle County, Delaware","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",26,1377,1388,1381,23031089,0,0,1282,"",0.42,1.03,1.04,1.04,0.98,0.00,0.00,0.95,"",0,0.0,-24,-1.7,1,0.1,-3,-0.2,-1231767,-5.1,0,0.0,0,0.0,-60,-4.5
"10003","1","1023","73","0","2019","1","","New Castle County, Delaware","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,27,27,28,795590,0,0,2239,"",1.84,1.12,1.13,1.17,0.99,0.00,0.00,0.87,"",0,0.0,-2,-6.9,-1,-3.6,0,0.0,-78975,-9.0,0,0.0,0,0.0,-135,-5.7
"10003","1","1023","73","0","2019","2","","New Castle County, Delaware","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,27,27,28,798707,0,0,2248,"",1.88,1.13,1.14,1.17,1.10,0.00,0.00,0.96,"",0,0.0,-1,-3.6,0,0.0,0,0.0,49505,6.6,0,0.0,0,0.0,165,7.9
