"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12003","0","10","70","0","2019","1","","Baker County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",436,7555,7587,7658,64151247,22671791,76767,649,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,2.8,47,0.6,-31,-0.4,-32,-0.4,-1382528,-2.1,-988862,-4.2,-38367,-33.3,-14,-2.1
"12003","0","10","70","0","2019","2","","Baker County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",442,7640,7688,7642,64931777,7382627,34584,652,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,3.8,372,5.1,-100,-1.3,-91,-1.2,-643366,-1.0,-355396,-4.6,-10220,-22.8,-12,-1.8
"12003","1","10","71","0","2019","1","","Baker County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,59,64,64,829261,0,0,1023,"",1.56,0.41,0.44,0.44,0.52,0.00,0.00,1.22,"",0,0.0,1,1.7,4,6.7,3,4.9,12957,1.6,0,0.0,0,0.0,-29,-2.8
"12003","1","10","71","0","2019","2","","Baker County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,64,63,63,941986,0,0,1144,"",1.55,0.44,0.43,0.43,0.51,0.00,0.00,1.18,"",0,0.0,1,1.6,5,8.6,7,12.5,123338,15.1,0,0.0,0,0.0,77,7.2
"12003","1","102","72","0","2019","1","","Baker County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,59,64,64,829261,0,0,1023,"",1.56,0.42,0.45,0.45,0.53,0.00,0.00,1.22,"",0,0.0,1,1.7,4,6.7,3,4.9,12957,1.6,0,0.0,0,0.0,-29,-2.8
"12003","1","102","72","0","2019","2","","Baker County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,64,63,63,941986,0,0,1144,"",1.55,0.45,0.44,0.44,0.52,0.00,0.00,1.18,"",0,0.0,1,1.6,5,8.6,7,12.5,123338,15.1,0,0.0,0,0.0,77,7.2
"12003","1","1021","73","0","2019","1","","Baker County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,29,32,32,360707,0,0,895,"",2.32,0.83,0.91,0.91,1.28,0.00,0.00,1.44,"",0,0.0,-3,-9.4,1,3.2,1,3.2,3981,1.1,0,0.0,0,0.0,19,2.2
"12003","1","1021","73","0","2019","2","","Baker County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,32,32,32,429986,0,0,1034,"",2.31,0.92,0.92,0.92,1.27,0.00,0.00,1.38,"",0,0.0,-1,-3.0,4,14.3,3,10.3,15484,3.7,0,0.0,0,0.0,-29,-2.7
"12003","1","1028","73","0","2019","1","","Baker County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,30,32,32,468554,0,0,1150,"",0.97,0.38,0.41,0.41,0.49,0.00,0.00,1.22,"",0,0.0,4,15.4,3,10.3,2,6.7,8976,2.0,0,0.0,0,0.0,-98,-7.9
"12003","1","1028","73","0","2019","2","","Baker County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,32,31,31,512000,0,0,1257,"",0.96,0.41,0.39,0.39,0.47,0.00,0.00,1.17,"",0,0.0,2,6.7,1,3.3,4,14.8,107854,26.7,0,0.0,0,0.0,185,17.3
"12003","1","48-49","74","0","2019","1","","Baker County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,29,32,32,360707,0,0,895,"",2.38,0.91,1.00,0.99,1.37,0.00,0.00,1.42,"",0,0.0,-3,-9.4,1,3.2,1,3.2,3981,1.1,0,0.0,0,0.0,19,2.2
"12003","1","48-49","74","0","2019","2","","Baker County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,32,32,32,429986,0,0,1034,"",2.37,1.00,1.00,1.01,1.36,0.00,0.00,1.36,"",0,0.0,-1,-3.0,4,14.3,3,10.3,15484,3.7,0,0.0,0,0.0,-29,-2.7
"12003","1","491","75","0","2019","1","","Baker County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,29,32,32,360707,0,0,895,"",2.40,0.93,1.02,1.01,1.44,0.00,0.00,1.46,"",0,0.0,-3,-9.4,1,3.2,1,3.2,3981,1.1,0,0.0,0,0.0,19,2.2
"12003","1","491","75","0","2019","2","","Baker County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,32,32,32,429986,0,0,1034,"",2.39,1.02,1.02,1.03,1.42,0.00,0.00,1.38,"",0,0.0,-1,-3.0,4,14.3,3,10.3,15484,3.7,0,0.0,0,0.0,-29,-2.7
"12003","1","4911","76","0","2019","1","","Baker County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,29,32,32,360707,0,0,895,"",2.40,0.93,1.02,1.01,1.44,0.00,0.00,1.46,"",0,0.0,-3,-9.4,1,3.2,1,3.2,3981,1.1,0,0.0,0,0.0,19,2.2
"12003","1","4911","76","0","2019","2","","Baker County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,32,32,32,429986,0,0,1034,"",2.39,1.02,1.02,1.03,1.42,0.00,0.00,1.38,"",0,0.0,-1,-3.0,4,14.3,3,10.3,15484,3.7,0,0.0,0,0.0,-29,-2.7
"12003","1","49111","77","0","2019","1","","Baker County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,29,32,32,360707,0,0,895,"",2.40,0.93,1.02,1.01,1.44,0.00,0.00,1.46,"",0,0.0,-3,-9.4,1,3.2,1,3.2,3981,1.1,0,0.0,0,0.0,19,2.2
"12003","1","49111","77","0","2019","2","","Baker County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,32,32,32,429986,0,0,1034,"",2.39,1.02,1.02,1.03,1.42,0.00,0.00,1.38,"",0,0.0,-1,-3.0,4,14.3,3,10.3,15484,3.7,0,0.0,0,0.0,-29,-2.7
"12003","1","491110","78","0","2019","1","","Baker County, Florida","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,29,32,32,360707,0,0,895,"",2.40,0.93,1.02,1.01,1.44,0.00,0.00,1.46,"",0,0.0,-3,-9.4,1,3.2,1,3.2,3981,1.1,0,0.0,0,0.0,19,2.2
"12003","1","491110","78","0","2019","2","","Baker County, Florida","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,32,32,32,429986,0,0,1034,"",2.39,1.02,1.02,1.03,1.42,0.00,0.00,1.38,"",0,0.0,-1,-3.0,4,14.3,3,10.3,15484,3.7,0,0.0,0,0.0,-29,-2.7
"12003","1","92","74","0","2019","1","","Baker County, Florida","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,30,32,32,468554,0,0,1150,"",0.97,0.38,0.41,0.41,0.49,0.00,0.00,1.22,"",0,0.0,4,15.4,3,10.3,2,6.7,8976,2.0,0,0.0,0,0.0,-98,-7.9
"12003","1","92","74","0","2019","2","","Baker County, Florida","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,32,31,31,512000,0,0,1257,"",0.96,0.41,0.39,0.39,0.47,0.00,0.00,1.17,"",0,0.0,2,6.7,1,3.3,4,14.8,107854,26.7,0,0.0,0,0.0,185,17.3
"12003","1","924","75","0","2019","1","","Baker County, Florida","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,30,32,32,468554,0,0,1150,"",4.36,6.76,6.98,7.05,8.90,0.00,0.00,1.28,"",0,0.0,4,15.4,3,10.3,2,6.7,8976,2.0,0,0.0,0,0.0,-98,-7.9
"12003","1","924","75","0","2019","2","","Baker County, Florida","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,32,31,31,512000,0,0,1257,"",4.34,6.86,6.22,6.04,9.17,0.00,0.00,1.44,"",0,0.0,2,6.7,1,3.3,4,14.8,107854,26.7,0,0.0,0,0.0,185,17.3
"12003","1","9241","76","0","2019","1","","Baker County, Florida","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,30,32,32,468554,0,0,1150,"",4.36,6.76,6.98,7.05,8.90,0.00,0.00,1.28,"",0,0.0,4,15.4,3,10.3,2,6.7,8976,2.0,0,0.0,0,0.0,-98,-7.9
"12003","1","9241","76","0","2019","2","","Baker County, Florida","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,32,31,31,512000,0,0,1257,"",4.34,6.86,6.22,6.04,9.17,0.00,0.00,1.44,"",0,0.0,2,6.7,1,3.3,4,14.8,107854,26.7,0,0.0,0,0.0,185,17.3
"12003","1","92412","77","0","2019","1","","Baker County, Florida","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,30,32,32,468554,0,0,1150,"",4.58,8.33,8.54,8.66,12.10,0.00,0.00,1.42,"",0,0.0,4,15.4,3,10.3,2,6.7,8976,2.0,0,0.0,0,0.0,-98,-7.9
"12003","1","92412","77","0","2019","2","","Baker County, Florida","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,32,31,31,512000,0,0,1257,"",4.57,8.34,7.47,7.20,12.18,0.00,0.00,1.59,"",0,0.0,2,6.7,1,3.3,4,14.8,107854,26.7,0,0.0,0,0.0,185,17.3
"12003","1","924120","78","0","2019","1","","Baker County, Florida","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,30,32,32,468554,0,0,1150,"",4.58,8.33,8.54,8.66,12.10,0.00,0.00,1.42,"",0,0.0,4,15.4,3,10.3,2,6.7,8976,2.0,0,0.0,0,0.0,-98,-7.9
"12003","1","924120","78","0","2019","2","","Baker County, Florida","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,32,31,31,512000,0,0,1257,"",4.57,8.34,7.47,7.20,12.18,0.00,0.00,1.59,"",0,0.0,2,6.7,1,3.3,4,14.8,107854,26.7,0,0.0,0,0.0,185,17.3
