"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12009","0","10","70","0","2019","1","","Brevard County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16379,218804,220296,220871,2782714397,1027510232,5997669,973,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",527,3.3,8147,3.9,7914,3.7,6746,3.2,190971609,7.4,55875230,5.8,-1139395,-16.0,34,3.6
"12009","0","10","70","0","2019","2","","Brevard County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16492,221909,221760,221375,2866339726,242970135,1654757,995,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",546,3.4,8430,3.9,7609,3.6,7142,3.3,237147930,9.0,-5745692,-2.3,-290837,-14.9,50,5.3
"12009","1","10","71","0","2019","1","","Brevard County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",85,6302,6295,6297,134323325,0,0,1641,"",0.88,1.50,1.49,1.49,1.96,0.00,0.00,1.31,"",1,1.2,80,1.3,73,1.2,64,1.0,1143394,0.9,0,0.0,0,0.0,-5,-0.3
"12009","1","10","71","0","2019","2","","Brevard County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",82,6318,6311,6351,139993734,0,0,1702,"",0.85,1.50,1.50,1.51,1.73,0.00,0.00,1.15,"",-2,-2.4,68,1.1,75,1.2,61,1.0,6042405,4.5,0,0.0,0,0.0,56,3.4
"12009","1","102","72","0","2019","1","","Brevard County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",85,6302,6295,6297,134323325,0,0,1641,"",0.88,1.53,1.52,1.52,1.99,0.00,0.00,1.31,"",1,1.2,80,1.3,73,1.2,64,1.0,1143394,0.9,0,0.0,0,0.0,-5,-0.3
"12009","1","102","72","0","2019","2","","Brevard County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",82,6318,6311,6351,139993734,0,0,1702,"",0.85,1.53,1.53,1.54,1.76,0.00,0.00,1.15,"",-2,-2.4,68,1.1,75,1.2,61,1.0,6042405,4.5,0,0.0,0,0.0,56,3.4
"12009","1","1021","73","0","2019","1","","Brevard County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,1027,1015,1004,13614855,0,0,1031,"",0.68,1.01,1.00,0.99,1.11,0.00,0.00,1.11,"",1,3.1,-5,-0.5,-19,-1.8,-27,-2.6,349862,2.6,0,0.0,0,0.0,43,4.4
"12009","1","1021","73","0","2019","2","","Brevard County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",31,1025,1012,1006,14939725,0,0,1133,"",0.64,1.01,1.00,1.00,1.00,0.00,0.00,0.99,"",-1,-3.1,-13,-1.3,-23,-2.2,-22,-2.1,157793,1.1,0,0.0,0,0.0,33,3.0
"12009","1","1022","73","0","2019","1","","Brevard County, Florida","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,37731,0,0,484,"",4.96,0.61,0.61,0.61,0.25,0.00,0.00,0.41,"",0,0.0,1,20.0,2,50.0,1,20.0,7620,25.3,0,0.0,0,0.0,-12,-2.4
"12009","1","1022","73","0","2019","2","","Brevard County, Florida","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,31564,0,0,405,"",4.93,0.61,0.62,0.61,0.19,0.00,0.00,0.30,"",0,0.0,1,20.0,1,20.0,-2,-25.0,1591,5.3,0,0.0,0,0.0,21,5.5
"12009","1","1024","73","0","2019","1","","Brevard County, Florida","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,49,49,48,1066676,0,0,1686,"",1.27,0.49,0.49,0.48,0.57,0.00,0.00,1.18,"",-1,-25.0,-1,-2.0,0,0.0,-1,-2.0,-90272,-7.8,0,0.0,0,0.0,-118,-6.5
"12009","1","1024","73","0","2019","2","","Brevard County, Florida","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,49,48,47,1020877,0,0,1636,"",1.27,0.49,0.48,0.47,0.50,0.00,0.00,1.05,"",-1,-25.0,2,4.3,1,2.1,-2,-4.1,29772,3.0,0,0.0,0,0.0,37,2.3
"12009","1","1025","73","0","2019","1","","Brevard County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,538,537,533,10346343,0,0,1485,"",1.37,0.85,0.85,0.84,1.02,0.00,0.00,1.21,"",0,0.0,27,5.3,33,6.5,38,7.7,619562,6.4,0,0.0,0,0.0,-2,-0.1
"12009","1","1025","73","0","2019","2","","Brevard County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,537,532,537,11620100,0,0,1670,"",1.37,0.85,0.85,0.86,0.92,0.00,0.00,1.09,"",0,0.0,48,9.8,39,7.9,36,7.2,916233,8.6,0,0.0,0,0.0,4,0.2
"12009","1","1026","73","0","2019","1","","Brevard County, Florida","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",10,147,153,144,1116650,0,0,580,"",4.08,2.19,2.25,2.10,1.64,0.00,0.00,0.75,"",0,0.0,-5,-3.3,-6,-3.8,-15,-9.4,-83247,-6.9,0,0.0,0,0.0,-9,-1.5
"12009","1","1026","73","0","2019","2","","Brevard County, Florida","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",9,150,154,152,1103834,0,0,559,"",3.69,2.16,2.05,1.95,1.44,0.00,0.00,0.70,"",-1,-10.0,-7,-4.5,3,2.0,-5,-3.2,64757,6.2,0,0.0,0,0.0,43,8.3
"12009","1","1028","73","0","2019","1","","Brevard County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",35,4535,4535,4562,108141070,0,0,1831,"",0.90,2.00,1.98,2.00,2.58,0.00,0.00,1.30,"",1,2.9,63,1.4,63,1.4,68,1.5,339869,0.3,0,0.0,0,0.0,-20,-1.1
"12009","1","1028","73","0","2019","2","","Brevard County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",35,4551,4559,4603,111277634,0,0,1873,"",0.90,1.99,2.01,2.02,2.30,0.00,0.00,1.14,"",1,2.9,37,0.8,54,1.2,56,1.2,4872259,4.6,0,0.0,0,0.0,63,3.5
"12009","1","44-45","74","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",6,222,222,221,1981378,0,0,688,"",5.60,3.30,3.31,3.32,4.54,0.00,0.00,1.37,"",1,20.0,-8,-3.5,-8,-3.5,-11,-4.7,-149763,-7.0,0,0.0,0,0.0,-23,-3.2
"12009","1","44-45","74","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",5,224,219,217,1987136,0,0,695,"",4.67,3.38,3.34,3.32,3.95,0.00,0.00,1.18,"",0,0.0,-9,-3.9,-16,-6.8,-16,-6.9,-181707,-8.4,0,0.0,0,0.0,-19,-2.7
"12009","1","441","75","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 441 Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,2,2,2,14230,0,0,547,"",30.24,10.22,9.74,9.54,12.32,0.00,0.00,1.25,"",1,100.0,0,0.0,0,0.0,1,100.0,4004,39.2,0,0.0,0,0.0,75,15.9
"12009","1","441","75","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 441 Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,12409,0,0,477,"",15.54,9.85,9.93,9.90,11.09,0.00,0.00,1.12,"",0,0.0,1,100.0,1,100.0,1,100.0,5771,86.9,0,0.0,0,0.0,-34,-6.7
"12009","1","4412","76","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 4412 Other motor vehicle dealers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",619.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"12009","1","4412","76","0","2019","2","-","Brevard County, Florida","Federal Government","NAICS 4412 Other motor vehicle dealers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12009","1","44122","77","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 44122 Motorcycle, boat, and other vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",619.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"12009","1","44122","77","0","2019","2","-","Brevard County, Florida","Federal Government","NAICS 44122 Motorcycle, boat, and other vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12009","1","441222","78","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 441222 Boat dealers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",619.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"12009","1","441222","78","0","2019","2","-","Brevard County, Florida","Federal Government","NAICS 441222 Boat dealers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12009","1","4413","76","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 4413 Auto parts, accessories, and tire stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,14230,0,0,547,"",15.50,10.22,9.74,9.54,12.32,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,1,100.0,4004,39.2,0,0.0,0,0.0,75,15.9
"12009","1","4413","76","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 4413 Auto parts, accessories, and tire stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,12409,0,0,477,"",15.54,9.85,9.93,9.90,11.09,0.00,0.00,1.12,"",0,0.0,1,100.0,1,100.0,1,100.0,5771,86.9,0,0.0,0,0.0,-34,-6.7
"12009","1","44131","77","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 44131 Automotive parts and accessories stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,14230,0,0,547,"",15.50,10.22,9.74,9.54,12.32,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,1,100.0,4004,39.2,0,0.0,0,0.0,75,15.9
"12009","1","44131","77","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 44131 Automotive parts and accessories stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,12409,0,0,477,"",15.54,9.85,9.93,9.90,11.09,0.00,0.00,1.12,"",0,0.0,1,100.0,1,100.0,1,100.0,5771,86.9,0,0.0,0,0.0,-34,-6.7
"12009","1","441310","78","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 441310 Automotive parts and accessories stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,14230,0,0,547,"",15.50,10.22,9.74,9.54,12.32,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,1,100.0,4004,39.2,0,0.0,0,0.0,75,15.9
"12009","1","441310","78","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 441310 Automotive parts and accessories stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,12409,0,0,477,"",15.54,9.85,9.93,9.90,11.09,0.00,0.00,1.12,"",0,0.0,1,100.0,1,100.0,1,100.0,5771,86.9,0,0.0,0,0.0,-34,-6.7
"12009","1","445","75","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,82,82,81,702348,0,0,662,"",3.15,4.85,4.86,4.82,5.24,0.00,0.00,1.08,"",0,0.0,-7,-7.9,-7,-7.9,-11,-12.0,-148991,-17.5,0,0.0,0,0.0,-66,-9.1
"12009","1","445","75","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,83,78,76,854775,0,0,832,"",3.14,5.04,4.78,4.73,4.85,0.00,0.00,1.00,"",0,0.0,-9,-9.8,-16,-17.0,-16,-17.4,-186602,-17.9,0,0.0,0,0.0,-32,-3.7
"12009","1","4451","76","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 4451 Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,82,82,81,702348,0,0,662,"",3.16,4.86,4.87,4.83,5.24,0.00,0.00,1.08,"",0,0.0,-7,-7.9,-7,-7.9,-11,-12.0,-148991,-17.5,0,0.0,0,0.0,-66,-9.1
"12009","1","4451","76","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 4451 Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,83,78,76,854775,0,0,832,"",3.16,5.04,4.79,4.73,4.85,0.00,0.00,1.00,"",0,0.0,-9,-9.8,-16,-17.0,-16,-17.4,-186602,-17.9,0,0.0,0,0.0,-32,-3.7
"12009","1","44511","77","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 44511 Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,82,82,81,702348,0,0,662,"",3.65,5.18,5.19,5.15,5.51,0.00,0.00,1.07,"",0,0.0,-7,-7.9,-7,-7.9,-11,-12.0,-148991,-17.5,0,0.0,0,0.0,-66,-9.1
"12009","1","44511","77","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 44511 Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,83,78,76,854775,0,0,832,"",3.64,5.39,5.11,5.06,5.03,0.00,0.00,0.97,"",0,0.0,-9,-9.8,-16,-17.0,-16,-17.4,-186602,-17.9,0,0.0,0,0.0,-32,-3.7
"12009","1","445110","78","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 445110 Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,82,82,81,702348,0,0,662,"",3.65,5.18,5.19,5.15,5.51,0.00,0.00,1.07,"",0,0.0,-7,-7.9,-7,-7.9,-11,-12.0,-148991,-17.5,0,0.0,0,0.0,-66,-9.1
"12009","1","445110","78","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 445110 Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,83,78,76,854775,0,0,832,"",3.64,5.39,5.11,5.06,5.03,0.00,0.00,0.97,"",0,0.0,-9,-9.8,-16,-17.0,-16,-17.4,-186602,-17.9,0,0.0,0,0.0,-32,-3.7
"12009","1","451","75","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 451 Sports, hobby, music instrument, book stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,6045,0,0,465,"",18.79,7.91,8.49,8.19,12.21,0.00,0.00,1.49,"",0,0.0,0,0.0,0,0.0,0,0.0,140,2.4,0,0.0,0,0.0,11,2.4
"12009","1","451","75","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 451 Sports, hobby, music instrument, book stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,5732,0,0,441,"",18.84,7.91,7.45,7.57,9.11,0.00,0.00,1.19,"",0,0.0,0,0.0,0,0.0,0,0.0,722,14.4,0,0.0,0,0.0,56,14.5
"12009","1","4511","76","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 4511 Sporting goods and musical instrument stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,6045,0,0,465,"",19.37,8.00,8.60,8.29,12.99,0.00,0.00,1.57,"",0,0.0,0,0.0,0,0.0,0,0.0,140,2.4,0,0.0,0,0.0,11,2.4
"12009","1","4511","76","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 4511 Sporting goods and musical instrument stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,5732,0,0,441,"",19.43,8.01,7.53,7.65,9.61,0.00,0.00,1.24,"",0,0.0,0,0.0,0,0.0,0,0.0,722,14.4,0,0.0,0,0.0,56,14.5
"12009","1","45111","77","0","2019","1","","Brevard County, Florida","Federal Government","NAICS 45111 Sporting goods stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,6045,0,0,465,"",20.67,8.41,9.07,8.61,13.82,0.00,0.00,1.59,"",0,0.0,0,0.0,0,0.0,0,0.0,140,2.4,0,0.0,0,0.0,11,2.4
"12009","1","45111","77","0","2019","2","","Brevard County, Florida","Federal Government","NAICS 45111 Sporting goods stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,5732,0,0,441,"",20.72,8.31,7.79,7.92,9.95,0.00,0.00,1.24,"",0,0.0,0,0.0,0,0.0,0,0.0,722,14.4,0,0.0,0,0.0,56,14.5
