"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12011","0","10","70","0","2019","1","","Broward County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",70749,814972,819697,820334,11611962206,4127194039,27394232,1092,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1806,2.6,11142,1.4,11062,1.4,8614,1.1,659254683,6.0,100823557,2.5,-6147905,-18.3,49,4.7
"12011","0","10","70","0","2019","2","","Broward County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",71460,821386,822913,813077,10788479306,958575556,7010199,1013,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2131,3.1,10268,1.3,9672,1.2,9128,1.1,271015889,2.6,-18504170,-1.9,-1540937,-18.0,13,1.3
"12011","1","10","71","0","2019","1","","Broward County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",106,6904,6817,6826,132152139,0,0,1484,"",0.25,0.44,0.43,0.44,0.46,0.00,0.00,1.05,"",1,1.0,16,0.2,-87,-1.3,-35,-0.5,-9308202,-6.6,0,0.0,0,0.0,-97,-6.1
"12011","1","10","71","0","2019","2","","Broward County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",104,6884,6899,6960,138731801,0,0,1543,"",0.25,0.44,0.44,0.45,0.45,0.00,0.00,1.02,"",0,0.0,-25,-0.4,-9,-0.1,98,1.4,2575769,1.9,0,0.0,0,0.0,24,1.6
"12011","1","102","72","0","2019","1","","Broward County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",106,6904,6817,6826,132152139,0,0,1484,"",0.25,0.45,0.44,0.44,0.47,0.00,0.00,1.05,"",1,1.0,16,0.2,-87,-1.3,-35,-0.5,-9308202,-6.6,0,0.0,0,0.0,-97,-6.1
"12011","1","102","72","0","2019","2","","Broward County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",104,6884,6899,6960,138731801,0,0,1543,"",0.25,0.45,0.45,0.46,0.46,0.00,0.00,1.02,"",0,0.0,-25,-0.4,-9,-0.1,98,1.4,2575769,1.9,0,0.0,0,0.0,24,1.6
"12011","1","1021","73","0","2019","1","","Broward County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",46,2719,2647,2661,43454974,0,0,1249,"",0.22,0.72,0.70,0.70,0.85,0.00,0.00,1.20,"",1,2.2,42,1.6,-69,-2.5,-43,-1.6,73460,0.2,0,0.0,0,0.0,13,1.1
"12011","1","1021","73","0","2019","2","","Broward County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",46,2666,2698,2731,48930053,0,0,1395,"",0.22,0.71,0.72,0.74,0.87,0.00,0.00,1.20,"",1,2.2,-48,-1.8,-12,-0.4,45,1.7,-298282,-0.6,0,0.0,0,0.0,-6,-0.4
"12011","1","1023","73","0","2019","1","","Broward County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,32,30,30,971870,0,0,2438,"",0.18,0.47,0.44,0.44,0.56,0.00,0.00,1.23,"",0,0.0,0,0.0,-2,-6.2,-3,-9.1,-214388,-18.1,0,0.0,0,0.0,-384,-13.6
"12011","1","1023","73","0","2019","2","","Broward County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,29,29,30,964171,0,0,2528,"",0.18,0.43,0.44,0.45,0.55,0.00,0.00,1.25,"",0,0.0,-4,-12.1,-4,-12.1,-4,-11.8,-48519,-4.8,0,0.0,0,0.0,191,8.2
"12011","1","1024","73","0","2019","1","","Broward County, Florida","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,29,27,26,573535,0,0,1614,"",0.20,0.08,0.07,0.07,0.07,0.00,0.00,1.01,"",0,0.0,-2,-6.5,-4,-12.9,-4,-13.3,-100418,-14.9,0,0.0,0,0.0,-77,-4.6
"12011","1","1024","73","0","2019","2","","Broward County, Florida","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,27,27,27,555513,0,0,1583,"",0.20,0.07,0.07,0.07,0.07,0.00,0.00,1.00,"",0,0.0,-4,-12.9,-4,-12.9,-4,-12.9,-61674,-10.0,0,0.0,0,0.0,52,3.4
"12011","1","1025","73","0","2019","1","","Broward County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,296,300,303,6377394,0,0,1637,"",0.53,0.13,0.13,0.13,0.15,0.00,0.00,1.18,"",-1,-16.7,21,7.6,33,12.4,36,13.5,688038,12.1,0,0.0,0,0.0,14,0.9
"12011","1","1025","73","0","2019","2","","Broward County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,304,305,308,7464159,0,0,1878,"",0.42,0.13,0.13,0.13,0.16,0.00,0.00,1.20,"",-1,-20.0,34,12.6,36,13.4,40,14.9,1213515,19.4,0,0.0,0,0.0,91,5.1
"12011","1","1028","73","0","2019","1","","Broward County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",52,3828,3813,3806,80774366,0,0,1628,"",0.31,0.45,0.45,0.45,0.46,0.00,0.00,1.03,"",1,2.0,-45,-1.2,-45,-1.2,-21,-0.5,-9754894,-10.8,0,0.0,0,0.0,-180,-10.0
"12011","1","1028","73","0","2019","2","","Broward County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",51,3858,3840,3864,80817905,0,0,1613,"",0.30,0.46,0.46,0.46,0.44,0.00,0.00,0.97,"",0,0.0,-3,-0.1,-25,-0.6,21,0.5,1770729,2.2,0,0.0,0,0.0,36,2.3
"12011","1","48-49","74","0","2019","1","","Broward County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",46,2719,2647,2661,43454974,0,0,1249,"",0.23,0.79,0.76,0.77,0.91,0.00,0.00,1.18,"",1,2.2,42,1.6,-69,-2.5,-43,-1.6,73460,0.2,0,0.0,0,0.0,13,1.1
"12011","1","48-49","74","0","2019","2","","Broward County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",46,2666,2698,2731,48930053,0,0,1395,"",0.22,0.78,0.79,0.81,0.93,0.00,0.00,1.18,"",1,2.2,-48,-1.8,-12,-0.4,45,1.7,-298282,-0.6,0,0.0,0,0.0,-6,-0.4
"12011","1","488","75","0","2019","1","","Broward County, Florida","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,91,91,91,2731431,0,0,2309,"",0.87,1.41,1.41,1.41,1.24,0.00,0.00,0.88,"",0,0.0,1,1.1,0,0.0,0,0.0,-117751,-4.1,0,0.0,0,0.0,-108,-4.5
"12011","1","488","75","0","2019","2","","Broward County, Florida","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,88,92,92,2465170,0,0,2091,"",0.87,1.38,1.45,1.47,1.27,0.00,0.00,0.89,"",0,0.0,-4,-4.3,0,0.0,3,3.4,229139,10.2,0,0.0,0,0.0,201,10.6
"12011","1","4881","76","0","2019","1","","Broward County, Florida","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,91,91,91,2731431,0,0,2309,"",0.87,1.41,1.41,1.41,1.24,0.00,0.00,0.88,"",0,0.0,1,1.1,0,0.0,0,0.0,-117751,-4.1,0,0.0,0,0.0,-108,-4.5
"12011","1","4881","76","0","2019","2","","Broward County, Florida","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,88,92,92,2465170,0,0,2091,"",0.87,1.38,1.45,1.47,1.27,0.00,0.00,0.89,"",0,0.0,-4,-4.3,0,0.0,3,3.4,229139,10.2,0,0.0,0,0.0,201,10.6
"12011","1","48811","77","0","2019","1","","Broward County, Florida","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,91,91,91,2731431,0,0,2309,"",0.87,1.41,1.41,1.41,1.24,0.00,0.00,0.88,"",0,0.0,1,1.1,0,0.0,0,0.0,-117751,-4.1,0,0.0,0,0.0,-108,-4.5
"12011","1","48811","77","0","2019","2","","Broward County, Florida","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,88,92,92,2465170,0,0,2091,"",0.87,1.38,1.45,1.47,1.27,0.00,0.00,0.89,"",0,0.0,-4,-4.3,0,0.0,3,3.4,229139,10.2,0,0.0,0,0.0,201,10.6
"12011","1","488111","78","0","2019","1","","Broward County, Florida","Federal Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,91,91,91,2731431,0,0,2309,"",0.88,1.42,1.41,1.41,1.24,0.00,0.00,0.88,"",0,0.0,1,1.1,0,0.0,0,0.0,-117751,-4.1,0,0.0,0,0.0,-108,-4.5
"12011","1","488111","78","0","2019","2","","Broward County, Florida","Federal Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,88,92,92,2465170,0,0,2091,"",0.87,1.38,1.46,1.47,1.27,0.00,0.00,0.89,"",0,0.0,-4,-4.3,0,0.0,3,3.4,229139,10.2,0,0.0,0,0.0,201,10.6
"12011","1","491","75","0","2019","1","","Broward County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",45,2628,2556,2570,40723543,0,0,1212,"",0.22,0.78,0.75,0.76,0.90,0.00,0.00,1.18,"",1,2.3,41,1.6,-69,-2.6,-43,-1.6,191211,0.5,0,0.0,0,0.0,17,1.4
"12011","1","491","75","0","2019","2","","Broward County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",45,2578,2606,2639,46464883,0,0,1371,"",0.22,0.77,0.78,0.80,0.92,0.00,0.00,1.18,"",1,2.3,-44,-1.7,-12,-0.5,42,1.6,-527421,-1.1,0,0.0,0,0.0,-13,-0.9
"12011","1","4911","76","0","2019","1","","Broward County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",45,2628,2556,2570,40723543,0,0,1212,"",0.22,0.78,0.75,0.76,0.90,0.00,0.00,1.18,"",1,2.3,41,1.6,-69,-2.6,-43,-1.6,191211,0.5,0,0.0,0,0.0,17,1.4
"12011","1","4911","76","0","2019","2","","Broward County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",45,2578,2606,2639,46464883,0,0,1371,"",0.22,0.77,0.78,0.80,0.92,0.00,0.00,1.18,"",1,2.3,-44,-1.7,-12,-0.5,42,1.6,-527421,-1.1,0,0.0,0,0.0,-13,-0.9
"12011","1","49111","77","0","2019","1","","Broward County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",45,2628,2556,2570,40723543,0,0,1212,"",0.22,0.78,0.75,0.76,0.90,0.00,0.00,1.18,"",1,2.3,41,1.6,-69,-2.6,-43,-1.6,191211,0.5,0,0.0,0,0.0,17,1.4
"12011","1","49111","77","0","2019","2","","Broward County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",45,2578,2606,2639,46464883,0,0,1371,"",0.22,0.77,0.78,0.80,0.92,0.00,0.00,1.18,"",1,2.3,-44,-1.7,-12,-0.5,42,1.6,-527421,-1.1,0,0.0,0,0.0,-13,-0.9
