"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12015","0","10","70","0","2019","1","","Charlotte County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4831,49008,49731,49633,491839416,229114041,1199540,765,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",184,4.0,1134,2.4,1414,2.9,847,1.7,29029355,6.3,9612137,4.4,-262698,-18.0,28,3.8
"12015","0","10","70","0","2019","2","","Charlotte County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4871,49263,48728,47119,482969479,60754748,351665,768,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",224,4.8,1225,2.6,1035,2.2,842,1.8,27114759,5.9,-156591,-0.3,-74633,-17.5,27,3.6
"12015","1","10","71","0","2019","1","","Charlotte County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,330,408,409,5515218,0,0,1110,"",0.42,0.35,0.43,0.43,0.45,0.00,0.00,1.13,"",1,9.1,12,3.8,99,32.0,99,31.9,342100,6.6,0,0.0,0,0.0,-164,-12.9
"12015","1","10","71","0","2019","2","","Charlotte County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,406,339,343,5855153,0,0,1242,"",0.42,0.43,0.37,0.38,0.43,0.00,0.00,1.08,"",1,9.1,96,31.0,27,8.7,28,8.9,280288,5.0,0,0.0,0,0.0,-131,-9.5
"12015","1","102","72","0","2019","1","","Charlotte County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,330,408,409,5515218,0,0,1110,"",0.42,0.36,0.44,0.44,0.46,0.00,0.00,1.12,"",1,9.1,12,3.8,99,32.0,99,31.9,342100,6.6,0,0.0,0,0.0,-164,-12.9
"12015","1","102","72","0","2019","2","","Charlotte County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,406,339,343,5855153,0,0,1242,"",0.42,0.44,0.37,0.39,0.44,0.00,0.00,1.09,"",1,9.1,96,31.0,27,8.7,28,8.9,280288,5.0,0,0.0,0,0.0,-131,-9.5
"12015","1","1021","73","0","2019","1","","Charlotte County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,224,221,224,3129877,0,0,1080,"",0.35,0.99,0.96,0.98,1.44,0.00,0.00,1.48,"",0,0.0,13,6.2,18,8.9,19,9.3,85158,2.8,0,0.0,0,0.0,-55,-4.8
"12015","1","1021","73","0","2019","2","","Charlotte County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,219,234,236,3452657,0,0,1156,"",0.35,0.97,1.06,1.11,1.37,0.00,0.00,1.31,"",0,0.0,13,6.3,25,12.0,21,9.8,38651,1.1,0,0.0,0,0.0,-95,-7.6
"12015","1","1025","73","0","2019","1","","Charlotte County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,63,63,63,1269510,0,0,1550,"",1.54,0.45,0.44,0.44,0.71,0.00,0.00,1.60,"",0,0.0,0,0.0,-1,-1.6,-1,-1.6,-5341,-0.4,0,0.0,0,0.0,10,0.6
"12015","1","1025","73","0","2019","2","","Charlotte County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,61,58,57,1444211,0,0,1894,"",1.55,0.43,0.42,0.43,0.68,0.00,0.00,1.60,"",0,0.0,-4,-6.2,-6,-9.4,-7,-10.9,2808,0.2,0,0.0,0,0.0,171,9.9
