"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12033","0","10","70","0","2019","1","","Escambia County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8280,136127,137330,138549,1619187996,582191578,3344748,907,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",237,2.9,3229,2.4,3051,2.3,3594,2.7,85720254,5.6,29756161,5.4,-472716,-12.4,27,3.1
"12033","0","10","70","0","2019","2","","Escambia County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8387,139174,139666,137260,1522294716,154179514,998359,844,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",263,3.2,3362,2.5,3144,2.3,2433,1.8,93164408,6.5,4171617,2.8,-57888,-5.5,34,4.2
"12033","1","10","71","0","2019","1","","Escambia County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,5694,5681,5678,83367962,0,0,1128,"",1.19,2.18,2.16,2.15,2.09,0.00,0.00,0.96,"",1,1.8,-12,-0.2,-11,-0.2,-22,-0.4,-1037222,-1.2,0,0.0,0,0.0,-11,-1.0
"12033","1","10","71","0","2019","2","","Escambia County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,5646,5668,5753,95482562,0,0,1291,"",1.19,2.14,2.14,2.21,2.22,0.00,0.00,1.03,"",1,1.8,-10,-0.2,3,0.1,50,0.9,3790521,4.1,0,0.0,0,0.0,48,3.9
"12033","1","102","72","0","2019","1","","Escambia County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",58,5694,5681,5678,83367962,0,0,1128,"",1.19,2.23,2.20,2.19,2.13,0.00,0.00,0.96,"",1,1.8,-12,-0.2,-11,-0.2,-22,-0.4,-1037222,-1.2,0,0.0,0,0.0,-11,-1.0
"12033","1","102","72","0","2019","2","","Escambia County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",58,5646,5668,5753,95482562,0,0,1291,"",1.19,2.18,2.18,2.25,2.26,0.00,0.00,1.03,"",1,1.8,-10,-0.2,3,0.1,50,0.9,3790521,4.1,0,0.0,0,0.0,48,3.9
"12033","1","1021","73","0","2019","1","","Escambia County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",22,1504,1482,1460,17498970,0,0,908,"",0.90,2.39,2.34,2.29,2.45,0.00,0.00,1.05,"",0,0.0,24,1.6,1,0.1,-25,-1.7,-107928,-0.6,0,0.0,0,0.0,-6,-0.7
"12033","1","1021","73","0","2019","2","","Escambia County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",22,1472,1464,1468,17984055,0,0,942,"",0.89,2.32,2.30,2.36,2.27,0.00,0.00,0.97,"",0,0.0,2,0.1,-18,-1.2,-3,-0.2,-31651,-0.2,0,0.0,0,0.0,2,0.2
"12033","1","1023","73","0","2019","1","","Escambia County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,83426,0,0,2139,"",1.55,0.26,0.26,0.26,0.34,0.00,0.00,1.30,"",0,0.0,-10,-76.9,-10,-76.9,-10,-76.9,-266519,-76.2,0,0.0,0,0.0,68,3.3
"12033","1","1023","73","0","2019","2","","Escambia County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,85882,0,0,2202,"",1.56,0.26,0.27,0.27,0.35,0.00,0.00,1.31,"",0,0.0,-9,-75.0,-8,-72.7,-7,-70.0,-185283,-68.3,0,0.0,0,0.0,306,16.1
