"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12035","0","10","70","0","2019","1","","Flagler County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2645,23623,24008,24087,208252126,95986292,501091,670,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",152,6.1,105,0.4,312,1.3,236,1.0,6522795,3.2,1773950,1.9,-156287,-23.8,15,2.3
"12035","0","10","70","0","2019","2","","Flagler County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2686,24304,24313,24237,222650011,30574868,174636,705,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",159,6.3,121,0.5,58,0.2,68,0.3,1044602,0.5,-2241631,-6.8,-61955,-26.2,1,0.1
"12035","1","10","71","0","2019","1","","Flagler County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,156,155,154,2111782,0,0,1048,"",0.39,0.34,0.34,0.34,0.41,0.00,0.00,1.21,"",1,20.0,14,9.9,19,14.0,18,13.2,100330,5.0,0,0.0,0,0.0,-73,-6.5
"12035","1","10","71","0","2019","2","","Flagler County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,161,153,157,2349914,0,0,1151,"",0.38,0.35,0.33,0.34,0.37,0.00,0.00,1.09,"",1,20.0,26,19.3,13,9.3,15,10.6,54993,2.4,0,0.0,0,0.0,-119,-9.4
"12035","1","102","72","0","2019","1","","Flagler County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,156,155,154,2111782,0,0,1048,"",0.39,0.35,0.34,0.34,0.42,0.00,0.00,1.21,"",1,20.0,14,9.9,19,14.0,18,13.2,100330,5.0,0,0.0,0,0.0,-73,-6.5
"12035","1","102","72","0","2019","2","","Flagler County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,161,153,157,2349914,0,0,1151,"",0.38,0.36,0.34,0.35,0.38,0.00,0.00,1.10,"",1,20.0,26,19.3,13,9.3,15,10.6,54993,2.4,0,0.0,0,0.0,-119,-9.4
"12035","1","1021","73","0","2019","1","","Flagler County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,145,142,143,1881279,0,0,1010,"",0.38,1.33,1.28,1.29,2.05,0.00,0.00,1.58,"",0,0.0,14,10.7,17,13.6,16,12.6,90542,5.1,0,0.0,0,0.0,-69,-6.4
"12035","1","1021","73","0","2019","2","","Flagler County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,146,142,143,2131229,0,0,1141,"",0.38,1.32,1.28,1.30,1.84,0.00,0.00,1.41,"",0,0.0,18,14.1,10,7.6,11,8.3,-16351,-0.8,0,0.0,0,0.0,-123,-9.7
"12035","1","1028","73","0","2019","1","","Flagler County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,13,11,230503,0,0,1520,"",0.48,0.04,0.05,0.04,0.07,0.00,0.00,1.56,"",1,50.0,0,0.0,2,18.2,2,22.2,9788,4.4,0,0.0,0,0.0,-123,-7.5
"12035","1","1028","73","0","2019","2","","Flagler County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,15,11,14,218685,0,0,1262,"",0.47,0.06,0.04,0.06,0.06,0.00,0.00,1.09,"",1,50.0,8,114.3,3,37.5,4,40.0,71344,48.4,0,0.0,0,0.0,-98,-7.2
"12035","1","48-49","74","0","2019","1","","Flagler County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,145,142,143,1881279,0,0,1010,"",0.39,1.45,1.40,1.41,2.20,0.00,0.00,1.55,"",0,0.0,14,10.7,17,13.6,16,12.6,90542,5.1,0,0.0,0,0.0,-69,-6.4
"12035","1","48-49","74","0","2019","2","","Flagler County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,146,142,143,2131229,0,0,1141,"",0.39,1.43,1.40,1.42,1.97,0.00,0.00,1.39,"",0,0.0,18,14.1,10,7.6,11,8.3,-16351,-0.8,0,0.0,0,0.0,-123,-9.7
"12035","1","491","75","0","2019","1","","Flagler County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,145,142,143,1881279,0,0,1010,"",0.40,1.48,1.43,1.44,2.31,0.00,0.00,1.60,"",0,0.0,14,10.7,17,13.6,16,12.6,90542,5.1,0,0.0,0,0.0,-69,-6.4
"12035","1","491","75","0","2019","2","","Flagler County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,146,142,143,2131229,0,0,1141,"",0.39,1.47,1.43,1.45,2.05,0.00,0.00,1.41,"",0,0.0,18,14.1,10,7.6,11,8.3,-16351,-0.8,0,0.0,0,0.0,-123,-9.7
"12035","1","4911","76","0","2019","1","","Flagler County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,145,142,143,1881279,0,0,1010,"",0.40,1.48,1.43,1.44,2.31,0.00,0.00,1.60,"",0,0.0,14,10.7,17,13.6,16,12.6,90542,5.1,0,0.0,0,0.0,-69,-6.4
"12035","1","4911","76","0","2019","2","","Flagler County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,146,142,143,2131229,0,0,1141,"",0.39,1.47,1.43,1.45,2.05,0.00,0.00,1.41,"",0,0.0,18,14.1,10,7.6,11,8.3,-16351,-0.8,0,0.0,0,0.0,-123,-9.7
"12035","1","49111","77","0","2019","1","","Flagler County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,145,142,143,1881279,0,0,1010,"",0.40,1.48,1.43,1.44,2.31,0.00,0.00,1.60,"",0,0.0,14,10.7,17,13.6,16,12.6,90542,5.1,0,0.0,0,0.0,-69,-6.4
"12035","1","49111","77","0","2019","2","","Flagler County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,146,142,143,2131229,0,0,1141,"",0.39,1.47,1.43,1.45,2.05,0.00,0.00,1.41,"",0,0.0,18,14.1,10,7.6,11,8.3,-16351,-0.8,0,0.0,0,0.0,-123,-9.7
"12035","1","491110","78","0","2019","1","","Flagler County, Florida","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,145,142,143,1881279,0,0,1010,"",0.40,1.48,1.43,1.44,2.31,0.00,0.00,1.60,"",0,0.0,14,10.7,17,13.6,16,12.6,90542,5.1,0,0.0,0,0.0,-69,-6.4
"12035","1","491110","78","0","2019","2","","Flagler County, Florida","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,146,142,143,2131229,0,0,1141,"",0.39,1.47,1.43,1.45,2.05,0.00,0.00,1.41,"",0,0.0,18,14.1,10,7.6,11,8.3,-16351,-0.8,0,0.0,0,0.0,-123,-9.7
"12035","1","92","74","0","2019","1","","Flagler County, Florida","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,13,11,230503,0,0,1520,"",0.48,0.04,0.05,0.04,0.07,0.00,0.00,1.56,"",1,50.0,0,0.0,2,18.2,2,22.2,9788,4.4,0,0.0,0,0.0,-123,-7.5
"12035","1","92","74","0","2019","2","","Flagler County, Florida","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,15,11,14,218685,0,0,1262,"",0.47,0.06,0.04,0.06,0.06,0.00,0.00,1.09,"",1,50.0,8,114.3,3,37.5,4,40.0,71344,48.4,0,0.0,0,0.0,-98,-7.2
