"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12055","0","10","70","0","2019","1","","Highlands County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2357,27928,27988,27948,241710328,111029239,724466,665,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",75,3.3,-1038,-3.6,-1045,-3.6,-1222,-4.2,-1561112,-0.6,-4999244,-4.3,-101481,-12.3,21,3.3
"12055","0","10","70","0","2019","2","","Highlands County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2383,28085,27871,26284,248311885,32990270,215961,697,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",39,1.7,-827,-2.9,-43,-0.2,-455,-1.7,7765674,3.2,-3344885,-9.2,-45426,-17.4,33,5.0
"12055","1","10","71","0","2019","1","","Highlands County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,262,265,268,3989583,0,0,1158,"",1.22,0.49,0.49,0.50,0.67,0.00,0.00,1.35,"",1,6.2,-1,-0.4,4,1.5,12,4.7,11735,0.3,0,0.0,0,0.0,-19,-1.6
"12055","1","10","71","0","2019","2","","Highlands County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,265,273,273,4405339,0,0,1254,"",1.22,0.50,0.52,0.55,0.63,0.00,0.00,1.21,"",1,6.2,11,4.3,21,8.3,16,6.2,131805,3.1,0,0.0,0,0.0,-39,-3.0
"12055","1","102","72","0","2019","1","","Highlands County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,262,265,268,3989583,0,0,1158,"",1.23,0.50,0.50,0.51,0.68,0.00,0.00,1.35,"",1,6.2,-1,-0.4,4,1.5,12,4.7,11735,0.3,0,0.0,0,0.0,-19,-1.6
"12055","1","102","72","0","2019","2","","Highlands County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,265,273,273,4405339,0,0,1254,"",1.23,0.51,0.53,0.56,0.64,0.00,0.00,1.21,"",1,6.2,11,4.3,21,8.3,16,6.2,131805,3.1,0,0.0,0,0.0,-39,-3.0
"12055","1","1021","73","0","2019","1","","Highlands County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,145,147,154,1957415,0,0,1013,"",0.86,1.12,1.14,1.20,1.84,0.00,0.00,1.60,"",0,0.0,-1,-0.7,7,5.0,15,10.8,98968,5.3,0,0.0,0,0.0,4,0.4
"12055","1","1021","73","0","2019","2","","Highlands County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,145,152,152,2137352,0,0,1099,"",0.86,1.13,1.20,1.28,1.65,0.00,0.00,1.38,"",0,0.0,6,4.3,15,10.9,11,7.8,3168,0.1,0,0.0,0,0.0,-82,-6.9
"12055","1","1024","73","0","2019","1","","Highlands County, Florida","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,4,99411,0,0,1639,"",2.95,0.39,0.39,0.32,0.62,0.00,0.00,1.68,"",0,0.0,0,0.0,0,0.0,-1,-20.0,1640,1.7,0,0.0,0,0.0,135,9.0
"12055","1","1024","73","0","2019","2","","Highlands County, Florida","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,74124,0,0,1425,"",2.94,0.32,0.32,0.33,0.42,0.00,0.00,1.31,"",0,0.0,-1,-20.0,0,0.0,0,0.0,-6250,-7.8,0,0.0,0,0.0,-2,-0.1
