"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12063","0","10","70","0","2019","1","","Jackson County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",964,14442,14528,14644,131333078,49017877,235399,695,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",37,4.0,222,1.6,187,1.3,210,1.5,4375303,3.4,2361530,5.1,-55262,-19.0,14,2.1
"12063","0","10","70","0","2019","2","","Jackson County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",958,14737,14735,14055,132914564,14061343,80145,705,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,1.7,171,1.2,162,1.1,241,1.7,5811732,4.6,462066,3.4,-13489,-14.4,22,3.2
"12063","1","10","71","0","2019","1","","Jackson County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,416,419,419,6496858,0,0,1196,"",3.35,1.50,1.50,1.50,2.00,0.00,0.00,1.33,"",2,11.8,-57,-12.1,-28,-6.3,-23,-5.2,-1620941,-20.0,0,0.0,0,0.0,-179,-13.0
"12063","1","10","71","0","2019","2","","Jackson County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,422,422,417,6896860,0,0,1262,"",3.40,1.51,1.51,1.56,1.83,0.00,0.00,1.20,"",1,5.6,-29,-6.4,-17,-3.9,-16,-3.7,-35349,-0.5,0,0.0,0,0.0,53,4.4
"12063","1","102","72","0","2019","1","","Jackson County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,416,419,419,6496858,0,0,1196,"",3.35,1.53,1.53,1.53,2.04,0.00,0.00,1.33,"",2,11.8,-57,-12.1,-28,-6.3,-23,-5.2,-1620941,-20.0,0,0.0,0,0.0,-179,-13.0
"12063","1","102","72","0","2019","2","","Jackson County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,422,422,417,6896860,0,0,1262,"",3.41,1.54,1.54,1.59,1.87,0.00,0.00,1.20,"",1,5.6,-29,-6.4,-17,-3.9,-16,-3.7,-35349,-0.5,0,0.0,0,0.0,53,4.4
"12063","1","1021","73","0","2019","1","","Jackson County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,86,83,86,947950,0,0,858,"",3.85,1.29,1.24,1.28,1.64,0.00,0.00,1.29,"",1,10.0,1,1.2,-1,-1.2,2,2.4,24889,2.7,0,0.0,0,0.0,16,1.9
"12063","1","1021","73","0","2019","2","","Jackson County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,85,86,86,1085039,0,0,974,"",3.90,1.26,1.28,1.35,1.57,0.00,0.00,1.21,"",0,0.0,-2,-2.3,4,4.9,5,6.2,19579,1.8,0,0.0,0,0.0,-10,-1.0
"12063","1","1023","73","0","2019","1","","Jackson County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,112385,0,0,1081,"",13.33,6.65,6.68,6.64,5.70,0.00,0.00,0.86,"",0,0.0,-1,-11.1,0,0.0,0,0.0,-46655,-29.3,0,0.0,0,0.0,-387,-26.4
"12063","1","1023","73","0","2019","2","","Jackson County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,116440,0,0,1120,"",13.67,6.63,6.71,6.97,5.39,0.00,0.00,0.80,"",0,0.0,1,14.3,1,14.3,1,14.3,12562,12.1,0,0.0,0,0.0,-22,-1.9
