"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12073","0","10","70","0","2019","1","","Leon County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8853,152775,153630,153861,1741864696,503596331,2669433,873,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",166,1.9,3103,2.1,2273,1.5,2940,1.9,48484081,2.9,20017936,4.1,-675162,-20.2,8,0.9
"12073","0","10","70","0","2019","2","","Leon County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8948,154728,152633,150457,1713148405,139906299,869563,864,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",222,2.5,2772,1.8,1661,1.1,1665,1.1,63713704,3.9,863625,0.6,-187126,-17.7,21,2.5
"12073","1","10","71","0","2019","1","","Leon County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,1833,1873,1874,32385884,0,0,1339,"",0.88,0.63,0.64,0.64,0.75,0.00,0.00,1.19,"",-1,-2.1,13,0.7,69,3.8,82,4.6,-2113508,-6.1,0,0.0,0,0.0,-131,-8.9
"12073","1","10","71","0","2019","2","","Leon County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,1866,1884,1866,34691057,0,0,1426,"",0.88,0.64,0.65,0.65,0.72,0.00,0.00,1.11,"",-1,-2.1,61,3.4,79,4.4,50,2.8,566194,1.7,0,0.0,0,0.0,-25,-1.7
"12073","1","102","72","0","2019","1","","Leon County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,1833,1873,1874,32385884,0,0,1339,"",0.88,0.64,0.65,0.65,0.77,0.00,0.00,1.19,"",-1,-2.1,13,0.7,69,3.8,82,4.6,-2113508,-6.1,0,0.0,0,0.0,-131,-8.9
"12073","1","102","72","0","2019","2","","Leon County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,1866,1884,1866,34691057,0,0,1426,"",0.88,0.65,0.66,0.67,0.73,0.00,0.00,1.11,"",-1,-2.1,61,3.4,79,4.4,50,2.8,566194,1.7,0,0.0,0,0.0,-25,-1.7
"12073","1","1021","73","0","2019","1","","Leon County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,588,611,611,8713493,0,0,1111,"",0.23,0.83,0.86,0.86,1.14,0.00,0.00,1.33,"",0,0.0,43,7.9,69,12.7,78,14.6,325956,3.9,0,0.0,0,0.0,-84,-7.0
"12073","1","1021","73","0","2019","2","","Leon County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,594,610,603,9627909,0,0,1230,"",0.23,0.84,0.88,0.88,1.08,0.00,0.00,1.24,"",0,0.0,52,9.6,54,9.7,44,7.9,-37214,-0.4,0,0.0,0,0.0,-116,-8.6
"12073","1","1023","73","0","2019","1","","Leon County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,26088,0,0,2007,"",1.45,0.08,0.08,0.08,0.10,0.00,0.00,1.27,"",0,0.0,0,0.0,0,0.0,0,0.0,-4204,-13.9,0,0.0,0,0.0,-323,-13.9
"12073","1","1023","73","0","2019","2","","Leon County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,26880,0,0,2068,"",1.46,0.08,0.08,0.08,0.10,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,792,3.0,0,0.0,0,0.0,61,3.0
