"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12083","0","10","70","0","2019","1","","Marion County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8715,104852,105454,105612,1010048322,469701735,2308465,738,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",320,3.8,2671,2.6,2347,2.3,2513,2.4,43939926,4.5,7044742,1.5,-594519,-20.5,15,2.1
"12083","0","10","70","0","2019","2","","Marion County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8793,105848,105587,104465,1039673111,127718191,727912,759,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",358,4.2,2247,2.2,2384,2.3,2023,2.0,48561850,4.9,-5264492,-4.0,-191613,-20.8,19,2.6
"12083","1","10","71","0","2019","1","","Marion County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",38,705,711,718,11142515,0,0,1205,"",0.74,0.35,0.35,0.36,0.45,0.00,0.00,1.27,"",1,2.7,19,2.8,32,4.7,41,6.1,187992,1.7,0,0.0,0,0.0,-33,-2.7
"12083","1","10","71","0","2019","2","","Marion County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",38,728,719,724,12418031,0,0,1320,"",0.74,0.36,0.36,0.37,0.42,0.00,0.00,1.17,"",1,2.7,52,7.7,51,7.6,52,7.7,623751,5.3,0,0.0,0,0.0,-30,-2.2
"12083","1","102","72","0","2019","1","","Marion County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",38,705,711,718,11142515,0,0,1205,"",0.74,0.36,0.36,0.36,0.46,0.00,0.00,1.27,"",1,2.7,19,2.8,32,4.7,41,6.1,187992,1.7,0,0.0,0,0.0,-33,-2.7
"12083","1","102","72","0","2019","2","","Marion County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",38,728,719,724,12418031,0,0,1320,"",0.74,0.37,0.37,0.37,0.43,0.00,0.00,1.17,"",1,2.7,52,7.7,51,7.6,52,7.7,623751,5.3,0,0.0,0,0.0,-30,-2.2
"12083","1","1021","73","0","2019","1","","Marion County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,440,442,444,6375714,0,0,1110,"",0.81,0.91,0.91,0.91,1.43,0.00,0.00,1.58,"",0,0.0,5,1.1,10,2.3,13,3.0,428813,7.2,0,0.0,0,0.0,53,5.0
"12083","1","1021","73","0","2019","2","","Marion County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,444,447,450,7231120,0,0,1244,"",0.81,0.92,0.93,0.95,1.33,0.00,0.00,1.43,"",0,0.0,12,2.8,12,2.8,14,3.2,157397,2.2,0,0.0,0,0.0,-9,-0.7
"12083","1","1023","73","0","2019","1","","Marion County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,193659,0,0,1241,"",1.47,1.37,1.38,1.38,1.28,0.00,0.00,0.93,"",0,0.0,-1,-7.7,1,9.1,1,9.1,-70038,-26.6,0,0.0,0,0.0,-498,-28.6
"12083","1","1023","73","0","2019","2","","Marion County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,200506,0,0,1285,"",1.49,1.39,1.41,1.41,1.19,0.00,0.00,0.85,"",0,0.0,1,9.1,2,20.0,2,20.0,10829,5.7,0,0.0,0,0.0,-127,-9.0
"12083","1","1025","73","0","2019","1","","Marion County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,74,74,75,1515253,0,0,1568,"",0.86,0.25,0.24,0.25,0.41,0.00,0.00,1.68,"",0,0.0,-5,-6.3,-2,-2.6,-2,-2.6,-169711,-10.1,0,0.0,0,0.0,-108,-6.4
"12083","1","1025","73","0","2019","2","","Marion County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,77,77,77,1787049,0,0,1785,"",0.86,0.26,0.26,0.26,0.39,0.00,0.00,1.52,"",0,0.0,2,2.7,4,5.5,3,4.1,-21763,-1.2,0,0.0,0,0.0,-95,-5.1
