"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12091","0","10","70","0","2019","1","","Okaloosa County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6652,83354,84165,85540,968810272,363720029,1999751,883,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",166,2.6,1647,2.0,1224,1.5,505,0.6,48031736,5.2,11159372,3.2,-501206,-20.0,32,3.8
"12091","0","10","70","0","2019","2","","Okaloosa County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6733,85966,87093,85334,1043053019,107773269,667144,932,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",169,2.6,669,0.8,1319,1.5,1052,1.2,63198268,6.4,-325027,-0.3,-139503,-17.3,46,5.2
"12091","1","10","71","0","2019","1","","Okaloosa County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",76,8583,8593,8604,146834531,0,0,1314,"",1.94,5.38,5.33,5.27,6.14,0.00,0.00,1.15,"",-3,-3.8,97,1.1,90,1.1,120,1.4,3671786,2.6,0,0.0,0,0.0,17,1.3
"12091","1","10","71","0","2019","2","","Okaloosa County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",77,8616,8692,8718,177544527,0,0,1574,"",1.96,5.28,5.27,5.39,6.02,0.00,0.00,1.13,"",-1,-1.3,108,1.3,172,2.0,165,1.9,9120429,5.4,0,0.0,0,0.0,55,3.6
"12091","1","101","72","0","2019","1","","Okaloosa County, Florida","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,9,11,11,48350,0,0,360,"",12.02,0.30,0.36,0.36,0.11,0.00,0.00,0.32,"",0,0.0,0,0.0,2,22.2,1,10.0,6658,16.0,0,0.0,0,0.0,16,4.7
"12091","1","101","72","0","2019","2","","Okaloosa County, Florida","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,10,11,5,32378,0,0,287,"",11.99,0.32,0.35,0.16,0.06,0.00,0.00,0.20,"",0,0.0,0,0.0,4,57.1,0,0.0,3719,13.0,0,0.0,0,0.0,-14,-4.7
"12091","1","1011","73","0","2019","1","","Okaloosa County, Florida","Federal Government","1011 Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",1,9,11,11,48350,0,0,360,"",19.57,5.56,6.49,6.35,2.40,0.00,0.00,0.39,"",0,0.0,0,0.0,2,22.2,1,10.0,6658,16.0,0,0.0,0,0.0,16,4.7
"12091","1","1011","73","0","2019","2","","Okaloosa County, Florida","Federal Government","1011 Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",1,10,11,5,32378,0,0,287,"",19.52,5.32,4.81,1.94,1.19,0.00,0.00,0.31,"",0,0.0,0,0.0,4,57.1,0,0.0,3719,13.0,0,0.0,0,0.0,-14,-4.7
"12091","1","102","72","0","2019","1","","Okaloosa County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",75,8574,8582,8593,146786181,0,0,1316,"",1.92,5.48,5.42,5.37,6.25,0.00,0.00,1.15,"",-3,-3.8,97,1.1,88,1.0,119,1.4,3665128,2.6,0,0.0,0,0.0,18,1.4
"12091","1","102","72","0","2019","2","","Okaloosa County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",76,8606,8681,8713,177512149,0,0,1576,"",1.94,5.37,5.36,5.49,6.14,0.00,0.00,1.13,"",-1,-1.3,108,1.3,168,2.0,165,1.9,9116710,5.4,0,0.0,0,0.0,56,3.7
