"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12095","0","10","70","0","2019","1","","Orange County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",44159,854046,864306,867585,11268865517,4281729620,21994746,1006,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1648,3.9,20329,2.4,23225,2.8,20595,2.4,522927342,4.9,145022923,3.5,-5678833,-20.5,23,2.3
"12095","0","10","70","0","2019","2","","Orange County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",44916,869408,868482,857154,10754947825,1019448176,5801566,956,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2007,4.7,22213,2.6,20710,2.4,17786,2.1,659007493,6.5,3448690,0.3,-1475431,-20.3,37,4.0
"12095","1","10","71","0","2019","1","","Orange County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",85,12015,11987,12030,230119245,0,0,1474,"",0.33,0.73,0.72,0.73,0.83,0.00,0.00,1.14,"",0,0.0,-422,-3.4,-426,-3.4,-314,-2.5,-11632134,-4.8,0,0.0,0,0.0,-26,-1.7
"12095","1","10","71","0","2019","2","","Orange County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",85,12126,12142,12178,249732401,0,0,1581,"",0.32,0.73,0.74,0.75,0.82,0.00,0.00,1.11,"",0,0.0,-282,-2.3,-175,-1.4,-156,-1.3,-274351,-0.1,0,0.0,0,0.0,24,1.5
"12095","1","102","72","0","2019","1","","Orange County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",85,12015,11987,12030,230119245,0,0,1474,"",0.33,0.75,0.74,0.74,0.84,0.00,0.00,1.14,"",0,0.0,-422,-3.4,-426,-3.4,-314,-2.5,-11632134,-4.8,0,0.0,0,0.0,-26,-1.7
"12095","1","102","72","0","2019","2","","Orange County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",85,12126,12142,12178,249732401,0,0,1581,"",0.32,0.75,0.75,0.76,0.84,0.00,0.00,1.11,"",0,0.0,-282,-2.3,-175,-1.4,-156,-1.3,-274351,-0.1,0,0.0,0,0.0,24,1.5
"12095","1","1021","73","0","2019","1","","Orange County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",42,2669,2696,2723,40945556,0,0,1168,"",0.32,0.68,0.68,0.68,0.82,0.00,0.00,1.22,"",0,0.0,-44,-1.6,37,1.4,70,2.6,744125,1.9,0,0.0,0,0.0,12,1.0
"12095","1","1021","73","0","2019","2","","Orange County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",42,2700,2733,2716,45355910,0,0,1284,"",0.32,0.68,0.69,0.70,0.81,0.00,0.00,1.17,"",0,0.0,3,0.1,82,3.1,77,2.9,550884,1.2,0,0.0,0,0.0,-11,-0.8
"12095","1","1024","73","0","2019","1","","Orange County, Florida","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,8,9,171279,0,0,1647,"",0.16,0.02,0.02,0.02,0.02,0.00,0.00,1.12,"",0,0.0,-1,-12.5,0,0.0,1,12.5,5736,3.5,0,0.0,0,0.0,55,3.5
"12095","1","1024","73","0","2019","2","","Orange County, Florida","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,10,10,237184,0,0,1824,"",0.16,0.03,0.03,0.03,0.03,0.00,0.00,1.22,"",0,0.0,2,25.0,2,25.0,2,25.0,52810,28.6,0,0.0,0,0.0,51,2.9
"12095","1","1025","73","0","2019","1","","Orange County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,2939,2923,2923,59338851,0,0,1559,"",0.17,1.20,1.18,1.17,1.45,0.00,0.00,1.22,"",0,0.0,-437,-12.9,-432,-12.9,-433,-12.9,-6462026,-9.8,0,0.0,0,0.0,54,3.6
"12095","1","1025","73","0","2019","2","","Orange County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,2923,2936,2958,66695494,0,0,1746,"",0.17,1.18,1.19,1.22,1.41,0.00,0.00,1.18,"",0,0.0,-423,-12.6,-392,-11.8,-373,-11.2,-6213804,-8.5,0,0.0,0,0.0,64,3.8
"12095","1","1026","73","0","2019","1","","Orange County, Florida","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,331,330,333,3089317,0,0,717,"",0.15,1.26,1.23,1.24,1.12,0.00,0.00,0.90,"",0,0.0,-43,-11.5,-47,-12.5,-39,-10.5,-193661,-5.9,0,0.0,0,0.0,42,6.2
"12095","1","1026","73","0","2019","2","","Orange County, Florida","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,328,333,322,2682609,0,0,630,"",0.15,1.21,1.13,1.07,0.93,0.00,0.00,0.82,"",0,0.0,-41,-11.1,-24,-6.7,-35,-9.8,-79900,-2.9,0,0.0,0,0.0,41,7.0
"12095","1","1028","73","0","2019","1","","Orange County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",40,6069,6030,6042,126574242,0,0,1610,"",0.38,0.69,0.67,0.68,0.75,0.00,0.00,1.10,"",0,0.0,103,1.7,16,0.3,87,1.5,-5726308,-4.3,0,0.0,0,0.0,-92,-5.4
"12095","1","1028","73","0","2019","2","","Orange County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",40,6165,6130,6172,134761204,0,0,1684,"",0.38,0.69,0.69,0.70,0.74,0.00,0.00,1.07,"",0,0.0,177,3.0,157,2.6,173,2.9,5415659,4.2,0,0.0,0,0.0,22,1.3
"12095","1","44-45","74","0","2019","1","","Orange County, Florida","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,95,92,91,724456,0,0,601,"",0.69,0.36,0.35,0.35,0.41,0.00,0.00,1.16,"",0,0.0,2,2.2,-1,-1.1,0,0.0,66886,10.2,0,0.0,0,0.0,53,9.7
