"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12103","0","10","70","0","2019","1","","Pinellas County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34227,435722,440432,440838,5487052685,2130489915,12533343,961,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1145,3.5,7519,1.8,7202,1.7,4643,1.1,172337361,3.2,57063552,2.8,-3088020,-19.8,16,1.7
"12103","0","10","70","0","2019","2","","Pinellas County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34460,442251,441999,438020,5431103031,491826146,3183627,948,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1095,3.3,5754,1.3,4640,1.1,3630,0.8,252554636,4.9,-13215935,-2.6,-826213,-20.6,35,3.8
"12103","1","10","71","0","2019","1","","Pinellas County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",72,7363,7397,7402,133237263,0,0,1387,"",0.36,0.88,0.88,0.88,0.98,0.00,0.00,1.12,"",1,1.4,329,4.7,347,4.9,381,5.4,2344802,1.8,0,0.0,0,0.0,-44,-3.1
"12103","1","10","71","0","2019","2","","Pinellas County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",71,7449,7459,7469,151877856,0,0,1566,"",0.35,0.89,0.89,0.90,0.99,0.00,0.00,1.11,"",2,2.9,471,6.7,479,6.9,477,6.8,12334540,8.8,0,0.0,0,0.0,29,1.9
"12103","1","102","72","0","2019","1","","Pinellas County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",72,7363,7397,7402,133237263,0,0,1387,"",0.36,0.90,0.89,0.90,1.00,0.00,0.00,1.12,"",1,1.4,329,4.7,347,4.9,381,5.4,2344802,1.8,0,0.0,0,0.0,-44,-3.1
"12103","1","102","72","0","2019","2","","Pinellas County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",71,7449,7459,7469,151877856,0,0,1566,"",0.35,0.90,0.91,0.92,1.01,0.00,0.00,1.11,"",2,2.9,471,6.7,479,6.9,477,6.8,12334540,8.8,0,0.0,0,0.0,29,1.9
"12103","1","1021","73","0","2019","1","","Pinellas County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,1574,1579,1579,22472712,0,0,1096,"",0.32,0.78,0.78,0.78,0.93,0.00,0.00,1.19,"",0,0.0,16,1.0,36,2.3,52,3.4,743374,3.4,0,0.0,0,0.0,12,1.1
"12103","1","1021","73","0","2019","2","","Pinellas County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,1587,1566,1559,24730833,0,0,1211,"",0.33,0.79,0.78,0.79,0.87,0.00,0.00,1.11,"",0,0.0,58,3.8,52,3.4,27,1.8,277632,1.1,0,0.0,0,0.0,-22,-1.8
"12103","1","1022","73","0","2019","1","","Pinellas County, Florida","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,56987,0,0,2192,"",2.37,0.10,0.10,0.10,0.19,0.00,0.00,1.87,"",0,0.0,0,0.0,0,0.0,0,0.0,1234,2.2,0,0.0,0,0.0,48,2.2
"12103","1","1022","73","0","2019","2","","Pinellas County, Florida","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,20867,0,0,1605,"",2.36,0.05,0.05,0.05,0.07,0.00,0.00,1.27,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-27458,-56.8,0,0.0,0,0.0,-254,-13.7
"12103","1","1025","73","0","2019","1","","Pinellas County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,3729,3727,3714,73253451,0,0,1513,"",0.44,2.97,2.94,2.93,3.66,0.00,0.00,1.24,"",-1,-33.3,83,2.3,72,2.0,65,1.8,891693,1.2,0,0.0,0,0.0,-12,-0.8
"12103","1","1025","73","0","2019","2","","Pinellas County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,3713,3726,3728,83904117,0,0,1734,"",0.44,2.94,2.98,3.02,3.52,0.00,0.00,1.18,"",0,0.0,95,2.6,94,2.6,88,2.4,5251953,6.7,0,0.0,0,0.0,67,4.0
"12103","1","1027","73","0","2019","1","","Pinellas County, Florida","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,10,10,108958,0,0,838,"",1.80,0.73,0.72,0.72,0.75,0.00,0.00,1.04,"",0,0.0,3,42.9,1,11.1,0,0.0,20869,23.7,0,0.0,0,0.0,56,7.2
"12103","1","1027","73","0","2019","2","","Pinellas County, Florida","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,8,8,115097,0,0,1022,"",1.87,0.72,0.58,0.59,0.66,0.00,0.00,1.06,"",0,0.0,0,0.0,-2,-20.0,-1,-11.1,-4047,-3.4,0,0.0,0,0.0,74,7.8
"12103","1","1028","73","0","2019","1","","Pinellas County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",35,2048,2079,2097,37345155,0,0,1385,"",0.43,0.45,0.45,0.46,0.45,0.00,0.00,0.99,"",2,6.1,227,12.5,238,12.9,264,14.4,687632,1.9,0,0.0,0,0.0,-154,-10.0
"12103","1","1028","73","0","2019","2","","Pinellas County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",34,2138,2158,2173,43106942,0,0,1538,"",0.42,0.47,0.48,0.48,0.47,0.00,0.00,0.99,"",2,6.2,319,17.5,336,18.4,364,20.1,6836460,18.8,0,0.0,0,0.0,2,0.1
"12103","1","44-45","74","0","2019","1","","Pinellas County, Florida","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",3,21,21,20,48232,0,0,180,"",1.34,0.16,0.16,0.15,0.06,0.00,0.00,0.36,"",0,0.0,2,10.5,3,16.7,4,25.0,-36691,-43.2,0,0.0,0,0.0,-190,-51.4
"12103","1","44-45","74","0","2019","2","","Pinellas County, Florida","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",3,19,19,19,107696,0,0,436,"",1.34,0.14,0.15,0.15,0.11,0.00,0.00,0.78,"",0,0.0,1,5.6,1,5.6,2,11.8,1928,1.8,0,0.0,0,0.0,-25,-5.4
"12103","1","452","75","0","2019","1","","Pinellas County, Florida","Federal Government","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,21,21,20,48232,0,0,180,"",3.21,0.23,0.23,0.22,0.09,0.00,0.00,0.38,"",0,0.0,2,10.5,3,16.7,4,25.0,-36691,-43.2,0,0.0,0,0.0,-190,-51.4
