"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12105","0","10","70","0","2019","1","","Polk County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",13978,225476,226243,227700,2469877753,1076939074,5901748,839,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",682,5.1,8059,3.7,7886,3.6,8223,3.7,130603761,5.6,60092731,5.9,-510248,-8.0,15,1.8
"12105","0","10","70","0","2019","2","","Polk County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",14209,227784,226944,220857,2466219856,276694086,1759708,842,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",802,6.0,6839,3.1,6633,3.0,6917,3.2,193118557,8.5,3462435,1.3,-95824,-5.2,41,5.1
"12105","1","10","71","0","2019","1","","Polk County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",55,1189,1190,1194,18414396,0,0,1189,"",0.67,0.28,0.27,0.27,0.30,0.00,0.00,1.10,"",1,1.9,45,3.9,8,0.7,16,1.4,-446553,-2.4,0,0.0,0,0.0,-53,-4.3
"12105","1","10","71","0","2019","2","","Polk County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",55,1199,1206,1212,20103742,0,0,1283,"",0.66,0.28,0.28,0.29,0.29,0.00,0.00,1.02,"",1,1.9,27,2.3,46,4.0,37,3.1,461932,2.4,0,0.0,0,0.0,-9,-0.7
"12105","1","102","72","0","2019","1","","Polk County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,1189,1190,1194,18414396,0,0,1189,"",0.67,0.28,0.28,0.28,0.31,0.00,0.00,1.10,"",1,1.9,45,3.9,8,0.7,16,1.4,-446553,-2.4,0,0.0,0,0.0,-53,-4.3
"12105","1","102","72","0","2019","2","","Polk County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,1199,1206,1212,20103742,0,0,1283,"",0.66,0.28,0.29,0.29,0.29,0.00,0.00,1.02,"",1,1.9,27,2.3,46,4.0,37,3.1,461932,2.4,0,0.0,0,0.0,-9,-0.7
"12105","1","1021","73","0","2019","1","","Polk County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",30,780,781,787,10523581,0,0,1034,"",0.72,0.75,0.75,0.75,0.97,0.00,0.00,1.29,"",0,0.0,47,6.4,8,1.0,21,2.7,80774,0.8,0,0.0,0,0.0,-27,-2.5
"12105","1","1021","73","0","2019","2","","Polk County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",30,780,788,794,11936562,0,0,1166,"",0.72,0.75,0.76,0.79,0.93,0.00,0.00,1.21,"",0,0.0,18,2.4,33,4.4,20,2.6,14081,0.1,0,0.0,0,0.0,-35,-2.9
"12105","1","1023","73","0","2019","1","","Polk County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,12,181800,0,0,1234,"",0.92,0.59,0.59,0.64,0.49,0.00,0.00,0.81,"",0,0.0,0,0.0,-1,-8.3,0,0.0,-48628,-21.1,0,0.0,0,0.0,-285,-18.8
"12105","1","1023","73","0","2019","2","","Polk County, Florida","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,10,186842,0,0,1268,"",0.92,0.64,0.65,0.55,0.47,0.00,0.00,0.76,"",0,0.0,1,9.1,1,9.1,-1,-9.1,13992,8.1,0,0.0,0,0.0,59,4.9
