"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12115","0","10","70","0","2019","1","","Sarasota County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16352,173342,174804,175044,2066936622,895790659,4726214,912,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",425,2.7,3454,2.0,2778,1.6,1404,0.8,4242083,0.2,12188317,1.4,-857524,-15.4,-11,-1.2
"12115","0","10","70","0","2019","2","","Sarasota County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16508,174071,172687,167707,1991033932,198166354,1195429,893,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",475,3.0,1536,0.9,751,0.4,-501,-0.3,55028788,2.8,-16046151,-7.5,-331074,-21.7,22,2.5
"12115","1","10","71","0","2019","1","","Sarasota County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",35,1014,1015,1029,16026708,0,0,1209,"",0.36,0.31,0.30,0.31,0.31,0.00,0.00,1.03,"",-1,-2.8,-9,-0.9,5,0.5,32,3.2,-403889,-2.5,0,0.0,0,0.0,-42,-3.4
"12115","1","10","71","0","2019","2","","Sarasota County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",34,1023,997,1002,17424663,0,0,1331,"",0.35,0.31,0.30,0.31,0.31,0.00,0.00,1.00,"",-2,-5.6,2,0.2,4,0.4,-5,-0.5,496001,2.9,0,0.0,0,0.0,38,2.9
"12115","1","102","72","0","2019","1","","Sarasota County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",35,1014,1015,1029,16026708,0,0,1209,"",0.36,0.31,0.31,0.31,0.32,0.00,0.00,1.03,"",-1,-2.8,-9,-0.9,5,0.5,32,3.2,-403889,-2.5,0,0.0,0,0.0,-42,-3.4
"12115","1","102","72","0","2019","2","","Sarasota County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",34,1023,997,1002,17424663,0,0,1331,"",0.35,0.32,0.31,0.32,0.32,0.00,0.00,1.00,"",-2,-5.6,2,0.2,4,0.4,-5,-0.5,496001,2.9,0,0.0,0,0.0,38,2.9
"12115","1","1021","73","0","2019","1","","Sarasota County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,704,711,723,10168524,0,0,1098,"",0.27,0.88,0.88,0.90,1.12,0.00,0.00,1.26,"",-2,-13.3,-12,-1.7,10,1.4,34,4.9,350117,3.6,0,0.0,0,0.0,22,2.0
"12115","1","1021","73","0","2019","2","","Sarasota County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,708,697,704,11064842,0,0,1211,"",0.27,0.89,0.89,0.93,1.07,0.00,0.00,1.18,"",-2,-13.3,-5,-0.7,9,1.3,-2,-0.3,236279,2.2,0,0.0,0,0.0,25,2.1
"12115","1","1025","73","0","2019","1","","Sarasota County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,83,83,84,1719943,0,0,1588,"",0.46,0.17,0.17,0.17,0.23,0.00,0.00,1.38,"",0,0.0,2,2.5,3,3.8,4,5.0,27921,1.7,0,0.0,0,0.0,-32,-2.0
"12115","1","1025","73","0","2019","2","","Sarasota County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,83,83,84,2117847,0,0,1955,"",0.46,0.17,0.17,0.18,0.24,0.00,0.00,1.42,"",0,0.0,5,6.4,4,5.1,4,5.0,302276,16.6,0,0.0,0,0.0,187,10.6
