"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12117","0","10","70","0","2019","1","","Seminole County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",15427,198223,200452,200842,2526342302,1013075006,5841332,972,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",474,3.2,7044,3.7,7453,3.9,7301,3.8,170342143,7.2,55434762,5.8,-1165363,-16.6,31,3.3
"12117","0","10","70","0","2019","2","","Seminole County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",15633,200576,200390,199291,2472251306,230537070,1438352,950,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",558,3.7,6540,3.4,5777,3.0,6320,3.3,160561389,6.9,-555441,-0.2,-345808,-19.4,33,3.6
"12117","1","10","71","0","2019","1","","Seminole County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,914,901,899,15175890,0,0,1290,"",0.31,0.24,0.23,0.23,0.24,0.00,0.00,1.03,"",0,0.0,6,0.7,8,0.9,8,0.9,592359,4.1,0,0.0,0,0.0,40,3.2
"12117","1","10","71","0","2019","2","","Seminole County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,917,919,916,16654055,0,0,1397,"",0.31,0.24,0.24,0.24,0.24,0.00,0.00,0.99,"",0,0.0,26,2.9,23,2.6,21,2.3,849436,5.4,0,0.0,0,0.0,37,2.7
"12117","1","102","72","0","2019","1","","Seminole County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,914,901,899,15175890,0,0,1290,"",0.31,0.25,0.24,0.24,0.25,0.00,0.00,1.03,"",0,0.0,6,0.7,8,0.9,8,0.9,592359,4.1,0,0.0,0,0.0,40,3.2
"12117","1","102","72","0","2019","2","","Seminole County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,917,919,916,16654055,0,0,1397,"",0.31,0.25,0.25,0.25,0.24,0.00,0.00,0.99,"",0,0.0,26,2.9,23,2.6,21,2.3,849436,5.4,0,0.0,0,0.0,37,2.7
"12117","1","1021","73","0","2019","1","","Seminole County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,752,737,743,11698550,0,0,1210,"",0.39,0.82,0.80,0.80,1.05,0.00,0.00,1.30,"",0,0.0,-31,-4.0,-29,-3.8,-25,-3.3,-151520,-1.3,0,0.0,0,0.0,30,2.5
"12117","1","1021","73","0","2019","2","","Seminole County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,747,755,754,12959588,0,0,1326,"",0.39,0.82,0.83,0.84,1.01,0.00,0.00,1.22,"",0,0.0,-21,-2.7,-13,-1.7,-17,-2.2,-418293,-3.1,0,0.0,0,0.0,-12,-0.9
"12117","1","1028","73","0","2019","1","","Seminole County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,162,164,156,3477340,0,0,1665,"",0.27,0.08,0.08,0.08,0.09,0.00,0.00,1.18,"",0,0.0,37,29.6,37,29.1,33,26.8,743879,27.2,0,0.0,0,0.0,-17,-1.0
"12117","1","1028","73","0","2019","2","","Seminole County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,170,164,162,3694467,0,0,1719,"",0.27,0.08,0.08,0.08,0.09,0.00,0.00,1.10,"",0,0.0,47,38.2,36,28.1,38,30.6,1267729,52.2,0,0.0,0,0.0,226,15.1
"12117","1","48-49","74","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,752,737,743,11698550,0,0,1210,"",0.40,0.89,0.87,0.88,1.13,0.00,0.00,1.28,"",0,0.0,-31,-4.0,-29,-3.8,-25,-3.3,-151520,-1.3,0,0.0,0,0.0,30,2.5
"12117","1","48-49","74","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,747,755,754,12959588,0,0,1326,"",0.40,0.89,0.90,0.91,1.08,0.00,0.00,1.20,"",0,0.0,-21,-2.7,-13,-1.7,-17,-2.2,-418293,-3.1,0,0.0,0,0.0,-12,-0.9
"12117","1","488","75","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,26,26,27,863980,0,0,2524,"",3.99,1.66,1.65,1.71,1.81,0.00,0.00,1.08,"",0,0.0,0,0.0,-2,-7.1,0,0.0,-8201,-0.9,0,0.0,0,0.0,39,1.6
"12117","1","488","75","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,25,25,25,774276,0,0,2382,"",3.97,1.60,1.62,1.63,1.74,0.00,0.00,1.08,"",0,0.0,-1,-3.8,-2,-7.4,-1,-3.8,67640,9.6,0,0.0,0,0.0,318,15.4
"12117","1","4881","76","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,26,26,27,863980,0,0,2524,"",3.99,1.66,1.65,1.71,1.81,0.00,0.00,1.08,"",0,0.0,0,0.0,-2,-7.1,0,0.0,-8201,-0.9,0,0.0,0,0.0,39,1.6
"12117","1","4881","76","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,25,25,25,774276,0,0,2382,"",3.97,1.60,1.62,1.63,1.74,0.00,0.00,1.08,"",0,0.0,-1,-3.8,-2,-7.4,-1,-3.8,67640,9.6,0,0.0,0,0.0,318,15.4
"12117","1","48811","77","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,26,26,27,863980,0,0,2524,"",3.99,1.66,1.65,1.71,1.81,0.00,0.00,1.08,"",0,0.0,0,0.0,-2,-7.1,0,0.0,-8201,-0.9,0,0.0,0,0.0,39,1.6
"12117","1","48811","77","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,25,25,25,774276,0,0,2382,"",3.97,1.60,1.62,1.63,1.74,0.00,0.00,1.08,"",0,0.0,-1,-3.8,-2,-7.4,-1,-3.8,67640,9.6,0,0.0,0,0.0,318,15.4
"12117","1","488111","78","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,26,26,27,863980,0,0,2524,"",4.01,1.66,1.65,1.71,1.81,0.00,0.00,1.08,"",0,0.0,0,0.0,-2,-7.1,0,0.0,-8201,-0.9,0,0.0,0,0.0,39,1.6
"12117","1","488111","78","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,25,25,25,774276,0,0,2382,"",4.00,1.61,1.62,1.63,1.74,0.00,0.00,1.08,"",0,0.0,-1,-3.8,-2,-7.4,-1,-3.8,67640,9.6,0,0.0,0,0.0,318,15.4
"12117","1","491","75","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,726,711,716,10834570,0,0,1161,"",0.38,0.88,0.86,0.86,1.10,0.00,0.00,1.26,"",0,0.0,-31,-4.1,-27,-3.7,-25,-3.4,-143319,-1.3,0,0.0,0,0.0,28,2.5
"12117","1","491","75","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,722,730,729,12185312,0,0,1289,"",0.38,0.88,0.89,0.90,1.05,0.00,0.00,1.18,"",0,0.0,-20,-2.7,-11,-1.5,-16,-2.1,-485933,-3.8,0,0.0,0,0.0,-23,-1.8
"12117","1","4911","76","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",17,726,711,716,10834570,0,0,1161,"",0.38,0.88,0.86,0.86,1.10,0.00,0.00,1.26,"",0,0.0,-31,-4.1,-27,-3.7,-25,-3.4,-143319,-1.3,0,0.0,0,0.0,28,2.5
"12117","1","4911","76","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",17,722,730,729,12185312,0,0,1289,"",0.38,0.88,0.89,0.90,1.05,0.00,0.00,1.18,"",0,0.0,-20,-2.7,-11,-1.5,-16,-2.1,-485933,-3.8,0,0.0,0,0.0,-23,-1.8
"12117","1","49111","77","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",17,726,711,716,10834570,0,0,1161,"",0.38,0.88,0.86,0.86,1.10,0.00,0.00,1.26,"",0,0.0,-31,-4.1,-27,-3.7,-25,-3.4,-143319,-1.3,0,0.0,0,0.0,28,2.5
"12117","1","49111","77","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",17,722,730,729,12185312,0,0,1289,"",0.38,0.88,0.89,0.90,1.05,0.00,0.00,1.18,"",0,0.0,-20,-2.7,-11,-1.5,-16,-2.1,-485933,-3.8,0,0.0,0,0.0,-23,-1.8
"12117","1","491110","78","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",17,726,711,716,10834570,0,0,1161,"",0.38,0.88,0.86,0.86,1.10,0.00,0.00,1.26,"",0,0.0,-31,-4.1,-27,-3.7,-25,-3.4,-143319,-1.3,0,0.0,0,0.0,28,2.5
"12117","1","491110","78","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",17,722,730,729,12185312,0,0,1289,"",0.38,0.88,0.89,0.90,1.05,0.00,0.00,1.18,"",0,0.0,-20,-2.7,-11,-1.5,-16,-2.1,-485933,-3.8,0,0.0,0,0.0,-23,-1.8
"12117","1","92","74","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,162,164,156,3477340,0,0,1665,"",0.27,0.08,0.08,0.08,0.09,0.00,0.00,1.18,"",0,0.0,37,29.6,37,29.1,33,26.8,743879,27.2,0,0.0,0,0.0,-17,-1.0
"12117","1","92","74","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,170,164,162,3694467,0,0,1719,"",0.27,0.08,0.08,0.08,0.09,0.00,0.00,1.10,"",0,0.0,47,38.2,36,28.1,38,30.6,1267729,52.2,0,0.0,0,0.0,226,15.1
"12117","1","921","75","0","2019","1","","Seminole County, Florida","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,1,1,27065,0,0,3123,"",0.32,0.00,0.00,0.00,0.01,0.00,0.00,2.41,"",0,0.0,-1,-100.0,0,0.0,0,0.0,-3681,-12.0,0,0.0,0,0.0,758,32.1
"12117","1","921","75","0","2019","2","","Seminole County, Florida","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,36996,0,0,2846,"",0.35,0.00,0.01,0.01,0.01,0.00,0.00,2.02,"",0,0.0,0,0.0,0,0.0,0,0.0,1027,2.9,0,0.0,0,0.0,79,2.9
