"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12125","0","10","70","0","2019","1","","Union County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",205,3321,3332,3340,32104419,7730454,25158,741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.0,-58,-1.7,-63,-1.9,-69,-2.0,-420895,-1.3,-417417,-5.1,-11710,-31.8,4,0.5
"12125","0","10","70","0","2019","2","","Union County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",201,3382,3386,3267,31667445,2070858,8507,728,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-3.4,-12,-0.4,11,0.3,-19,-0.6,128375,0.4,40358,2.0,-4341,-33.8,4,0.6
"12125","1","10","71","0","2019","1","","Union County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,18,20,19,208660,0,0,845,"",2.48,0.28,0.31,0.30,0.26,0.00,0.00,0.88,"",0,0.0,-1,-5.3,3,17.6,2,11.8,24827,13.5,0,0.0,0,0.0,45,5.6
"12125","1","10","71","0","2019","2","","Union County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,18,18,18,210958,0,0,902,"",2.56,0.28,0.28,0.29,0.24,0.00,0.00,0.83,"",0,0.0,1,5.9,3,20.0,1,5.9,-20921,-9.0,0,0.0,0,0.0,-190,-17.4
"12125","1","102","72","0","2019","1","","Union County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,18,20,19,208660,0,0,845,"",2.49,0.29,0.32,0.30,0.27,0.00,0.00,0.88,"",0,0.0,-1,-5.3,3,17.6,2,11.8,24827,13.5,0,0.0,0,0.0,45,5.6
"12125","1","102","72","0","2019","2","","Union County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,18,18,18,210958,0,0,902,"",2.56,0.29,0.29,0.30,0.24,0.00,0.00,0.83,"",0,0.0,1,5.9,3,20.0,1,5.9,-20921,-9.0,0,0.0,0,0.0,-190,-17.4
"12125","1","1021","73","0","2019","1","","Union County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,18,20,19,208660,0,0,845,"",4.93,1.17,1.30,1.24,1.48,0.00,0.00,1.19,"",0,0.0,-1,-5.3,3,17.6,2,11.8,24827,13.5,0,0.0,0,0.0,45,5.6
"12125","1","1021","73","0","2019","2","","Union County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,18,18,18,210958,0,0,902,"",5.07,1.17,1.17,1.22,1.28,0.00,0.00,1.08,"",0,0.0,1,5.9,3,20.0,1,5.9,-20921,-9.0,0,0.0,0,0.0,-190,-17.4
"12125","1","48-49","74","0","2019","1","","Union County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,18,20,19,208660,0,0,845,"",5.07,1.28,1.42,1.35,1.58,0.00,0.00,1.18,"",0,0.0,-1,-5.3,3,17.6,2,11.8,24827,13.5,0,0.0,0,0.0,45,5.6
"12125","1","48-49","74","0","2019","2","","Union County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,18,18,18,210958,0,0,902,"",5.21,1.27,1.27,1.33,1.37,0.00,0.00,1.06,"",0,0.0,1,5.9,3,20.0,1,5.9,-20921,-9.0,0,0.0,0,0.0,-190,-17.4
"12125","1","491","75","0","2019","1","","Union County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,18,20,19,208660,0,0,845,"",5.10,1.31,1.45,1.38,1.66,0.00,0.00,1.21,"",0,0.0,-1,-5.3,3,17.6,2,11.8,24827,13.5,0,0.0,0,0.0,45,5.6
"12125","1","491","75","0","2019","2","","Union County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,18,18,18,210958,0,0,902,"",5.25,1.30,1.30,1.35,1.42,0.00,0.00,1.08,"",0,0.0,1,5.9,3,20.0,1,5.9,-20921,-9.0,0,0.0,0,0.0,-190,-17.4
"12125","1","4911","76","0","2019","1","","Union County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,18,20,19,208660,0,0,845,"",5.10,1.31,1.45,1.38,1.66,0.00,0.00,1.21,"",0,0.0,-1,-5.3,3,17.6,2,11.8,24827,13.5,0,0.0,0,0.0,45,5.6
"12125","1","4911","76","0","2019","2","","Union County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,18,18,18,210958,0,0,902,"",5.25,1.30,1.30,1.35,1.42,0.00,0.00,1.08,"",0,0.0,1,5.9,3,20.0,1,5.9,-20921,-9.0,0,0.0,0,0.0,-190,-17.4
"12125","1","49111","77","0","2019","1","","Union County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,18,20,19,208660,0,0,845,"",5.10,1.31,1.45,1.38,1.66,0.00,0.00,1.21,"",0,0.0,-1,-5.3,3,17.6,2,11.8,24827,13.5,0,0.0,0,0.0,45,5.6
