"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12131","0","10","70","0","2019","1","","Walton County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2863,25898,26365,27257,264101624,120400962,728068,766,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",211,8.0,1374,5.6,1458,5.9,1168,4.5,29074298,12.4,9043181,8.1,-46683,-6.0,48,6.7
"12131","0","10","70","0","2019","2","","Walton County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2917,27488,28257,28485,281302413,42087846,284443,771,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",217,8.0,1079,4.1,1444,5.4,1210,4.4,24841966,9.7,881409,2.1,-45111,-13.7,36,4.9
"12131","1","10","71","0","2019","1","","Walton County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,140,143,150,2216309,0,0,1181,"",0.53,0.28,0.28,0.29,0.34,0.00,0.00,1.20,"",1,12.5,1,0.7,4,2.9,7,4.9,26734,1.2,0,0.0,0,0.0,-19,-1.6
"12131","1","10","71","0","2019","2","","Walton County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,146,148,148,2657505,0,0,1387,"",0.53,0.28,0.28,0.27,0.33,0.00,0.00,1.21,"",1,12.5,2,1.4,5,3.5,1,0.7,90197,3.5,0,0.0,0,0.0,22,1.6
"12131","1","102","72","0","2019","1","","Walton County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,140,143,150,2216309,0,0,1181,"",0.53,0.29,0.29,0.29,0.35,0.00,0.00,1.19,"",1,12.5,1,0.7,4,2.9,7,4.9,26734,1.2,0,0.0,0,0.0,-19,-1.6
"12131","1","102","72","0","2019","2","","Walton County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,146,148,148,2657505,0,0,1387,"",0.53,0.29,0.28,0.28,0.34,0.00,0.00,1.21,"",1,12.5,2,1.4,5,3.5,1,0.7,90197,3.5,0,0.0,0,0.0,22,1.6
"12131","1","1021","73","0","2019","1","","Walton County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,67,69,75,896442,0,0,980,"",0.59,0.56,0.57,0.60,0.77,0.00,0.00,1.34,"",0,0.0,-2,-2.9,1,1.5,5,7.1,-1152,-0.1,0,0.0,0,0.0,-21,-2.1
"12131","1","1021","73","0","2019","2","","Walton County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,68,72,72,1064721,0,0,1159,"",0.58,0.54,0.56,0.56,0.73,0.00,0.00,1.31,"",0,0.0,-4,-5.6,2,2.9,0,0.0,3436,0.3,0,0.0,0,0.0,15,1.3
"12131","1","1028","73","0","2019","1","","Walton County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,73,74,75,1319867,0,0,1372,"",0.59,0.27,0.27,0.27,0.33,0.00,0.00,1.23,"",1,33.3,3,4.3,3,4.2,2,2.7,27886,2.2,0,0.0,0,0.0,-21,-1.5
"12131","1","1028","73","0","2019","2","","Walton County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,78,76,76,1592784,0,0,1598,"",0.58,0.28,0.26,0.26,0.33,0.00,0.00,1.26,"",1,33.3,6,8.3,3,4.1,1,1.3,86761,5.8,0,0.0,0,0.0,18,1.1
"12131","1","48-49","74","0","2019","1","","Walton County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,67,69,75,896442,0,0,980,"",0.60,0.61,0.62,0.65,0.83,0.00,0.00,1.32,"",0,0.0,-2,-2.9,1,1.5,5,7.1,-1152,-0.1,0,0.0,0,0.0,-21,-2.1
"12131","1","48-49","74","0","2019","2","","Walton County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,68,72,72,1064721,0,0,1159,"",0.60,0.59,0.61,0.61,0.78,0.00,0.00,1.29,"",0,0.0,-4,-5.6,2,2.9,0,0.0,3436,0.3,0,0.0,0,0.0,15,1.3
"12131","1","491","75","0","2019","1","","Walton County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,67,69,75,896442,0,0,980,"",0.61,0.62,0.63,0.67,0.87,0.00,0.00,1.35,"",0,0.0,-2,-2.9,1,1.5,5,7.1,-1152,-0.1,0,0.0,0,0.0,-21,-2.1
