"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12999","0","10","70","0","2019","1","","Unknown Or Undefined, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",47975,285941,291436,292486,6643538715,1951269446,16730307,1762,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6598,15.9,10668,3.9,11585,4.1,12329,4.4,539814264,8.8,102721400,5.6,-393792,-2.3,76,4.5
"12999","0","10","70","0","2019","2","","Unknown Or Undefined, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",48234,293313,295798,291780,5983581411,444058760,4049786,1568,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4849,11.2,8808,3.1,8248,2.9,6846,2.4,677287183,12.8,2013387,0.5,-376291,-8.5,139,9.7
"12999","1","10","71","0","2019","1","","Unknown Or Undefined, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,3822,3850,3867,75217618,0,0,1504,"",0.23,0.70,0.69,0.69,0.46,0.00,0.00,0.66,"",0,0.0,1092,40.0,971,33.7,974,33.7,18727723,33.2,0,0.0,0,0.0,-29,-1.9
"12999","1","10","71","0","2019","2","","Unknown Or Undefined, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",67,3871,3920,3952,87835721,0,0,1726,"",0.24,0.70,0.70,0.71,0.52,0.00,0.00,0.74,"",3,4.7,954,32.7,962,32.5,973,32.7,22740077,34.9,0,0.0,0,0.0,29,1.7
"12999","1","102","72","0","2019","1","","Unknown Or Undefined, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",65,3822,3850,3867,75217618,0,0,1504,"",0.23,0.71,0.70,0.71,0.47,0.00,0.00,0.66,"",0,0.0,1092,40.0,971,33.7,974,33.7,18727723,33.2,0,0.0,0,0.0,-29,-1.9
"12999","1","102","72","0","2019","2","","Unknown Or Undefined, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",67,3871,3920,3952,87835721,0,0,1726,"",0.24,0.71,0.71,0.73,0.53,0.00,0.00,0.74,"",3,4.7,954,32.7,962,32.5,973,32.7,22740077,34.9,0,0.0,0,0.0,29,1.7
"12999","1","1021","73","0","2019","1","","Unknown Or Undefined, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,235,229,227,4347839,0,0,1452,"",0.01,0.18,0.17,0.17,0.15,0.00,0.00,0.86,"",0,0.0,204,658.1,198,638.7,196,632.3,3359499,339.9,0,0.0,0,0.0,-1000,-40.8
"12999","1","1021","73","0","2019","2","","Unknown Or Undefined, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,226,222,224,5114886,0,0,1756,"",0.01,0.17,0.17,0.17,0.16,0.00,0.00,0.98,"",0,0.0,194,606.2,190,593.8,193,622.6,3983097,351.9,0,0.0,0,0.0,-993,-36.1
"12999","1","1022","73","0","2019","1","","Unknown Or Undefined, Florida","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,21653,0,0,1666,"",1.69,0.08,0.08,0.08,0.06,0.00,0.00,0.77,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-28488,-56.8,0,0.0,0,0.0,-263,-13.6
"12999","1","1022","73","0","2019","2","","Unknown Or Undefined, Florida","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22063,0,0,1697,"",1.69,0.08,0.08,0.08,0.06,0.00,0.00,0.81,"",0,0.0,-1,-50.0,-1,-50.0,0,0.0,-24024,-52.1,0,0.0,0,0.0,-430,-20.2
