"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13000","0","10","50","0","2019","1","","Georgia -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",281061,4441249,4466731,4483638,65026912660,26146494684,337204948,1121,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4088,1.5,106074,2.4,98654,2.3,87192,2.0,2991425481,4.8,929195398,3.7,-21151115,-5.9,28,2.6
"13000","0","10","50","0","2019","2","","Georgia -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",285092,4490915,4508471,4507116,59489009270,7706597522,102127951,1016,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8597,3.1,82443,1.9,80211,1.8,73329,1.7,3226745142,5.7,44687049,0.6,-9499694,-8.5,38,3.9
"13000","1","10","51","0","2019","1","","Georgia -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1586,101689,102560,102330,1900966470,0,0,1431,"",0.96,1.20,1.20,1.20,1.18,0.00,0.00,0.99,"",-17,-1.1,654,0.6,1931,1.9,1837,1.8,4515559,0.2,0,0.0,0,0.0,-17,-1.2
"13000","1","10","51","0","2019","2","","Georgia -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1579,102626,102536,102686,2082333280,0,0,1561,"",0.95,1.20,1.20,1.20,1.24,0.00,0.00,1.03,"",-16,-1.0,1966,2.0,1969,2.0,1656,1.6,81015414,4.0,0,0.0,0,0.0,33,2.2
"13000","1","101","52","0","2019","1","","Georgia -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,3,3,3,71675,0,0,1838,"",0.57,0.00,0.00,0.00,0.00,0.00,0.00,1.30,"",1,100.0,1,50.0,1,50.0,1,50.0,2139,3.1,0,0.0,0,0.0,-836,-31.3
"13000","1","101","52","0","2019","2","","Georgia -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,3,3,3,72845,0,0,1868,"",0.57,0.00,0.00,0.00,0.00,0.00,0.00,1.20,"",1,100.0,2,200.0,2,200.0,2,200.0,46109,172.5,0,0.0,0,0.0,-189,-9.2
"13000","1","1013","53","0","2019","1","","Georgia -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,71675,0,0,1838,"",1.54,0.00,0.00,0.00,0.00,0.00,0.00,1.29,"",1,100.0,1,50.0,1,50.0,1,50.0,2139,3.1,0,0.0,0,0.0,-836,-31.3
"13000","1","1013","53","0","2019","2","","Georgia -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,72845,0,0,1868,"",1.53,0.00,0.00,0.00,0.00,0.00,0.00,1.17,"",1,100.0,2,200.0,2,200.0,2,200.0,46109,172.5,0,0.0,0,0.0,-189,-9.2
"13000","1","102","52","0","2019","1","","Georgia -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1584,101686,102557,102327,1900894795,0,0,1431,"",0.96,1.22,1.22,1.22,1.21,0.00,0.00,0.99,"",-18,-1.1,653,0.6,1930,1.9,1836,1.8,4513420,0.2,0,0.0,0,0.0,-17,-1.2
"13000","1","102","52","0","2019","2","","Georgia -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1577,102623,102533,102683,2082260435,0,0,1561,"",0.95,1.23,1.22,1.22,1.26,0.00,0.00,1.03,"",-17,-1.1,1964,2.0,1967,2.0,1654,1.6,80969305,4.0,0,0.0,0,0.0,33,2.2
"13000","1","1021","53","0","2019","1","","Georgia -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",704,20448,20448,20446,268532833,0,0,1010,"",0.84,1.00,0.99,0.99,0.94,0.00,0.00,0.94,"",-5,-0.7,97,0.5,247,1.2,273,1.4,4580255,1.7,0,0.0,0,0.0,7,0.7
"13000","1","1021","53","0","2019","2","","Georgia -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",707,20417,20503,20439,299209736,0,0,1125,"",0.84,1.00,1.00,1.00,0.97,0.00,0.00,0.97,"",3,0.4,215,1.1,386,1.9,287,1.4,-1281707,-0.4,0,0.0,0,0.0,-22,-1.9
"13000","1","1022","53","0","2019","1","","Georgia -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",9,114,119,117,1760893,0,0,1161,"",2.60,0.57,0.60,0.59,0.49,0.00,0.00,0.85,"",0,0.0,-1,-0.9,6,5.3,2,1.7,-32673,-1.8,0,0.0,0,0.0,-46,-3.8
"13000","1","1022","53","0","2019","2","","Georgia -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",9,117,116,118,1666060,0,0,1095,"",2.57,0.58,0.59,0.59,0.47,0.00,0.00,0.81,"",0,0.0,4,3.5,1,0.9,2,1.7,78028,4.9,0,0.0,0,0.0,30,2.8
"13000","1","1023","53","0","2019","1","","Georgia -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",32,377,373,368,11019910,0,0,2275,"",1.46,1.02,1.01,1.00,1.13,0.00,0.00,1.12,"",0,0.0,-30,-7.4,-24,-6.0,-24,-6.1,-2376965,-17.7,0,0.0,0,0.0,-310,-12.0
"13000","1","1023","53","0","2019","2","","Georgia -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",32,364,366,374,11017183,0,0,2303,"",1.47,0.99,1.00,1.02,1.14,0.00,0.00,1.14,"",0,0.0,-25,-6.4,-22,-5.7,-22,-5.6,-406639,-3.6,0,0.0,0,0.0,56,2.5
