"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13001","0","10","70","0","2019","1","","Appling County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",508,6863,6979,6864,107526730,37136963,356000,1198,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",106,26.4,168,2.5,274,4.1,198,3.0,7325447,7.3,1705323,4.8,-55318,-13.4,46,4.0
"13001","0","10","70","0","2019","2","","Appling County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",516,6989,7159,7063,72116879,11640067,132428,785,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",111,27.4,74,1.1,113,1.6,97,1.4,2307678,3.3,254263,2.2,-23255,-14.9,15,1.9
"13001","1","10","71","0","2019","1","","Appling County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,43,50,46,548868,0,0,911,"",2.01,0.33,0.37,0.35,0.21,0.00,0.00,0.59,"",0,0.0,-4,-8.5,6,13.6,3,7.0,-67606,-11.0,0,0.0,0,0.0,-151,-14.2
"13001","1","10","71","0","2019","2","","Appling County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,48,45,44,596454,0,0,1005,"",1.99,0.36,0.33,0.33,0.29,0.00,0.00,0.86,"",0,0.0,7,17.1,2,4.7,2,4.8,-37177,-5.9,0,0.0,0,0.0,-155,-13.4
"13001","1","102","72","0","2019","1","","Appling County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,43,50,46,548868,0,0,911,"",2.01,0.33,0.38,0.36,0.21,0.00,0.00,0.59,"",0,0.0,-4,-8.5,6,13.6,3,7.0,-67606,-11.0,0,0.0,0,0.0,-151,-14.2
"13001","1","102","72","0","2019","2","","Appling County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,48,45,44,596454,0,0,1005,"",2.00,0.37,0.34,0.33,0.30,0.00,0.00,0.86,"",0,0.0,7,17.1,2,4.7,2,4.8,-37177,-5.9,0,0.0,0,0.0,-155,-13.4
"13001","1","1021","73","0","2019","1","","Appling County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,30,33,33,320838,0,0,771,"",1.33,0.95,1.02,1.04,0.68,0.00,0.00,0.67,"",0,0.0,-1,-3.2,2,6.5,3,10.0,11467,3.7,0,0.0,0,0.0,-5,-0.6
"13001","1","1021","73","0","2019","2","","Appling County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,32,32,31,366152,0,0,889,"",1.32,1.00,0.98,0.97,0.97,0.00,0.00,0.99,"",0,0.0,3,10.3,2,6.7,1,3.3,-10698,-2.8,0,0.0,0,0.0,-88,-9.0
"13001","1","1023","73","0","2019","1","","Appling County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22627,0,0,1741,"",25.30,1.75,1.74,1.77,1.40,0.00,0.00,0.80,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-25709,-53.2,0,0.0,0,0.0,-118,-6.3
"13001","1","1023","73","0","2019","2","","Appling County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22621,0,0,1740,"",25.37,1.75,1.73,1.73,1.93,0.00,0.00,1.11,"",0,0.0,0,0.0,0,0.0,0,0.0,-19005,-45.7,0,0.0,0,0.0,-1462,-45.7
