"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13003","0","10","70","0","2019","1","","Atkinson County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",210,2478,2552,2529,27518436,15576786,250658,840,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",94,81.0,209,9.2,263,11.5,312,14.1,9647510,54.0,3512324,29.1,-8116,-3.1,231,37.9
"13003","0","10","70","0","2019","2","","Atkinson County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",211,2541,2525,2515,27037441,4107400,79702,823,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",96,83.5,237,10.3,301,13.5,268,11.9,7366275,37.4,-272911,-6.2,-22568,-22.1,153,22.8
"13003","1","10","71","0","2019","1","","Atkinson County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,16,16,16,164889,0,0,793,"",2.43,0.34,0.33,0.33,0.24,0.00,0.00,0.73,"",-1,-25.0,-2,-11.1,-1,-5.9,1,6.7,24182,17.2,0,0.0,0,0.0,144,22.2
"13003","1","10","71","0","2019","2","","Atkinson County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,16,16,17,194914,0,0,918,"",3.25,0.33,0.33,0.36,0.25,0.00,0.00,0.75,"",0,0.0,0,0.0,0,0.0,1,6.2,-7824,-3.9,0,0.0,0,0.0,-57,-5.8
"13003","1","102","72","0","2019","1","","Atkinson County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,16,16,16,164889,0,0,793,"",2.43,0.34,0.33,0.34,0.25,0.00,0.00,0.73,"",-1,-25.0,-2,-11.1,-1,-5.9,1,6.7,24182,17.2,0,0.0,0,0.0,144,22.2
"13003","1","102","72","0","2019","2","","Atkinson County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,16,16,17,194914,0,0,918,"",3.26,0.34,0.34,0.36,0.26,0.00,0.00,0.75,"",0,0.0,0,0.0,0,0.0,1,6.2,-7824,-3.9,0,0.0,0,0.0,-57,-5.8
"13003","1","1021","73","0","2019","1","","Atkinson County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,15,15,15,152519,0,0,782,"",3.21,1.31,1.27,1.29,1.26,0.00,0.00,0.98,"",-1,-33.3,-2,-11.8,-1,-6.2,1,7.1,26174,20.7,0,0.0,0,0.0,162,26.1
"13003","1","1021","73","0","2019","2","","Atkinson County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,15,15,16,182166,0,0,914,"",4.83,1.29,1.31,1.40,1.29,0.00,0.00,0.97,"",0,0.0,0,0.0,0,0.0,1,6.7,-8202,-4.3,0,0.0,0,0.0,-62,-6.4
"13003","1","1028","73","0","2019","1","","Atkinson County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12370,0,0,952,"",2.00,0.04,0.04,0.04,0.03,0.00,0.00,0.78,"",0,0.0,0,0.0,0,0.0,0,0.0,-1992,-13.9,0,0.0,0,0.0,-153,-13.8
"13003","1","1028","73","0","2019","2","","Atkinson County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12748,0,0,981,"",2.01,0.04,0.04,0.04,0.03,0.00,0.00,0.72,"",0,0.0,0,0.0,0,0.0,0,0.0,378,3.1,0,0.0,0,0.0,29,3.0
