"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13009","0","10","70","0","2019","1","","Baldwin County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",811,15497,15680,15594,135319709,61266264,982685,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.4,268,1.8,211,1.4,-14,-0.1,6036511,4.7,2192276,3.7,197263,25.1,24,3.7
"13009","0","10","70","0","2019","2","","Baldwin County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",817,15825,15763,15706,135622505,23977766,343291,662,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,2.3,137,0.9,-127,-0.8,22,0.1,3881103,2.9,973221,4.2,55282,19.2,19,3.0
"13009","1","10","71","0","2019","1","","Baldwin County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,72,76,76,1007105,0,0,1038,"",1.05,0.24,0.25,0.26,0.30,0.00,0.00,1.20,"",0,0.0,1,1.4,6,8.6,8,11.8,13720,1.4,0,0.0,0,0.0,-59,-5.4
"13009","1","10","71","0","2019","2","","Baldwin County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,73,75,76,1116565,0,0,1150,"",1.05,0.24,0.25,0.26,0.29,0.00,0.00,1.16,"",0,0.0,5,7.4,7,10.3,3,4.1,37156,3.4,0,0.0,0,0.0,-42,-3.5
"13009","1","102","72","0","2019","1","","Baldwin County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,72,76,76,1007105,0,0,1038,"",1.05,0.25,0.26,0.26,0.31,0.00,0.00,1.20,"",0,0.0,1,1.4,6,8.6,8,11.8,13720,1.4,0,0.0,0,0.0,-59,-5.4
"13009","1","102","72","0","2019","2","","Baldwin County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,73,75,76,1116565,0,0,1150,"",1.05,0.25,0.26,0.26,0.30,0.00,0.00,1.17,"",0,0.0,5,7.4,7,10.3,3,4.1,37156,3.4,0,0.0,0,0.0,-42,-3.5
"13009","1","1021","73","0","2019","1","","Baldwin County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,56,60,60,724180,0,0,950,"",1.25,0.78,0.83,0.84,1.21,0.00,0.00,1.49,"",0,0.0,3,5.7,8,15.4,8,15.4,43956,6.5,0,0.0,0,0.0,-50,-5.0
"13009","1","1021","73","0","2019","2","","Baldwin County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,57,59,60,835233,0,0,1095,"",1.25,0.79,0.82,0.84,1.18,0.00,0.00,1.44,"",0,0.0,5,9.6,7,13.5,3,5.3,25958,3.2,0,0.0,0,0.0,-65,-5.6
"13009","1","1028","73","0","2019","1","","Baldwin County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,16,16,16,282925,0,0,1360,"",1.04,0.10,0.10,0.10,0.14,0.00,0.00,1.40,"",0,0.0,-2,-11.1,-2,-11.1,0,0.0,-30236,-9.7,0,0.0,0,0.0,-30,-2.2
"13009","1","1028","73","0","2019","2","","Baldwin County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,16,16,16,281332,0,0,1353,"",1.04,0.10,0.10,0.10,0.12,0.00,0.00,1.24,"",0,0.0,0,0.0,0,0.0,0,0.0,11198,4.1,0,0.0,0,0.0,54,4.2
"13009","1","48-49","74","0","2019","1","","Baldwin County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,56,60,60,724180,0,0,950,"",1.28,0.85,0.90,0.91,1.30,0.00,0.00,1.47,"",0,0.0,3,5.7,8,15.4,8,15.4,43956,6.5,0,0.0,0,0.0,-50,-5.0
"13009","1","48-49","74","0","2019","2","","Baldwin County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,57,59,60,835233,0,0,1095,"",1.28,0.86,0.90,0.92,1.27,0.00,0.00,1.42,"",0,0.0,5,9.6,7,13.5,3,5.3,25958,3.2,0,0.0,0,0.0,-65,-5.6
"13009","1","491","75","0","2019","1","","Baldwin County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,56,60,60,724180,0,0,950,"",1.29,0.87,0.92,0.93,1.37,0.00,0.00,1.51,"",0,0.0,3,5.7,8,15.4,8,15.4,43956,6.5,0,0.0,0,0.0,-50,-5.0
"13009","1","491","75","0","2019","2","","Baldwin County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,57,59,60,835233,0,0,1095,"",1.29,0.88,0.92,0.94,1.32,0.00,0.00,1.44,"",0,0.0,5,9.6,7,13.5,3,5.3,25958,3.2,0,0.0,0,0.0,-65,-5.6
"13009","1","4911","76","0","2019","1","","Baldwin County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,56,60,60,724180,0,0,950,"",1.29,0.87,0.92,0.93,1.37,0.00,0.00,1.51,"",0,0.0,3,5.7,8,15.4,8,15.4,43956,6.5,0,0.0,0,0.0,-50,-5.0
"13009","1","4911","76","0","2019","2","","Baldwin County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,57,59,60,835233,0,0,1095,"",1.29,0.88,0.92,0.94,1.32,0.00,0.00,1.44,"",0,0.0,5,9.6,7,13.5,3,5.3,25958,3.2,0,0.0,0,0.0,-65,-5.6
"13009","1","49111","77","0","2019","1","","Baldwin County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,56,60,60,724180,0,0,950,"",1.29,0.87,0.92,0.93,1.37,0.00,0.00,1.51,"",0,0.0,3,5.7,8,15.4,8,15.4,43956,6.5,0,0.0,0,0.0,-50,-5.0
"13009","1","49111","77","0","2019","2","","Baldwin County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,57,59,60,835233,0,0,1095,"",1.29,0.88,0.92,0.94,1.32,0.00,0.00,1.44,"",0,0.0,5,9.6,7,13.5,3,5.3,25958,3.2,0,0.0,0,0.0,-65,-5.6
"13009","1","491110","78","0","2019","1","","Baldwin County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,56,60,60,724180,0,0,950,"",1.29,0.87,0.92,0.93,1.37,0.00,0.00,1.51,"",0,0.0,3,5.7,8,15.4,8,15.4,43956,6.5,0,0.0,0,0.0,-50,-5.0
"13009","1","491110","78","0","2019","2","","Baldwin County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,57,59,60,835233,0,0,1095,"",1.29,0.88,0.92,0.94,1.32,0.00,0.00,1.44,"",0,0.0,5,9.6,7,13.5,3,5.3,25958,3.2,0,0.0,0,0.0,-65,-5.6
"13009","1","92","74","0","2019","1","","Baldwin County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,16,16,16,282925,0,0,1360,"",1.04,0.10,0.10,0.10,0.14,0.00,0.00,1.40,"",0,0.0,-2,-11.1,-2,-11.1,0,0.0,-30236,-9.7,0,0.0,0,0.0,-30,-2.2
"13009","1","92","74","0","2019","2","","Baldwin County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,16,16,16,281332,0,0,1353,"",1.04,0.10,0.10,0.10,0.12,0.00,0.00,1.24,"",0,0.0,0,0.0,0,0.0,0,0.0,11198,4.1,0,0.0,0,0.0,54,4.2
"13009","1","923","75","0","2019","1","","Baldwin County, Georgia","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,12,12,223592,0,0,1433,"",4.91,0.59,0.59,0.59,0.88,0.00,0.00,1.49,"",0,0.0,0,0.0,0,0.0,0,0.0,-16789,-7.0,0,0.0,0,0.0,-108,-7.0
"13009","1","923","75","0","2019","2","","Baldwin County, Georgia","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,12,12,227020,0,0,1455,"",4.92,0.59,0.59,0.59,0.73,0.00,0.00,1.23,"",0,0.0,0,0.0,0,0.0,0,0.0,12391,5.8,0,0.0,0,0.0,79,5.7
"13009","1","9231","76","0","2019","1","","Baldwin County, Georgia","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,12,12,223592,0,0,1433,"",4.91,0.59,0.59,0.59,0.88,0.00,0.00,1.49,"",0,0.0,0,0.0,0,0.0,0,0.0,-16789,-7.0,0,0.0,0,0.0,-108,-7.0
"13009","1","9231","76","0","2019","2","","Baldwin County, Georgia","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,12,12,227020,0,0,1455,"",4.92,0.59,0.59,0.59,0.73,0.00,0.00,1.23,"",0,0.0,0,0.0,0,0.0,0,0.0,12391,5.8,0,0.0,0,0.0,79,5.7
"13009","1","92313","77","0","2019","1","","Baldwin County, Georgia","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,12,12,223592,0,0,1433,"",8.21,1.61,1.59,1.61,2.55,0.00,0.00,1.59,"",0,0.0,0,0.0,0,0.0,0,0.0,-16789,-7.0,0,0.0,0,0.0,-108,-7.0
"13009","1","92313","77","0","2019","2","","Baldwin County, Georgia","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,12,12,227020,0,0,1455,"",8.23,1.60,1.62,1.62,2.39,0.00,0.00,1.48,"",0,0.0,0,0.0,0,0.0,0,0.0,12391,5.8,0,0.0,0,0.0,79,5.7
"13009","1","923130","78","0","2019","1","","Baldwin County, Georgia","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,12,12,223592,0,0,1433,"",8.21,1.61,1.59,1.61,2.55,0.00,0.00,1.59,"",0,0.0,0,0.0,0,0.0,0,0.0,-16789,-7.0,0,0.0,0,0.0,-108,-7.0
"13009","1","923130","78","0","2019","2","","Baldwin County, Georgia","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,12,12,227020,0,0,1455,"",8.23,1.60,1.62,1.62,2.39,0.00,0.00,1.48,"",0,0.0,0,0.0,0,0.0,0,0.0,12391,5.8,0,0.0,0,0.0,79,5.7
