"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13013","0","10","70","0","2019","1","","Barrow County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1201,19545,19706,19781,200995574,107425159,1130763,786,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,2.4,579,3.1,490,2.5,565,2.9,12506829,6.6,5650693,5.6,-83410,-6.9,28,3.7
"13013","0","10","70","0","2019","2","","Barrow County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1219,19850,20000,20035,200467660,35257144,374815,773,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",55,4.7,709,3.7,718,3.7,772,4.0,12969831,6.9,820035,2.4,-38433,-9.3,23,3.1
"13013","1","10","71","0","2019","1","","Barrow County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,170,167,164,2570462,0,0,1184,"",1.13,0.45,0.44,0.43,0.52,0.00,0.00,1.17,"",0,0.0,9,5.6,6,3.7,1,0.6,36842,1.5,0,0.0,0,0.0,-22,-1.8
"13013","1","10","71","0","2019","2","","Barrow County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,165,160,161,2586484,0,0,1228,"",1.12,0.44,0.42,0.42,0.46,0.00,0.00,1.07,"",0,0.0,-2,-1.2,-14,-8.0,-11,-6.4,-79858,-3.0,0,0.0,0,0.0,29,2.4
"13013","1","102","72","0","2019","1","","Barrow County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,170,167,164,2570462,0,0,1184,"",1.13,0.46,0.45,0.44,0.53,0.00,0.00,1.17,"",0,0.0,9,5.6,6,3.7,1,0.6,36842,1.5,0,0.0,0,0.0,-22,-1.8
"13013","1","102","72","0","2019","2","","Barrow County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,165,160,161,2586484,0,0,1228,"",1.13,0.45,0.43,0.43,0.47,0.00,0.00,1.07,"",0,0.0,-2,-1.2,-14,-8.0,-11,-6.4,-79858,-3.0,0,0.0,0,0.0,29,2.4
"13013","1","1021","73","0","2019","1","","Barrow County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,87,85,81,955435,0,0,871,"",1.12,0.96,0.93,0.89,1.08,0.00,0.00,1.16,"",0,0.0,13,17.6,12,16.4,6,8.0,26009,2.8,0,0.0,0,0.0,-95,-9.8
"13013","1","1021","73","0","2019","2","","Barrow County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,85,82,84,1127450,0,0,1037,"",1.12,0.94,0.90,0.93,1.08,0.00,0.00,1.17,"",0,0.0,8,10.4,-5,-5.7,0,0.0,17813,1.6,0,0.0,0,0.0,4,0.4
"13013","1","1028","73","0","2019","1","","Barrow County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,83,82,83,1615027,0,0,1503,"",1.40,0.41,0.40,0.41,0.53,0.00,0.00,1.32,"",0,0.0,-4,-4.6,-6,-6.8,-5,-5.7,10833,0.7,0,0.0,0,0.0,95,6.7
"13013","1","1028","73","0","2019","2","","Barrow County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,80,78,77,1459034,0,0,1433,"",1.39,0.39,0.38,0.37,0.43,0.00,0.00,1.13,"",0,0.0,-10,-11.1,-9,-10.3,-11,-12.5,-97671,-6.3,0,0.0,0,0.0,77,5.7
