"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13029","0","10","70","0","2019","1","","Bryan County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",699,9021,9037,9052,79988919,40915811,506069,681,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,2.0,551,6.5,432,5.0,353,4.1,3871742,5.1,1662121,4.2,11195,2.3,-1,-0.1
"13029","0","10","70","0","2019","2","","Bryan County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",714,9015,8975,8882,82847236,15454823,174378,711,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,4.7,355,4.1,162,1.8,57,0.6,2504280,3.1,-54106,-0.3,-2149,-1.2,6,0.9
"13029","1","10","71","0","2019","1","","Bryan County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,208,210,209,4094025,0,0,1507,"",2.43,1.20,1.21,1.21,2.07,0.00,0.00,1.72,"",0,0.0,9,4.5,15,7.7,17,8.9,146586,3.7,0,0.0,0,0.0,-48,-3.1
"13029","1","10","71","0","2019","2","","Bryan County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,204,197,190,3903356,0,0,1524,"",2.40,1.19,1.16,1.13,1.67,0.00,0.00,1.44,"",0,0.0,11,5.7,9,4.8,-1,-0.5,33108,0.9,0,0.0,0,0.0,-37,-2.4
"13029","1","102","72","0","2019","1","","Bryan County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,208,210,209,4094025,0,0,1507,"",2.43,1.23,1.24,1.23,2.11,0.00,0.00,1.71,"",0,0.0,9,4.5,15,7.7,17,8.9,146586,3.7,0,0.0,0,0.0,-48,-3.1
"13029","1","102","72","0","2019","2","","Bryan County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,204,197,190,3903356,0,0,1524,"",2.41,1.21,1.18,1.15,1.70,0.00,0.00,1.44,"",0,0.0,11,5.7,9,4.8,-1,-0.5,33108,0.9,0,0.0,0,0.0,-37,-2.4
"13029","1","1021","73","0","2019","1","","Bryan County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,56,51,54,682802,0,0,979,"",1.45,1.34,1.22,1.30,1.94,0.00,0.00,1.51,"",0,0.0,6,12.0,1,2.0,6,12.5,57991,9.3,0,0.0,0,0.0,5,0.5
"13029","1","1021","73","0","2019","2","","Bryan County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,55,52,51,750316,0,0,1096,"",1.43,1.34,1.27,1.27,1.74,0.00,0.00,1.34,"",0,0.0,6,12.2,7,15.6,1,2.0,34583,4.8,0,0.0,0,0.0,-51,-4.4
"13029","1","1025","73","0","2019","1","","Bryan County, Georgia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,56,59,55,1482051,0,0,2012,"",21.35,2.16,2.27,2.12,5.08,0.00,0.00,2.33,"",0,0.0,-5,-8.2,-1,-1.7,-6,-9.8,168609,12.8,0,0.0,0,0.0,347,20.8
"13029","1","1025","73","0","2019","2","","Bryan County, Georgia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,53,53,48,1286751,0,0,1928,"",21.10,2.06,2.09,1.91,3.54,0.00,0.00,1.75,"",0,0.0,-5,-8.6,-6,-10.2,-6,-11.1,-60871,-4.5,0,0.0,0,0.0,109,6.0
"13029","1","1028","73","0","2019","1","","Bryan County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,96,100,100,1929172,0,0,1504,"",3.01,1.03,1.07,1.07,1.60,0.00,0.00,1.52,"",0,0.0,8,9.1,15,17.6,17,20.5,-80014,-4.0,0,0.0,0,0.0,-307,-17.0
"13029","1","1028","73","0","2019","2","","Bryan County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,96,92,91,1866289,0,0,1544,"",2.98,1.03,1.00,1.00,1.33,0.00,0.00,1.32,"",0,0.0,10,11.6,8,9.5,4,4.6,59396,3.3,0,0.0,0,0.0,-78,-4.8
"13029","1","48-49","74","0","2019","1","","Bryan County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,56,51,54,682802,0,0,979,"",1.49,1.46,1.33,1.41,2.08,0.00,0.00,1.48,"",0,0.0,6,12.0,1,2.0,6,12.5,57991,9.3,0,0.0,0,0.0,5,0.5
"13029","1","48-49","74","0","2019","2","","Bryan County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,55,52,51,750316,0,0,1096,"",1.47,1.46,1.39,1.38,1.86,0.00,0.00,1.32,"",0,0.0,6,12.2,7,15.6,1,2.0,34583,4.8,0,0.0,0,0.0,-51,-4.4
"13029","1","491","75","0","2019","1","","Bryan County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,56,51,54,682802,0,0,979,"",1.50,1.50,1.36,1.44,2.18,0.00,0.00,1.52,"",0,0.0,6,12.0,1,2.0,6,12.5,57991,9.3,0,0.0,0,0.0,5,0.5
"13029","1","491","75","0","2019","2","","Bryan County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,55,52,51,750316,0,0,1096,"",1.48,1.49,1.42,1.41,1.94,0.00,0.00,1.35,"",0,0.0,6,12.2,7,15.6,1,2.0,34583,4.8,0,0.0,0,0.0,-51,-4.4
"13029","1","4911","76","0","2019","1","","Bryan County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,56,51,54,682802,0,0,979,"",1.50,1.50,1.36,1.44,2.18,0.00,0.00,1.52,"",0,0.0,6,12.0,1,2.0,6,12.5,57991,9.3,0,0.0,0,0.0,5,0.5
"13029","1","4911","76","0","2019","2","","Bryan County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,55,52,51,750316,0,0,1096,"",1.48,1.49,1.42,1.41,1.94,0.00,0.00,1.35,"",0,0.0,6,12.2,7,15.6,1,2.0,34583,4.8,0,0.0,0,0.0,-51,-4.4
"13029","1","49111","77","0","2019","1","","Bryan County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,56,51,54,682802,0,0,979,"",1.50,1.50,1.36,1.44,2.18,0.00,0.00,1.52,"",0,0.0,6,12.0,1,2.0,6,12.5,57991,9.3,0,0.0,0,0.0,5,0.5
"13029","1","49111","77","0","2019","2","","Bryan County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,55,52,51,750316,0,0,1096,"",1.48,1.49,1.42,1.41,1.94,0.00,0.00,1.35,"",0,0.0,6,12.2,7,15.6,1,2.0,34583,4.8,0,0.0,0,0.0,-51,-4.4
"13029","1","491110","78","0","2019","1","","Bryan County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,56,51,54,682802,0,0,979,"",1.50,1.50,1.36,1.44,2.18,0.00,0.00,1.52,"",0,0.0,6,12.0,1,2.0,6,12.5,57991,9.3,0,0.0,0,0.0,5,0.5
"13029","1","491110","78","0","2019","2","","Bryan County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,55,52,51,750316,0,0,1096,"",1.48,1.49,1.42,1.41,1.94,0.00,0.00,1.35,"",0,0.0,6,12.2,7,15.6,1,2.0,34583,4.8,0,0.0,0,0.0,-51,-4.4
"13029","1","61","74","0","2019","1","","Bryan County, Georgia","Federal Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,22,20,297913,0,0,1091,"",94.95,28.31,29.58,26.93,36.82,0.00,0.00,1.30,"",0,0.0,0,0.0,1,4.8,-2,-9.1,22080,8.0,0,0.0,0,0.0,96,9.6
"13029","1","61","74","0","2019","2","","Bryan County, Georgia","Federal Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,19,19,15,333856,0,0,1454,"",94.46,26.06,26.32,22.03,33.32,0.00,0.00,1.34,"",0,0.0,-2,-9.5,-3,-13.6,-1,-6.2,2386,0.7,0,0.0,0,0.0,158,12.2
"13029","1","611","75","0","2019","1","","Bryan County, Georgia","Federal Government","NAICS 611 Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,22,20,297913,0,0,1091,"",94.95,28.31,29.58,26.93,36.82,0.00,0.00,1.30,"",0,0.0,0,0.0,1,4.8,-2,-9.1,22080,8.0,0,0.0,0,0.0,96,9.6
