"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13031","0","10","70","0","2019","1","","Bulloch County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1505,25738,26257,26140,230510924,109124903,1523760,681,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,0.7,320,1.3,618,2.4,240,0.9,4386862,1.9,2192497,2.1,-173253,-10.2,3,0.4
"13031","0","10","70","0","2019","2","","Bulloch County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1519,26261,26350,25256,224425307,43065241,563359,665,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",33,2.2,123,0.5,126,0.5,-145,-0.6,3309647,1.5,-344495,-0.8,-45172,-7.4,9,1.4
"13031","1","10","71","0","2019","1","","Bulloch County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,136,140,136,1837911,0,0,1029,"",1.24,0.28,0.28,0.27,0.32,0.00,0.00,1.17,"",0,0.0,2,1.5,11,8.5,9,7.1,-26212,-1.4,0,0.0,0,0.0,-74,-6.7
"13031","1","10","71","0","2019","2","","Bulloch County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,138,134,134,2037137,0,0,1158,"",1.24,0.28,0.27,0.28,0.32,0.00,0.00,1.17,"",0,0.0,11,8.7,7,5.5,4,3.1,91679,4.7,0,0.0,0,0.0,-11,-0.9
"13031","1","102","72","0","2019","1","","Bulloch County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,136,140,136,1837911,0,0,1029,"",1.24,0.28,0.28,0.28,0.33,0.00,0.00,1.17,"",0,0.0,2,1.5,11,8.5,9,7.1,-26212,-1.4,0,0.0,0,0.0,-74,-6.7
"13031","1","102","72","0","2019","2","","Bulloch County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,138,134,134,2037137,0,0,1158,"",1.24,0.28,0.27,0.29,0.33,0.00,0.00,1.17,"",0,0.0,11,8.7,7,5.5,4,3.1,91679,4.7,0,0.0,0,0.0,-11,-0.9
"13031","1","1021","73","0","2019","1","","Bulloch County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,89,88,89,1075951,0,0,933,"",0.90,0.75,0.73,0.74,1.06,0.00,0.00,1.44,"",0,0.0,4,4.7,4,4.8,6,7.2,59494,5.9,0,0.0,0,0.0,2,0.2
"13031","1","1021","73","0","2019","2","","Bulloch County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,87,87,88,1254921,0,0,1105,"",0.89,0.73,0.73,0.77,1.07,0.00,0.00,1.45,"",0,0.0,4,4.8,4,4.8,7,8.6,23795,1.9,0,0.0,0,0.0,-45,-3.9
"13031","1","1023","73","0","2019","1","","Bulloch County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,30843,0,0,791,"",8.54,1.40,1.39,1.39,0.89,0.00,0.00,0.64,"",0,0.0,0,0.0,1,50.0,1,50.0,-24844,-44.6,0,0.0,0,0.0,-1045,-56.9
"13031","1","1023","73","0","2019","2","","Bulloch County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,32016,0,0,821,"",8.62,1.40,1.41,1.46,0.88,0.00,0.00,0.62,"",0,0.0,1,50.0,1,50.0,1,50.0,6339,24.7,0,0.0,0,0.0,-167,-16.9
"13031","1","1028","73","0","2019","1","","Bulloch County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,44,49,44,731117,0,0,1232,"",1.68,0.17,0.18,0.16,0.21,0.00,0.00,1.25,"",0,0.0,-2,-4.3,6,14.0,2,4.8,-60862,-7.7,0,0.0,0,0.0,-163,-11.7
"13031","1","1028","73","0","2019","2","","Bulloch County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,48,44,43,750200,0,0,1282,"",1.68,0.18,0.16,0.17,0.20,0.00,0.00,1.17,"",0,0.0,6,14.3,2,4.8,-4,-8.5,61545,8.9,0,0.0,0,0.0,69,5.7
"13031","1","48-49","74","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,89,88,89,1075951,0,0,933,"",0.92,0.82,0.79,0.81,1.14,0.00,0.00,1.41,"",0,0.0,4,4.7,4,4.8,6,7.2,59494,5.9,0,0.0,0,0.0,2,0.2
"13031","1","48-49","74","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,87,87,88,1254921,0,0,1105,"",0.92,0.79,0.79,0.84,1.15,0.00,0.00,1.43,"",0,0.0,4,4.8,4,4.8,7,8.6,23795,1.9,0,0.0,0,0.0,-45,-3.9
"13031","1","491","75","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,89,88,89,1075951,0,0,933,"",0.93,0.83,0.81,0.82,1.19,0.00,0.00,1.45,"",0,0.0,4,4.7,4,4.8,6,7.2,59494,5.9,0,0.0,0,0.0,2,0.2
"13031","1","491","75","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,87,87,88,1254921,0,0,1105,"",0.93,0.81,0.81,0.86,1.20,0.00,0.00,1.45,"",0,0.0,4,4.8,4,4.8,7,8.6,23795,1.9,0,0.0,0,0.0,-45,-3.9
"13031","1","4911","76","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,89,88,89,1075951,0,0,933,"",0.93,0.83,0.81,0.82,1.19,0.00,0.00,1.45,"",0,0.0,4,4.7,4,4.8,6,7.2,59494,5.9,0,0.0,0,0.0,2,0.2
"13031","1","4911","76","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,87,87,88,1254921,0,0,1105,"",0.93,0.81,0.81,0.86,1.20,0.00,0.00,1.45,"",0,0.0,4,4.8,4,4.8,7,8.6,23795,1.9,0,0.0,0,0.0,-45,-3.9
"13031","1","49111","77","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,89,88,89,1075951,0,0,933,"",0.93,0.83,0.81,0.82,1.19,0.00,0.00,1.45,"",0,0.0,4,4.7,4,4.8,6,7.2,59494,5.9,0,0.0,0,0.0,2,0.2
"13031","1","49111","77","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,87,87,88,1254921,0,0,1105,"",0.93,0.81,0.81,0.86,1.20,0.00,0.00,1.45,"",0,0.0,4,4.8,4,4.8,7,8.6,23795,1.9,0,0.0,0,0.0,-45,-3.9
"13031","1","491110","78","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,89,88,89,1075951,0,0,933,"",0.93,0.83,0.81,0.82,1.19,0.00,0.00,1.45,"",0,0.0,4,4.7,4,4.8,6,7.2,59494,5.9,0,0.0,0,0.0,2,0.2
"13031","1","491110","78","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,87,87,88,1254921,0,0,1105,"",0.93,0.81,0.81,0.86,1.20,0.00,0.00,1.45,"",0,0.0,4,4.8,4,4.8,7,8.6,23795,1.9,0,0.0,0,0.0,-45,-3.9
"13031","1","52","74","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,3,3,30843,0,0,791,"",8.58,1.40,1.39,1.40,0.89,0.00,0.00,0.64,"",0,0.0,0,0.0,1,50.0,1,50.0,-24844,-44.6,0,0.0,0,0.0,-1045,-56.9
"13031","1","52","74","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,3,3,32016,0,0,821,"",8.66,1.40,1.41,1.46,0.88,0.00,0.00,0.62,"",0,0.0,1,50.0,1,50.0,1,50.0,6339,24.7,0,0.0,0,0.0,-167,-16.9
"13031","1","522","75","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,30843,0,0,791,"",10.40,3.03,2.98,3.02,2.43,0.00,0.00,0.81,"",0,0.0,0,0.0,1,50.0,1,50.0,-24844,-44.6,0,0.0,0,0.0,-1045,-56.9
"13031","1","522","75","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,32016,0,0,821,"",10.51,3.01,3.04,3.14,2.37,0.00,0.00,0.78,"",0,0.0,1,50.0,1,50.0,1,50.0,6339,24.7,0,0.0,0,0.0,-167,-16.9
"13031","1","5222","76","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,30843,0,0,791,"",10.41,3.03,2.98,3.02,2.43,0.00,0.00,0.81,"",0,0.0,0,0.0,1,50.0,1,50.0,-24844,-44.6,0,0.0,0,0.0,-1045,-56.9
"13031","1","5222","76","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,32016,0,0,821,"",10.53,3.01,3.04,3.14,2.37,0.00,0.00,0.78,"",0,0.0,1,50.0,1,50.0,1,50.0,6339,24.7,0,0.0,0,0.0,-167,-16.9
"13031","1","52229","77","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,30843,0,0,791,"",10.41,3.03,2.98,3.02,2.43,0.00,0.00,0.81,"",0,0.0,0,0.0,1,50.0,1,50.0,-24844,-44.6,0,0.0,0,0.0,-1045,-56.9
"13031","1","52229","77","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,32016,0,0,821,"",10.53,3.01,3.04,3.14,2.37,0.00,0.00,0.78,"",0,0.0,1,50.0,1,50.0,1,50.0,6339,24.7,0,0.0,0,0.0,-167,-16.9
"13031","1","522298","78","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,30843,0,0,791,"",22.27,7.88,7.67,7.74,4.93,0.00,0.00,0.63,"",0,0.0,0,0.0,1,50.0,1,50.0,-24844,-44.6,0,0.0,0,0.0,-1045,-56.9
