"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13039","0","10","70","0","2019","1","","Camden County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",879,14320,14408,14446,156045191,55761524,551988,834,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,462,3.3,464,3.3,333,2.4,9907378,6.8,2444671,4.6,-68375,-11.0,29,3.6
"13039","0","10","70","0","2019","2","","Camden County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",883,14406,14526,14504,163862183,20374914,217984,871,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,326,2.3,363,2.6,324,2.3,9013815,5.8,994581,5.1,-10051,-4.4,29,3.4
"13039","1","10","71","0","2019","1","","Camden County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,2588,2588,2576,41662716,0,0,1240,"",3.09,9.44,9.37,9.35,10.82,0.00,0.00,1.15,"",0,0.0,143,5.8,125,5.1,119,4.8,3428343,9.0,0,0.0,0,0.0,42,3.5
"13039","1","10","71","0","2019","2","","Camden County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,2545,2543,2536,46943572,0,0,1421,"",3.30,9.31,9.24,9.22,10.13,0.00,0.00,1.09,"",1,6.2,67,2.7,33,1.3,-2,-0.1,1286061,2.8,0,0.0,0,0.0,21,1.5
"13039","1","102","72","0","2019","1","","Camden County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,2588,2588,2576,41662716,0,0,1240,"",3.10,9.62,9.55,9.53,11.02,0.00,0.00,1.15,"",0,0.0,143,5.8,125,5.1,119,4.8,3428343,9.0,0,0.0,0,0.0,42,3.5
"13039","1","102","72","0","2019","2","","Camden County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,2545,2543,2536,46943572,0,0,1421,"",3.31,9.48,9.42,9.40,10.33,0.00,0.00,1.09,"",1,6.2,67,2.7,33,1.3,-2,-0.1,1286061,2.8,0,0.0,0,0.0,21,1.5
"13039","1","1021","73","0","2019","1","","Camden County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,111,108,107,1166022,0,0,825,"",1.92,1.68,1.62,1.61,1.70,0.00,0.00,1.04,"",0,0.0,-9,-7.5,-12,-10.0,-12,-10.1,-69806,-5.6,0,0.0,0,0.0,31,3.9
"13039","1","1021","73","0","2019","2","","Camden County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,107,110,109,1375217,0,0,973,"",2.31,1.63,1.66,1.66,1.61,0.00,0.00,0.97,"",1,20.0,-11,-9.3,-11,-9.1,-8,-6.8,-72947,-5.0,0,0.0,0,0.0,34,3.6
"13039","1","1024","73","0","2019","1","","Camden County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,81,80,78,1448269,0,0,1398,"",7.92,12.38,12.22,11.90,13.89,0.00,0.00,1.14,"",0,0.0,15,22.7,11,15.9,7,9.9,215869,17.5,0,0.0,0,0.0,17,1.2
"13039","1","1024","73","0","2019","2","","Camden County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,76,82,82,1783571,0,0,1715,"",7.94,11.77,12.49,12.42,15.38,0.00,0.00,1.26,"",0,0.0,4,5.6,11,15.5,9,12.3,278585,18.5,0,0.0,0,0.0,107,6.7
"13039","1","1025","73","0","2019","1","","Camden County, Georgia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,41,41,41,574761,0,0,1078,"",8.49,0.99,0.99,0.99,1.01,0.00,0.00,1.02,"",0,0.0,0,0.0,0,0.0,-2,-4.7,10233,1.8,0,0.0,0,0.0,36,3.5
"13039","1","1025","73","0","2019","2","","Camden County, Georgia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,40,40,40,676854,0,0,1302,"",8.53,0.97,0.97,0.98,0.94,0.00,0.00,0.97,"",0,0.0,-2,-4.8,-2,-4.8,-3,-7.0,-22576,-3.2,0,0.0,0,0.0,31,2.4
"13039","1","1026","73","0","2019","1","","Camden County, Georgia","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,27,27,27,466055,0,0,1328,"",7.60,6.15,6.06,6.03,12.22,0.00,0.00,2.01,"",0,0.0,1,3.8,1,3.8,2,8.0,39126,9.2,0,0.0,0,0.0,48,3.8
"13039","1","1026","73","0","2019","2","","Camden County, Georgia","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,27,27,33,399148,0,0,1059,"",7.66,6.00,5.49,6.48,9.10,0.00,0.00,1.52,"",0,0.0,1,3.8,3,12.5,1,3.1,41423,11.6,0,0.0,0,0.0,52,5.2
"13039","1","1028","73","0","2019","1","","Camden County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,2328,2332,2323,38007609,0,0,1256,"",3.83,15.69,15.58,15.59,16.20,0.00,0.00,1.04,"",0,0.0,136,6.2,125,5.7,124,5.6,3232921,9.3,0,0.0,0,0.0,40,3.3
"13039","1","1028","73","0","2019","2","","Camden County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,2295,2284,2272,42708782,0,0,1439,"",3.85,15.48,15.34,15.23,15.41,0.00,0.00,1.00,"",0,0.0,75,3.4,32,1.4,-1,0.0,1061576,2.5,0,0.0,0,0.0,14,1.0
"13039","1","44-45","74","0","2019","1","","Camden County, Georgia","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,48,45,45,387243,0,0,648,"",17.40,10.91,10.25,10.35,15.83,0.00,0.00,1.51,"",0,0.0,-4,-7.7,-7,-13.5,-5,-10.0,-62526,-13.9,0,0.0,0,0.0,-26,-3.9
"13039","1","44-45","74","0","2019","2","","Camden County, Georgia","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,43,42,42,441399,0,0,802,"",17.46,10.00,9.77,9.81,15.36,0.00,0.00,1.56,"",0,0.0,-8,-15.7,-9,-17.6,-7,-14.3,-88736,-16.7,0,0.0,0,0.0,-8,-1.0
"13039","1","445","75","0","2019","1","","Camden County, Georgia","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,48,45,45,387243,0,0,648,"",58.64,43.42,40.80,40.97,51.48,0.00,0.00,1.23,"",0,0.0,-4,-7.7,-7,-13.5,-5,-10.0,-62526,-13.9,0,0.0,0,0.0,-26,-3.9
"13039","1","445","75","0","2019","2","","Camden County, Georgia","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,43,42,42,441399,0,0,802,"",58.64,40.21,39.31,39.87,43.78,0.00,0.00,1.10,"",0,0.0,-8,-15.7,-9,-17.6,-7,-14.3,-88736,-16.7,0,0.0,0,0.0,-8,-1.0
"13039","1","4451","76","0","2019","1","","Camden County, Georgia","Federal Government","NAICS 4451 Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,48,45,45,387243,0,0,648,"",58.94,43.45,40.83,41.00,51.50,0.00,0.00,1.23,"",0,0.0,-4,-7.7,-7,-13.5,-5,-10.0,-62526,-13.9,0,0.0,0,0.0,-26,-3.9
