"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13055","0","10","70","0","2019","1","","Chattooga County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",320,6098,6045,6052,50975739,31121599,594567,647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.8,-104,-1.7,-208,-3.3,-231,-3.7,-1808541,-3.4,-577031,-1.8,-213709,-26.4,-3,-0.5
"13055","0","10","70","0","2019","2","","Chattooga County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",321,6034,6073,6033,52674651,11072934,175621,670,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.5,-228,-3.6,-185,-3.0,-245,-3.9,-653945,-1.2,205674,1.9,-48032,-21.5,15,2.3
"13055","1","10","71","0","2019","1","","Chattooga County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,37,35,34,407602,0,0,887,"",2.12,0.32,0.30,0.29,0.32,0.00,0.00,1.06,"",0,0.0,3,8.8,-1,-2.8,2,6.2,627,0.2,0,0.0,0,0.0,-34,-3.7
"13055","1","10","71","0","2019","2","","Chattooga County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,37,37,37,491375,0,0,1022,"",2.14,0.32,0.32,0.32,0.33,0.00,0.00,1.02,"",0,0.0,3,8.8,3,8.8,3,8.8,14706,3.1,0,0.0,0,0.0,-56,-5.2
"13055","1","102","72","0","2019","1","","Chattooga County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,37,35,34,407602,0,0,887,"",2.13,0.32,0.31,0.30,0.33,0.00,0.00,1.06,"",0,0.0,3,8.8,-1,-2.8,2,6.2,627,0.2,0,0.0,0,0.0,-34,-3.7
"13055","1","102","72","0","2019","2","","Chattooga County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,37,37,37,491375,0,0,1022,"",2.14,0.33,0.33,0.33,0.34,0.00,0.00,1.02,"",0,0.0,3,8.8,3,8.8,3,8.8,14706,3.1,0,0.0,0,0.0,-56,-5.2
"13055","1","1021","73","0","2019","1","","Chattooga County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,37,35,34,407602,0,0,887,"",4.21,1.31,1.25,1.22,1.82,0.00,0.00,1.44,"",0,0.0,3,8.8,-1,-2.8,2,6.2,627,0.2,0,0.0,0,0.0,-34,-3.7
"13055","1","1021","73","0","2019","2","","Chattooga County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,37,37,37,491375,0,0,1022,"",4.23,1.34,1.34,1.35,1.79,0.00,0.00,1.33,"",0,0.0,3,8.8,3,8.8,3,8.8,14706,3.1,0,0.0,0,0.0,-56,-5.2
"13055","1","48-49","74","0","2019","1","","Chattooga County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,37,35,34,407602,0,0,887,"",4.33,1.43,1.37,1.33,1.95,0.00,0.00,1.41,"",0,0.0,3,8.8,-1,-2.8,2,6.2,627,0.2,0,0.0,0,0.0,-34,-3.7
"13055","1","48-49","74","0","2019","2","","Chattooga County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,37,37,37,491375,0,0,1022,"",4.35,1.46,1.46,1.48,1.92,0.00,0.00,1.31,"",0,0.0,3,8.8,3,8.8,3,8.8,14706,3.1,0,0.0,0,0.0,-56,-5.2
"13055","1","491","75","0","2019","1","","Chattooga County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,37,35,34,407602,0,0,887,"",4.36,1.46,1.40,1.36,2.04,0.00,0.00,1.45,"",0,0.0,3,8.8,-1,-2.8,2,6.2,627,0.2,0,0.0,0,0.0,-34,-3.7
"13055","1","491","75","0","2019","2","","Chattooga County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,37,37,37,491375,0,0,1022,"",4.38,1.50,1.49,1.51,1.99,0.00,0.00,1.33,"",0,0.0,3,8.8,3,8.8,3,8.8,14706,3.1,0,0.0,0,0.0,-56,-5.2
"13055","1","4911","76","0","2019","1","","Chattooga County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,37,35,34,407602,0,0,887,"",4.36,1.46,1.40,1.36,2.04,0.00,0.00,1.45,"",0,0.0,3,8.8,-1,-2.8,2,6.2,627,0.2,0,0.0,0,0.0,-34,-3.7
"13055","1","4911","76","0","2019","2","","Chattooga County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,37,37,37,491375,0,0,1022,"",4.38,1.50,1.49,1.51,1.99,0.00,0.00,1.33,"",0,0.0,3,8.8,3,8.8,3,8.8,14706,3.1,0,0.0,0,0.0,-56,-5.2
"13055","1","49111","77","0","2019","1","","Chattooga County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,37,35,34,407602,0,0,887,"",4.36,1.46,1.40,1.36,2.04,0.00,0.00,1.45,"",0,0.0,3,8.8,-1,-2.8,2,6.2,627,0.2,0,0.0,0,0.0,-34,-3.7
"13055","1","49111","77","0","2019","2","","Chattooga County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,37,37,37,491375,0,0,1022,"",4.38,1.50,1.49,1.51,1.99,0.00,0.00,1.33,"",0,0.0,3,8.8,3,8.8,3,8.8,14706,3.1,0,0.0,0,0.0,-56,-5.2
