"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13057","0","10","70","0","2019","1","","Cherokee County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5728,63187,63595,63728,675673427,339880512,3870527,818,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",40,0.7,3817,6.4,3448,5.7,3066,5.1,71460778,11.8,27999183,9.0,76986,2.0,44,5.7
"13057","0","10","70","0","2019","2","","Cherokee County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5813,64618,64901,64723,680227011,119888358,1355530,808,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",138,2.4,3943,6.5,3813,6.2,3671,6.0,74211819,12.2,4465054,3.9,-20334,-1.5,43,5.6
"13057","1","10","71","0","2019","1","","Cherokee County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,334,351,354,4504493,0,0,1000,"",0.30,0.28,0.29,0.29,0.27,0.00,0.00,0.95,"",0,0.0,-6,-1.8,-1,-0.3,13,3.8,66120,1.5,0,0.0,0,0.0,8,0.8
"13057","1","10","71","0","2019","2","","Cherokee County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,342,361,350,5161970,0,0,1131,"",0.29,0.28,0.29,0.29,0.27,0.00,0.00,0.94,"",0,0.0,-9,-2.6,27,8.1,8,2.3,136651,2.7,0,0.0,0,0.0,2,0.2
"13057","1","102","72","0","2019","1","","Cherokee County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,334,351,354,4504493,0,0,1000,"",0.30,0.28,0.29,0.30,0.28,0.00,0.00,0.95,"",0,0.0,-6,-1.8,-1,-0.3,13,3.8,66120,1.5,0,0.0,0,0.0,8,0.8
"13057","1","102","72","0","2019","2","","Cherokee County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,342,361,350,5161970,0,0,1131,"",0.30,0.28,0.30,0.29,0.27,0.00,0.00,0.94,"",0,0.0,-9,-2.6,27,8.1,8,2.3,136651,2.7,0,0.0,0,0.0,2,0.2
"13057","1","1021","73","0","2019","1","","Cherokee County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,297,315,317,3848398,0,0,956,"",0.41,1.02,1.07,1.08,1.29,0.00,0.00,1.22,"",0,0.0,-5,-1.7,4,1.3,16,5.3,136622,3.7,0,0.0,0,0.0,19,2.0
"13057","1","1021","73","0","2019","2","","Cherokee County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,306,324,314,4412201,0,0,1079,"",0.41,1.04,1.10,1.07,1.24,0.00,0.00,1.17,"",0,0.0,-6,-1.9,31,10.6,13,4.3,83052,1.9,0,0.0,0,0.0,-24,-2.2
"13057","1","1025","73","0","2019","1","","Cherokee County, Georgia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,11,13,180949,0,0,1129,"",1.30,0.07,0.06,0.07,0.07,0.00,0.00,1.09,"",0,0.0,-2,-13.3,-5,-31.2,-3,-18.8,-26335,-12.7,0,0.0,0,0.0,111,10.9
"13057","1","1025","73","0","2019","2","","Cherokee County, Georgia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,14,14,262320,0,0,1476,"",1.30,0.07,0.08,0.08,0.09,0.00,0.00,1.18,"",0,0.0,-3,-18.8,-2,-12.5,-2,-12.5,15913,6.5,0,0.0,0,0.0,291,24.6
"13057","1","1028","73","0","2019","1","","Cherokee County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,24,25,24,475146,0,0,1502,"",0.15,0.04,0.04,0.04,0.05,0.00,0.00,1.26,"",0,0.0,1,4.3,0,0.0,0,0.0,-44167,-8.5,0,0.0,0,0.0,-162,-9.7
"13057","1","1028","73","0","2019","2","","Cherokee County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,23,23,22,487449,0,0,1654,"",0.15,0.03,0.03,0.03,0.04,0.00,0.00,1.24,"",0,0.0,0,0.0,-2,-8.0,-3,-12.0,37686,8.4,0,0.0,0,0.0,232,16.3
"13057","1","48-49","74","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,297,315,317,3848398,0,0,956,"",0.42,1.11,1.17,1.18,1.39,0.00,0.00,1.21,"",0,0.0,-5,-1.7,4,1.3,16,5.3,136622,3.7,0,0.0,0,0.0,19,2.0
"13057","1","48-49","74","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,306,324,314,4412201,0,0,1079,"",0.42,1.13,1.20,1.17,1.33,0.00,0.00,1.15,"",0,0.0,-6,-1.9,31,10.6,13,4.3,83052,1.9,0,0.0,0,0.0,-24,-2.2
"13057","1","491","75","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,297,315,317,3848398,0,0,956,"",0.43,1.13,1.20,1.20,1.46,0.00,0.00,1.24,"",0,0.0,-5,-1.7,4,1.3,16,5.3,136622,3.7,0,0.0,0,0.0,19,2.0
"13057","1","491","75","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,306,324,314,4412201,0,0,1079,"",0.42,1.16,1.22,1.19,1.39,0.00,0.00,1.17,"",0,0.0,-6,-1.9,31,10.6,13,4.3,83052,1.9,0,0.0,0,0.0,-24,-2.2
"13057","1","4911","76","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,297,315,317,3848398,0,0,956,"",0.43,1.13,1.20,1.20,1.46,0.00,0.00,1.24,"",0,0.0,-5,-1.7,4,1.3,16,5.3,136622,3.7,0,0.0,0,0.0,19,2.0
"13057","1","4911","76","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,306,324,314,4412201,0,0,1079,"",0.42,1.16,1.22,1.19,1.39,0.00,0.00,1.17,"",0,0.0,-6,-1.9,31,10.6,13,4.3,83052,1.9,0,0.0,0,0.0,-24,-2.2
"13057","1","49111","77","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,297,315,317,3848398,0,0,956,"",0.43,1.13,1.20,1.20,1.46,0.00,0.00,1.24,"",0,0.0,-5,-1.7,4,1.3,16,5.3,136622,3.7,0,0.0,0,0.0,19,2.0
"13057","1","49111","77","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,306,324,314,4412201,0,0,1079,"",0.42,1.16,1.22,1.19,1.39,0.00,0.00,1.17,"",0,0.0,-6,-1.9,31,10.6,13,4.3,83052,1.9,0,0.0,0,0.0,-24,-2.2
"13057","1","491110","78","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,297,315,317,3848398,0,0,956,"",0.43,1.13,1.20,1.20,1.46,0.00,0.00,1.24,"",0,0.0,-5,-1.7,4,1.3,16,5.3,136622,3.7,0,0.0,0,0.0,19,2.0
"13057","1","491110","78","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,306,324,314,4412201,0,0,1079,"",0.42,1.16,1.22,1.19,1.39,0.00,0.00,1.17,"",0,0.0,-6,-1.9,31,10.6,13,4.3,83052,1.9,0,0.0,0,0.0,-24,-2.2
"13057","1","62","74","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,11,13,180949,0,0,1129,"",1.47,0.07,0.06,0.07,0.08,0.00,0.00,1.09,"",0,0.0,-2,-13.3,-5,-31.2,-3,-18.8,-26335,-12.7,0,0.0,0,0.0,111,10.9
"13057","1","62","74","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,14,14,262320,0,0,1476,"",1.46,0.07,0.08,0.08,0.09,0.00,0.00,1.18,"",0,0.0,-3,-18.8,-2,-12.5,-2,-12.5,15913,6.5,0,0.0,0,0.0,291,24.6
"13057","1","622","75","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,11,13,180949,0,0,1129,"",4.65,0.08,0.07,0.08,0.09,0.00,0.00,1.06,"",0,0.0,-2,-13.3,-5,-31.2,-3,-18.8,-26335,-12.7,0,0.0,0,0.0,111,10.9
"13057","1","622","75","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,14,14,262320,0,0,1476,"",4.60,0.08,0.09,0.09,0.10,0.00,0.00,1.15,"",0,0.0,-3,-18.8,-2,-12.5,-2,-12.5,15913,6.5,0,0.0,0,0.0,291,24.6
"13057","1","6221","76","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 6221 General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,11,13,180949,0,0,1129,"",4.74,0.09,0.07,0.09,0.09,0.00,0.00,1.06,"",0,0.0,-2,-13.3,-5,-31.2,-3,-18.8,-26335,-12.7,0,0.0,0,0.0,111,10.9
"13057","1","6221","76","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 6221 General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,14,14,262320,0,0,1476,"",4.69,0.09,0.09,0.09,0.10,0.00,0.00,1.15,"",0,0.0,-3,-18.8,-2,-12.5,-2,-12.5,15913,6.5,0,0.0,0,0.0,291,24.6
"13057","1","62211","77","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 62211 General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,11,13,180949,0,0,1129,"",4.74,0.09,0.07,0.09,0.09,0.00,0.00,1.06,"",0,0.0,-2,-13.3,-5,-31.2,-3,-18.8,-26335,-12.7,0,0.0,0,0.0,111,10.9
"13057","1","62211","77","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 62211 General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,14,14,262320,0,0,1476,"",4.69,0.09,0.09,0.09,0.10,0.00,0.00,1.15,"",0,0.0,-3,-18.8,-2,-12.5,-2,-12.5,15913,6.5,0,0.0,0,0.0,291,24.6
"13057","1","622110","78","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,11,13,180949,0,0,1129,"",4.74,0.09,0.07,0.09,0.09,0.00,0.00,1.06,"",0,0.0,-2,-13.3,-5,-31.2,-3,-18.8,-26335,-12.7,0,0.0,0,0.0,111,10.9
"13057","1","622110","78","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,14,14,262320,0,0,1476,"",4.69,0.09,0.09,0.09,0.10,0.00,0.00,1.15,"",0,0.0,-3,-18.8,-2,-12.5,-2,-12.5,15913,6.5,0,0.0,0,0.0,291,24.6
"13057","1","92","74","0","2019","1","","Cherokee County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,24,25,24,475146,0,0,1502,"",0.15,0.04,0.04,0.04,0.05,0.00,0.00,1.26,"",0,0.0,1,4.3,0,0.0,0,0.0,-44167,-8.5,0,0.0,0,0.0,-162,-9.7
"13057","1","92","74","0","2019","2","","Cherokee County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,23,23,22,487449,0,0,1654,"",0.15,0.03,0.03,0.03,0.04,0.00,0.00,1.24,"",0,0.0,0,0.0,-2,-8.0,-3,-12.0,37686,8.4,0,0.0,0,0.0,232,16.3
