"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13061","0","10","70","0","2019","1","","Clay County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",61,676,673,685,5093891,2686828,68604,578,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,1.7,177,35.5,188,38.8,192,38.9,1544662,43.5,1067637,65.9,22724,49.5,23,4.1
"13061","0","10","70","0","2019","2","","Clay County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",61,705,674,719,5238823,1363757,33858,576,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,1.7,199,39.3,167,32.9,205,39.9,1541769,41.7,558128,69.3,15479,84.2,17,3.0
"13061","1","10","71","0","2019","1","","Clay County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,41,42,42,967873,0,0,1787,"",8.35,3.17,3.26,3.21,7.70,0.00,0.00,2.40,"",0,0.0,3,7.9,5,13.5,5,13.5,256002,36.0,0,0.0,0,0.0,320,21.8
"13061","1","10","71","0","2019","2","","Clay County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,42,42,41,811571,0,0,1498,"",8.43,3.14,3.29,3.01,5.48,0.00,0.00,1.74,"",0,0.0,4,10.5,4,10.5,2,5.1,89606,12.4,0,0.0,0,0.0,49,3.4
"13061","1","102","72","0","2019","1","","Clay County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,41,42,42,967873,0,0,1787,"",8.37,3.23,3.32,3.28,7.84,0.00,0.00,2.40,"",0,0.0,3,7.9,5,13.5,5,13.5,256002,36.0,0,0.0,0,0.0,320,21.8
"13061","1","102","72","0","2019","2","","Clay County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,42,42,41,811571,0,0,1498,"",8.45,3.20,3.35,3.07,5.59,0.00,0.00,1.74,"",0,0.0,4,10.5,4,10.5,2,5.1,89606,12.4,0,0.0,0,0.0,49,3.4
"13061","1","1021","73","0","2019","1","","Clay County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,6,6,56544,0,0,768,"",11.05,1.60,1.93,1.90,2.52,0.00,0.00,1.39,"",0,0.0,-1,-16.7,0,0.0,0,0.0,-1955,-3.3,0,0.0,0,0.0,18,2.4
"13061","1","1021","73","0","2019","2","","Clay County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,6,6,6,69689,0,0,893,"",11.14,1.87,1.96,1.84,2.55,0.00,0.00,1.35,"",0,0.0,0,0.0,0,0.0,0,0.0,937,1.4,0,0.0,0,0.0,12,1.4
"13061","1","1024","73","0","2019","1","","Clay County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,36,36,36,911329,0,0,1947,"",114.10,116.56,117.71,115.84,267.74,0.00,0.00,2.29,"",0,0.0,4,12.5,5,16.1,5,16.1,257957,39.5,0,0.0,0,0.0,343,21.4
"13061","1","1024","73","0","2019","2","","Clay County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,36,36,35,741882,0,0,1600,"",114.88,113.93,118.13,106.96,200.14,0.00,0.00,1.77,"",0,0.0,4,12.5,4,12.5,2,6.1,88669,13.6,0,0.0,0,0.0,46,3.0
"13061","1","48-49","74","0","2019","1","","Clay County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,5,6,6,56544,0,0,768,"",11.36,1.74,2.11,2.07,2.70,0.00,0.00,1.37,"",0,0.0,-1,-16.7,0,0.0,0,0.0,-1955,-3.3,0,0.0,0,0.0,18,2.4
"13061","1","48-49","74","0","2019","2","","Clay County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,6,6,6,69689,0,0,893,"",11.45,2.03,2.13,2.01,2.74,0.00,0.00,1.33,"",0,0.0,0,0.0,0,0.0,0,0.0,937,1.4,0,0.0,0,0.0,12,1.4
"13061","1","491","75","0","2019","1","","Clay County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,6,6,56544,0,0,768,"",11.43,1.78,2.15,2.12,2.84,0.00,0.00,1.41,"",0,0.0,-1,-16.7,0,0.0,0,0.0,-1955,-3.3,0,0.0,0,0.0,18,2.4
"13061","1","491","75","0","2019","2","","Clay County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,6,69689,0,0,893,"",11.53,2.08,2.18,2.05,2.84,0.00,0.00,1.35,"",0,0.0,0,0.0,0,0.0,0,0.0,937,1.4,0,0.0,0,0.0,12,1.4
