"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13063","0","10","70","0","2019","1","","Clayton County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3996,121690,121728,122104,2195433670,769433788,7326678,1386,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,0.6,2770,2.3,1419,1.2,1251,1.0,132674087,6.4,1025988,0.1,-929205,-11.3,64,4.8
"13063","0","10","70","0","2019","2","","Clayton County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4081,123139,123117,123260,1700526488,194756952,2356984,1062,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",104,2.6,951,0.8,1150,0.9,333,0.3,70956751,4.4,-1012998,-0.5,-277373,-10.5,38,3.7
"13063","1","10","71","0","2019","1","","Clayton County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,1433,1418,1409,27316184,0,0,1480,"",1.15,0.62,0.61,0.61,0.50,0.00,0.00,0.83,"",0,0.0,67,4.9,71,5.3,59,4.4,2300136,9.2,0,0.0,0,0.0,59,4.2
"13063","1","10","71","0","2019","2","","Clayton County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,1438,1422,1419,27614834,0,0,1489,"",1.09,0.62,0.61,0.61,0.57,0.00,0.00,0.94,"",-1,-3.7,83,6.1,86,6.4,74,5.5,1911062,7.4,0,0.0,0,0.0,19,1.3
"13063","1","102","72","0","2019","1","","Clayton County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,1433,1418,1409,27316184,0,0,1480,"",1.15,0.63,0.62,0.62,0.51,0.00,0.00,0.83,"",0,0.0,67,4.9,71,5.3,59,4.4,2300136,9.2,0,0.0,0,0.0,59,4.2
"13063","1","102","72","0","2019","2","","Clayton County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,1438,1422,1419,27614834,0,0,1489,"",1.09,0.63,0.62,0.62,0.59,0.00,0.00,0.94,"",-1,-3.7,83,6.1,86,6.4,74,5.5,1911062,7.4,0,0.0,0,0.0,19,1.3
"13063","1","1021","73","0","2019","1","","Clayton County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,755,735,729,12023228,0,0,1250,"",1.01,1.34,1.31,1.30,1.24,0.00,0.00,0.94,"",0,0.0,46,6.5,51,7.5,40,5.8,412680,3.6,0,0.0,0,0.0,-37,-2.9
"13063","1","1021","73","0","2019","2","","Clayton County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,732,727,716,13429752,0,0,1425,"",1.00,1.30,1.30,1.28,1.52,0.00,0.00,1.17,"",0,0.0,31,4.4,37,5.4,20,2.9,609431,4.8,0,0.0,0,0.0,7,0.5
"13063","1","1022","73","0","2019","1","","Clayton County, Georgia","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,45,50,50,793438,0,0,1263,"",40.66,8.19,9.18,9.19,6.60,0.00,0.00,0.75,"",0,0.0,-5,-10.0,1,2.0,0,0.0,-55822,-6.6,0,0.0,0,0.0,-52,-4.0
"13063","1","1022","73","0","2019","2","","Clayton County, Georgia","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,50,49,50,735053,0,0,1138,"",39.88,9.10,9.13,9.18,7.33,0.00,0.00,0.80,"",0,0.0,0,0.0,-1,-2.0,0,0.0,20528,2.9,0,0.0,0,0.0,39,3.5
