"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13067","0","10","70","0","2019","1","","Cobb County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",21704,366527,367669,369620,5956081627,2373965760,30809544,1245,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-114,-0.5,11774,3.3,10512,2.9,8601,2.4,281879801,5.0,83164836,3.6,-2042394,-6.2,25,2.0
"13067","0","10","70","0","2019","2","","Cobb County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",21865,371791,373940,374136,5397620471,663518699,8957925,1112,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",243,1.1,7817,2.1,7279,2.0,8202,2.2,333025924,6.6,1880812,0.3,-690583,-7.2,46,4.3
"13067","1","10","71","0","2019","1","","Cobb County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,2487,2495,2512,42845882,0,0,1319,"",0.36,0.35,0.35,0.36,0.29,0.00,0.00,0.82,"",0,0.0,-38,-1.5,0,0.0,6,0.2,921675,2.2,0,0.0,0,0.0,33,2.6
"13067","1","10","71","0","2019","2","","Cobb County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",45,2489,2518,2512,47924581,0,0,1471,"",0.35,0.35,0.36,0.35,0.31,0.00,0.00,0.89,"",-1,-2.2,-27,-1.1,22,0.9,4,0.2,1060883,2.3,0,0.0,0,0.0,33,2.3
"13067","1","102","72","0","2019","1","","Cobb County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,2487,2495,2512,42845882,0,0,1319,"",0.36,0.36,0.36,0.36,0.30,0.00,0.00,0.82,"",0,0.0,-38,-1.5,0,0.0,6,0.2,921675,2.2,0,0.0,0,0.0,33,2.6
"13067","1","102","72","0","2019","2","","Cobb County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",45,2489,2518,2512,47924581,0,0,1471,"",0.35,0.36,0.36,0.36,0.32,0.00,0.00,0.89,"",-1,-2.2,-27,-1.1,22,0.9,4,0.2,1060883,2.3,0,0.0,0,0.0,33,2.3
"13067","1","1021","73","0","2019","1","","Cobb County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,927,949,954,13605199,0,0,1109,"",0.23,0.55,0.56,0.56,0.52,0.00,0.00,0.93,"",0,0.0,-27,-2.8,12,1.3,23,2.5,658424,5.1,0,0.0,0,0.0,50,4.7
"13067","1","1021","73","0","2019","2","","Cobb County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,924,967,943,15405610,0,0,1254,"",0.23,0.54,0.57,0.56,0.55,0.00,0.00,0.98,"",0,0.0,-22,-2.3,34,3.6,8,0.9,520971,3.5,0,0.0,0,0.0,33,2.7
"13067","1","1023","73","0","2019","1","","Cobb County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,75449,0,0,2902,"",0.59,0.07,0.07,0.07,0.08,0.00,0.00,1.28,"",0,0.0,1,100.0,1,100.0,1,100.0,16573,28.1,0,0.0,0,0.0,-1627,-35.9
"13067","1","1023","73","0","2019","2","","Cobb County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,84264,0,0,3241,"",0.60,0.07,0.07,0.07,0.10,0.00,0.00,1.46,"",0,0.0,1,100.0,1,100.0,1,100.0,29254,53.2,0,0.0,0,0.0,-991,-23.4
