"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13073","0","10","70","0","2019","1","","Columbia County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2569,35423,35908,36126,344183304,182635247,2248387,739,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",67,2.7,1824,5.4,2136,6.3,2176,6.4,15530905,4.7,17934588,10.9,-43045,-1.9,-10,-1.3
"13073","0","10","70","0","2019","2","","Columbia County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2594,36089,36145,36056,357171520,65373787,789239,761,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",86,3.4,1774,5.2,1666,4.8,1688,4.9,33327752,10.3,2766985,4.4,-19741,-2.4,37,5.1
"13073","1","10","71","0","2019","1","","Columbia County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,394,411,422,8299828,0,0,1561,"",0.46,0.58,0.60,0.61,0.98,0.00,0.00,1.64,"",0,0.0,-4,-1.0,7,1.7,21,5.2,1033358,14.2,0,0.0,0,0.0,167,12.0
"13073","1","10","71","0","2019","2","","Columbia County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,417,417,424,8187238,0,0,1502,"",0.46,0.61,0.61,0.62,0.81,0.00,0.00,1.32,"",0,0.0,18,4.5,23,5.8,29,7.3,590872,7.8,0,0.0,0,0.0,26,1.8
"13073","1","102","72","0","2019","1","","Columbia County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,394,411,422,8299828,0,0,1561,"",0.46,0.59,0.61,0.62,1.00,0.00,0.00,1.64,"",0,0.0,-4,-1.0,7,1.7,21,5.2,1033358,14.2,0,0.0,0,0.0,167,12.0
"13073","1","102","72","0","2019","2","","Columbia County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,417,417,424,8187238,0,0,1502,"",0.46,0.62,0.62,0.63,0.83,0.00,0.00,1.32,"",0,0.0,18,4.5,23,5.8,29,7.3,590872,7.8,0,0.0,0,0.0,26,1.8
"13073","1","1021","73","0","2019","1","","Columbia County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,123,136,141,1506180,0,0,869,"",0.52,0.75,0.82,0.85,0.99,0.00,0.00,1.23,"",0,0.0,7,6.0,15,12.4,20,16.5,140134,10.3,0,0.0,0,0.0,-12,-1.4
"13073","1","1021","73","0","2019","2","","Columbia County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,137,132,136,1761095,0,0,1003,"",0.52,0.83,0.80,0.83,0.95,0.00,0.00,1.15,"",0,0.0,14,11.4,15,12.8,18,15.3,108766,6.6,0,0.0,0,0.0,-62,-5.8
"13073","1","1025","73","0","2019","1","","Columbia County, Georgia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,55,55,56,1419451,0,0,1973,"",2.90,0.54,0.53,0.54,1.13,0.00,0.00,2.11,"",0,0.0,-17,-23.6,-14,-20.3,-7,-11.1,34707,2.5,0,0.0,0,0.0,407,26.0
"13073","1","1025","73","0","2019","2","","Columbia County, Georgia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,55,53,52,1251479,0,0,1805,"",2.90,0.53,0.52,0.51,0.80,0.00,0.00,1.53,"",0,0.0,-9,-14.1,-12,-18.5,-9,-14.8,-74220,-5.6,0,0.0,0,0.0,195,12.1
"13073","1","1028","73","0","2019","1","","Columbia County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,216,220,225,5374197,0,0,1876,"",0.33,0.59,0.59,0.60,1.04,0.00,0.00,1.75,"",0,0.0,6,2.9,6,2.8,8,3.7,858517,19.0,0,0.0,0,0.0,250,15.4
"13073","1","1028","73","0","2019","2","","Columbia County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,225,232,236,5174664,0,0,1723,"",0.33,0.61,0.63,0.64,0.86,0.00,0.00,1.38,"",0,0.0,13,6.1,20,9.4,20,9.3,556326,12.0,0,0.0,0,0.0,58,3.5
"13073","1","48-49","74","0","2019","1","","Columbia County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,123,136,141,1506180,0,0,869,"",0.54,0.82,0.89,0.92,1.07,0.00,0.00,1.21,"",0,0.0,7,6.0,15,12.4,20,16.5,140134,10.3,0,0.0,0,0.0,-12,-1.4
"13073","1","48-49","74","0","2019","2","","Columbia County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,137,132,136,1761095,0,0,1003,"",0.54,0.91,0.87,0.91,1.01,0.00,0.00,1.13,"",0,0.0,14,11.4,15,12.8,18,15.3,108766,6.6,0,0.0,0,0.0,-62,-5.8
"13073","1","491","75","0","2019","1","","Columbia County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,123,136,141,1506180,0,0,869,"",0.54,0.84,0.91,0.94,1.12,0.00,0.00,1.25,"",0,0.0,7,6.0,15,12.4,20,16.5,140134,10.3,0,0.0,0,0.0,-12,-1.4
"13073","1","491","75","0","2019","2","","Columbia County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,137,132,136,1761095,0,0,1003,"",0.54,0.93,0.89,0.93,1.05,0.00,0.00,1.15,"",0,0.0,14,11.4,15,12.8,18,15.3,108766,6.6,0,0.0,0,0.0,-62,-5.8
"13073","1","4911","76","0","2019","1","","Columbia County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,123,136,141,1506180,0,0,869,"",0.54,0.84,0.91,0.94,1.12,0.00,0.00,1.25,"",0,0.0,7,6.0,15,12.4,20,16.5,140134,10.3,0,0.0,0,0.0,-12,-1.4
"13073","1","4911","76","0","2019","2","","Columbia County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,137,132,136,1761095,0,0,1003,"",0.54,0.93,0.89,0.93,1.05,0.00,0.00,1.15,"",0,0.0,14,11.4,15,12.8,18,15.3,108766,6.6,0,0.0,0,0.0,-62,-5.8
"13073","1","49111","77","0","2019","1","","Columbia County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,123,136,141,1506180,0,0,869,"",0.54,0.84,0.91,0.94,1.12,0.00,0.00,1.25,"",0,0.0,7,6.0,15,12.4,20,16.5,140134,10.3,0,0.0,0,0.0,-12,-1.4
"13073","1","49111","77","0","2019","2","","Columbia County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,137,132,136,1761095,0,0,1003,"",0.54,0.93,0.89,0.93,1.05,0.00,0.00,1.15,"",0,0.0,14,11.4,15,12.8,18,15.3,108766,6.6,0,0.0,0,0.0,-62,-5.8
"13073","1","491110","78","0","2019","1","","Columbia County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,123,136,141,1506180,0,0,869,"",0.54,0.84,0.91,0.94,1.12,0.00,0.00,1.25,"",0,0.0,7,6.0,15,12.4,20,16.5,140134,10.3,0,0.0,0,0.0,-12,-1.4
"13073","1","491110","78","0","2019","2","","Columbia County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,137,132,136,1761095,0,0,1003,"",0.54,0.93,0.89,0.93,1.05,0.00,0.00,1.15,"",0,0.0,14,11.4,15,12.8,18,15.3,108766,6.6,0,0.0,0,0.0,-62,-5.8
"13073","1","62","74","0","2019","1","","Columbia County, Georgia","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,55,55,56,1419451,0,0,1973,"",3.27,0.56,0.55,0.56,1.16,0.00,0.00,2.11,"",0,0.0,-17,-23.6,-14,-20.3,-7,-11.1,34707,2.5,0,0.0,0,0.0,407,26.0
