"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13087","0","10","70","0","2019","1","","Decatur County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",631,8334,8387,8403,74350536,36958904,372331,683,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-1.7,111,1.3,124,1.5,131,1.6,2186637,3.0,1316278,3.7,-2649,-0.7,10,1.5
"13087","0","10","70","0","2019","2","","Decatur County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",636,8720,8751,8890,76667096,15237843,166686,671,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-1.9,252,3.0,83,1.0,-1,0.0,3094980,4.2,-357372,-2.3,-11677,-6.5,19,2.9
"13087","1","10","71","0","2019","1","","Decatur County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,46,47,47,547553,0,0,903,"",1.88,0.29,0.29,0.29,0.30,0.00,0.00,1.03,"",0,0.0,-5,-9.8,0,0.0,-6,-11.3,-74440,-12.0,0,0.0,0,0.0,-48,-5.0
"13087","1","10","71","0","2019","2","","Decatur County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,48,45,47,584696,0,0,964,"",1.89,0.29,0.27,0.28,0.27,0.00,0.00,0.96,"",0,0.0,-6,-11.1,0,0.0,-2,-4.1,-7778,-1.3,0,0.0,0,0.0,40,4.3
"13087","1","102","72","0","2019","1","","Decatur County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,46,47,47,547553,0,0,903,"",1.89,0.29,0.30,0.30,0.30,0.00,0.00,1.02,"",0,0.0,-5,-9.8,0,0.0,-6,-11.3,-74440,-12.0,0,0.0,0,0.0,-48,-5.0
"13087","1","102","72","0","2019","2","","Decatur County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,48,45,47,584696,0,0,964,"",1.89,0.30,0.28,0.28,0.27,0.00,0.00,0.96,"",0,0.0,-6,-11.1,0,0.0,-2,-4.1,-7778,-1.3,0,0.0,0,0.0,40,4.3
"13087","1","1021","73","0","2019","1","","Decatur County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,33,34,34,381427,0,0,872,"",2.14,0.86,0.88,0.88,1.16,0.00,0.00,1.34,"",0,0.0,-4,-10.8,-1,-2.9,-3,-8.1,-5526,-1.4,0,0.0,0,0.0,53,6.5
"13087","1","1021","73","0","2019","2","","Decatur County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,32,33,35,437445,0,0,1009,"",2.14,0.80,0.83,0.87,1.09,0.00,0.00,1.31,"",0,0.0,-6,-15.8,-2,-5.7,3,9.4,-3395,-0.8,0,0.0,0,0.0,40,4.1
"13087","1","1028","73","0","2019","1","","Decatur County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,13,13,166126,0,0,983,"",2.00,0.15,0.15,0.15,0.15,0.00,0.00,0.99,"",0,0.0,-1,-7.1,1,8.3,-3,-18.8,-68914,-29.3,0,0.0,0,0.0,-308,-23.9
"13087","1","1028","73","0","2019","2","","Decatur County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,16,12,12,147251,0,0,850,"",2.01,0.18,0.13,0.13,0.11,0.00,0.00,0.77,"",0,0.0,0,0.0,2,20.0,-5,-29.4,-4383,-2.9,0,0.0,0,0.0,36,4.4
