"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13101","0","10","70","0","2019","1","","Echols County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",49,692,682,677,6445014,3570065,15041,725,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-3.9,42,6.5,28,4.3,-8,-1.2,444627,7.4,340381,10.5,-2200,-12.8,29,4.2
"13101","0","10","70","0","2019","2","","Echols County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",52,676,639,642,7220483,1657718,6186,851,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,6.1,-53,-7.3,10,1.6,7,1.1,471818,7.0,471710,39.8,1543,33.2,70,9.0
"13101","1","10","71","0","2019","1","-","Echols County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13101","1","10","71","0","2019","2","","Echols County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,0,1,1,5435,0,0,627,"",3.30,0.00,0.08,0.08,0.03,0.00,0.00,0.49,"",0,0.0,-1,-100.0,0,0.0,0,0.0,-2583,-32.2,0,0.0,0,0.0,10,1.6
"13101","1","102","72","0","2019","1","-","Echols County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13101","1","102","72","0","2019","2","","Echols County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,0,1,1,5435,0,0,627,"",3.30,0.00,0.08,0.08,0.03,0.00,0.00,0.49,"",0,0.0,-1,-100.0,0,0.0,0,0.0,-2583,-32.2,0,0.0,0,0.0,10,1.6
"13101","1","1021","73","0","2019","1","-","Echols County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13101","1","1021","73","0","2019","2","","Echols County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,1,1,5435,0,0,627,"",6.54,0.00,0.34,0.34,0.14,0.00,0.00,0.64,"",0,0.0,-1,-100.0,0,0.0,0,0.0,-2583,-32.2,0,0.0,0,0.0,10,1.6
"13101","1","48-49","74","0","2019","1","-","Echols County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13101","1","48-49","74","0","2019","2","","Echols County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,1,1,5435,0,0,627,"",6.72,0.00,0.37,0.37,0.15,0.00,0.00,0.63,"",0,0.0,-1,-100.0,0,0.0,0,0.0,-2583,-32.2,0,0.0,0,0.0,10,1.6
"13101","1","491","75","0","2019","1","-","Echols County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13101","1","491","75","0","2019","2","","Echols County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,1,1,5435,0,0,627,"",6.76,0.00,0.38,0.38,0.16,0.00,0.00,0.64,"",0,0.0,-1,-100.0,0,0.0,0,0.0,-2583,-32.2,0,0.0,0,0.0,10,1.6
"13101","1","4911","76","0","2019","1","-","Echols County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13101","1","4911","76","0","2019","2","","Echols County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,1,1,5435,0,0,627,"",6.76,0.00,0.38,0.38,0.16,0.00,0.00,0.64,"",0,0.0,-1,-100.0,0,0.0,0,0.0,-2583,-32.2,0,0.0,0,0.0,10,1.6
"13101","1","49111","77","0","2019","1","-","Echols County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13101","1","49111","77","0","2019","2","","Echols County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,1,1,5435,0,0,627,"",6.76,0.00,0.38,0.38,0.16,0.00,0.00,0.64,"",0,0.0,-1,-100.0,0,0.0,0,0.0,-2583,-32.2,0,0.0,0,0.0,10,1.6
