"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13107","0","10","70","0","2019","1","","Emanuel County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",411,6547,6560,6583,56955925,27702964,348872,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-2.6,55,0.8,-52,-0.8,1,0.0,-1814405,-3.1,-350199,-1.2,-86684,-19.9,-21,-3.0
"13107","0","10","70","0","2019","2","","Emanuel County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",418,6589,6691,6532,56547000,10193387,145578,659,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.7,-22,-0.3,181,2.8,170,2.7,2886487,5.4,-197657,-1.9,-31989,-18.0,23,3.6
"13107","1","10","71","0","2019","1","","Emanuel County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,59,60,58,717317,0,0,935,"",3.30,0.47,0.48,0.46,0.51,0.00,0.00,1.09,"",-1,-11.1,-6,-9.2,1,1.7,-6,-9.4,-45860,-6.0,0,0.0,0,0.0,-2,-0.2
"13107","1","10","71","0","2019","2","","Emanuel County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,61,59,58,794660,0,0,1030,"",3.69,0.49,0.47,0.47,0.50,0.00,0.00,1.05,"",1,12.5,1,1.7,1,1.7,0,0.0,-2465,-0.3,0,0.0,0,0.0,-15,-1.4
"13107","1","102","72","0","2019","1","","Emanuel County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,59,60,58,717317,0,0,935,"",3.31,0.48,0.49,0.47,0.52,0.00,0.00,1.08,"",-1,-11.1,-6,-9.2,1,1.7,-6,-9.4,-45860,-6.0,0,0.0,0,0.0,-2,-0.2
"13107","1","102","72","0","2019","2","","Emanuel County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,61,59,58,794660,0,0,1030,"",3.70,0.50,0.47,0.48,0.51,0.00,0.00,1.05,"",1,12.5,1,1.7,1,1.7,0,0.0,-2465,-0.3,0,0.0,0,0.0,-15,-1.4
"13107","1","1021","73","0","2019","1","","Emanuel County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,47,45,47,550490,0,0,914,"",4.10,1.55,1.49,1.55,2.19,0.00,0.00,1.43,"",-1,-16.7,-3,-6.0,-4,-8.2,-3,-6.0,-30928,-5.3,0,0.0,0,0.0,14,1.6
"13107","1","1021","73","0","2019","2","","Emanuel County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,47,48,47,634662,0,0,1031,"",4.88,1.56,1.58,1.59,2.15,0.00,0.00,1.37,"",1,20.0,-3,-6.0,-1,-2.0,-2,-4.1,-20259,-3.1,0,0.0,0,0.0,10,1.0
"13107","1","1028","73","0","2019","1","","Emanuel County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,15,11,166827,0,0,1013,"",3.07,0.18,0.22,0.16,0.19,0.00,0.00,1.04,"",0,0.0,-3,-20.0,5,50.0,-3,-21.4,-14932,-8.2,0,0.0,0,0.0,-62,-5.8
"13107","1","1028","73","0","2019","2","","Emanuel County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,11,11,159998,0,0,1026,"",3.05,0.21,0.16,0.16,0.17,0.00,0.00,0.95,"",0,0.0,4,40.0,2,22.2,2,22.2,17794,12.5,0,0.0,0,0.0,-146,-12.5
