"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13109","0","10","70","0","2019","1","","Evans County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",239,4384,4364,4388,34163570,21267427,114046,600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.6,-83,-1.9,-58,-1.3,-57,-1.3,760257,2.3,530256,2.6,-4334,-3.7,22,3.8
"13109","0","10","70","0","2019","2","","Evans County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",242,4350,4359,4375,36475855,9854095,50963,643,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-9,-0.2,-61,-1.4,21,0.5,1365075,3.9,-127380,-1.3,-5955,-10.5,26,4.2
"13109","1","10","71","0","2019","1","","Evans County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,46,46,46,787767,0,0,1317,"",3.55,0.55,0.55,0.55,0.93,0.00,0.00,1.70,"",-1,-16.7,4,9.5,4,9.5,5,12.2,63705,8.8,0,0.0,0,0.0,-20,-1.5
"13109","1","10","71","0","2019","2","","Evans County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,45,48,44,836307,0,0,1409,"",3.54,0.54,0.58,0.53,0.81,0.00,0.00,1.47,"",-1,-16.7,3,7.1,6,14.3,1,2.3,100127,13.6,0,0.0,0,0.0,71,5.3
"13109","1","102","72","0","2019","1","","Evans County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,46,46,46,787767,0,0,1317,"",3.56,0.56,0.56,0.56,0.95,0.00,0.00,1.70,"",-1,-16.7,4,9.5,4,9.5,5,12.2,63705,8.8,0,0.0,0,0.0,-20,-1.5
"13109","1","102","72","0","2019","2","","Evans County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,45,48,44,836307,0,0,1409,"",3.55,0.56,0.59,0.54,0.83,0.00,0.00,1.47,"",-1,-16.7,3,7.1,6,14.3,1,2.3,100127,13.6,0,0.0,0,0.0,71,5.3
"13109","1","1021","73","0","2019","1","","Evans County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,20,19,19,192937,0,0,768,"",2.82,0.99,0.94,0.94,1.28,0.00,0.00,1.34,"",-1,-33.3,3,17.6,2,11.8,2,11.8,6805,3.7,0,0.0,0,0.0,-74,-8.8
"13109","1","1021","73","0","2019","2","","Evans County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,19,20,20,223390,0,0,874,"",2.81,0.96,1.01,1.01,1.18,0.00,0.00,1.19,"",-1,-33.3,1,5.6,3,17.6,1,5.3,7795,3.6,0,0.0,0,0.0,-47,-5.1
"13109","1","1024","73","0","2019","1","","Evans County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,24972,0,0,1921,"",29.12,0.50,0.50,0.50,1.09,0.00,0.00,2.18,"",0,0.0,0,0.0,0,0.0,0,0.0,292,1.2,0,0.0,0,0.0,23,1.2
"13109","1","1024","73","0","2019","2","","Evans County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,30497,0,0,2346,"",28.96,0.51,0.51,0.50,1.18,0.00,0.00,2.33,"",0,0.0,0,0.0,0,0.0,0,0.0,492,1.6,0,0.0,0,0.0,38,1.6
"13109","1","1028","73","0","2019","1","","Evans County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,25,26,26,569858,0,0,1708,"",3.52,0.55,0.57,0.57,1.11,0.00,0.00,1.96,"",0,0.0,1,4.2,2,8.3,3,13.0,56608,11.0,0,0.0,0,0.0,40,2.4
"13109","1","1028","73","0","2019","2","","Evans County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,25,27,23,582420,0,0,1792,"",3.51,0.56,0.60,0.51,0.94,0.00,0.00,1.69,"",0,0.0,2,8.7,3,12.5,0,0.0,91840,18.7,0,0.0,0,0.0,175,10.8
"13109","1","48-49","74","0","2019","1","","Evans County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,20,19,19,192937,0,0,768,"",2.90,1.08,1.03,1.03,1.38,0.00,0.00,1.32,"",-1,-33.3,3,17.6,2,11.8,2,11.8,6805,3.7,0,0.0,0,0.0,-74,-8.8
"13109","1","48-49","74","0","2019","2","","Evans County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,19,20,20,223390,0,0,874,"",2.89,1.04,1.10,1.10,1.26,0.00,0.00,1.17,"",-1,-33.3,1,5.6,3,17.6,1,5.3,7795,3.6,0,0.0,0,0.0,-47,-5.1
"13109","1","491","75","0","2019","1","","Evans County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,20,19,19,192937,0,0,768,"",2.92,1.10,1.05,1.05,1.44,0.00,0.00,1.36,"",-1,-33.3,3,17.6,2,11.8,2,11.8,6805,3.7,0,0.0,0,0.0,-74,-8.8
