"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13113","0","10","70","0","2019","1","","Fayette County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3548,45907,45924,46253,533691046,245818582,3257175,892,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-23,-0.6,2531,5.8,2354,5.4,2452,5.6,46084288,9.5,12411490,5.3,17073,0.5,31,3.6
"13113","0","10","70","0","2019","2","","Fayette County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3593,44897,45462,45916,517818386,81515432,939623,877,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",57,1.6,1208,2.8,1269,2.9,1234,2.8,28097305,5.7,2985055,3.8,9027,1.0,24,2.8
"13113","1","10","71","0","2019","1","","Fayette County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,522,525,533,14645438,0,0,2139,"",0.57,0.59,0.60,0.60,1.11,0.00,0.00,1.86,"",0,0.0,49,10.4,40,8.2,43,8.8,783230,5.7,0,0.0,0,0.0,-70,-3.2
"13113","1","10","71","0","2019","2","","Fayette County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,529,526,527,14212358,0,0,2073,"",0.57,0.62,0.61,0.61,0.97,0.00,0.00,1.58,"",0,0.0,23,4.5,21,4.2,9,1.7,560177,4.1,0,0.0,0,0.0,13,0.6
"13113","1","102","72","0","2019","1","","Fayette County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,522,525,533,14645438,0,0,2139,"",0.58,0.61,0.61,0.62,1.13,0.00,0.00,1.86,"",0,0.0,49,10.4,40,8.2,43,8.8,783230,5.7,0,0.0,0,0.0,-70,-3.2
"13113","1","102","72","0","2019","2","","Fayette County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,529,526,527,14212358,0,0,2073,"",0.57,0.63,0.62,0.62,0.99,0.00,0.00,1.59,"",0,0.0,23,4.5,21,4.2,9,1.7,560177,4.1,0,0.0,0,0.0,13,0.6
"13113","1","1021","73","0","2019","1","","Fayette County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,362,363,366,10907899,0,0,2307,"",0.57,1.70,1.71,1.72,4.64,0.00,0.00,2.71,"",0,0.0,22,6.5,15,4.3,18,5.2,377423,3.6,0,0.0,0,0.0,-39,-1.7
"13113","1","1021","73","0","2019","2","","Fayette County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,358,360,356,9930201,0,0,2134,"",0.57,1.75,1.74,1.71,3.68,0.00,0.00,2.12,"",0,0.0,2,0.6,4,1.1,-7,-1.9,25539,0.3,0,0.0,0,0.0,8,0.4
"13113","1","1024","73","0","2019","1","","Fayette County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,38,38,38,936240,0,0,1895,"",1.96,1.81,1.82,1.81,2.63,0.00,0.00,1.45,"",0,0.0,4,11.8,4,11.8,5,15.2,-90701,-8.8,0,0.0,0,0.0,-451,-19.2
"13113","1","1024","73","0","2019","2","","Fayette County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,39,38,38,955088,0,0,1917,"",1.95,1.94,1.85,1.82,2.61,0.00,0.00,1.40,"",0,0.0,6,18.2,5,15.2,3,8.6,96384,11.2,0,0.0,0,0.0,-45,-2.3
