"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13119","0","10","70","0","2019","1","","Franklin County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",469,8140,8123,8121,75862942,48173839,613996,718,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,3.5,385,5.0,371,4.8,321,4.1,4674801,6.6,3302789,7.4,-36531,-5.6,13,1.8
"13119","0","10","70","0","2019","2","","Franklin County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",473,8011,7944,7941,74212365,15777254,181128,717,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,3.5,42,0.5,74,0.9,116,1.5,3843101,5.5,269831,1.7,-23900,-11.7,31,4.5
"13119","1","10","71","0","2019","1","","Franklin County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,48,47,48,536136,0,0,865,"",1.81,0.31,0.30,0.31,0.29,0.00,0.00,0.93,"",0,0.0,4,9.1,0,0.0,0,0.0,12296,2.3,0,0.0,0,0.0,-5,-0.6
"13119","1","10","71","0","2019","2","","Franklin County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,48,48,47,641432,0,0,1035,"",1.81,0.32,0.32,0.31,0.31,0.00,0.00,0.97,"",0,0.0,1,2.1,0,0.0,-1,-2.1,30565,5.0,0,0.0,0,0.0,49,5.0
"13119","1","102","72","0","2019","1","","Franklin County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,48,47,48,536136,0,0,865,"",1.81,0.31,0.31,0.32,0.29,0.00,0.00,0.93,"",0,0.0,4,9.1,0,0.0,0,0.0,12296,2.3,0,0.0,0,0.0,-5,-0.6
"13119","1","102","72","0","2019","2","","Franklin County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,48,48,47,641432,0,0,1035,"",1.82,0.32,0.33,0.32,0.31,0.00,0.00,0.97,"",0,0.0,1,2.1,0,0.0,-1,-2.1,30565,5.0,0,0.0,0,0.0,49,5.0
"13119","1","1021","73","0","2019","1","","Franklin County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,48,47,48,536136,0,0,865,"",3.59,1.27,1.25,1.28,1.60,0.00,0.00,1.26,"",0,0.0,4,9.1,0,0.0,0,0.0,12296,2.3,0,0.0,0,0.0,-5,-0.6
"13119","1","1021","73","0","2019","2","","Franklin County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,48,48,47,641432,0,0,1035,"",3.59,1.31,1.33,1.31,1.66,0.00,0.00,1.26,"",0,0.0,1,2.1,0,0.0,-1,-2.1,30565,5.0,0,0.0,0,0.0,49,5.0
"13119","1","48-49","74","0","2019","1","","Franklin County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,48,47,48,536136,0,0,865,"",3.69,1.39,1.37,1.40,1.72,0.00,0.00,1.24,"",0,0.0,4,9.1,0,0.0,0,0.0,12296,2.3,0,0.0,0,0.0,-5,-0.6
"13119","1","48-49","74","0","2019","2","","Franklin County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,48,48,47,641432,0,0,1035,"",3.69,1.43,1.45,1.42,1.78,0.00,0.00,1.24,"",0,0.0,1,2.1,0,0.0,-1,-2.1,30565,5.0,0,0.0,0,0.0,49,5.0
"13119","1","491","75","0","2019","1","","Franklin County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,48,47,48,536136,0,0,865,"",3.72,1.42,1.40,1.43,1.81,0.00,0.00,1.28,"",0,0.0,4,9.1,0,0.0,0,0.0,12296,2.3,0,0.0,0,0.0,-5,-0.6
"13119","1","491","75","0","2019","2","","Franklin County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,48,48,47,641432,0,0,1035,"",3.72,1.46,1.48,1.46,1.85,0.00,0.00,1.26,"",0,0.0,1,2.1,0,0.0,-1,-2.1,30565,5.0,0,0.0,0,0.0,49,5.0
"13119","1","4911","76","0","2019","1","","Franklin County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,48,47,48,536136,0,0,865,"",3.72,1.42,1.40,1.43,1.81,0.00,0.00,1.28,"",0,0.0,4,9.1,0,0.0,0,0.0,12296,2.3,0,0.0,0,0.0,-5,-0.6
"13119","1","4911","76","0","2019","2","","Franklin County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,48,48,47,641432,0,0,1035,"",3.72,1.46,1.48,1.46,1.85,0.00,0.00,1.26,"",0,0.0,1,2.1,0,0.0,-1,-2.1,30565,5.0,0,0.0,0,0.0,49,5.0
"13119","1","49111","77","0","2019","1","","Franklin County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,48,47,48,536136,0,0,865,"",3.72,1.42,1.40,1.43,1.81,0.00,0.00,1.28,"",0,0.0,4,9.1,0,0.0,0,0.0,12296,2.3,0,0.0,0,0.0,-5,-0.6
"13119","1","49111","77","0","2019","2","","Franklin County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,48,48,47,641432,0,0,1035,"",3.72,1.46,1.48,1.46,1.85,0.00,0.00,1.26,"",0,0.0,1,2.1,0,0.0,-1,-2.1,30565,5.0,0,0.0,0,0.0,49,5.0
"13119","1","491110","78","0","2019","1","","Franklin County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,48,47,48,536136,0,0,865,"",3.72,1.42,1.40,1.43,1.81,0.00,0.00,1.28,"",0,0.0,4,9.1,0,0.0,0,0.0,12296,2.3,0,0.0,0,0.0,-5,-0.6
"13119","1","491110","78","0","2019","2","","Franklin County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,48,48,47,641432,0,0,1035,"",3.72,1.46,1.48,1.46,1.85,0.00,0.00,1.26,"",0,0.0,1,2.1,0,0.0,-1,-2.1,30565,5.0,0,0.0,0,0.0,49,5.0
"13119","2","10","71","0","2019","1","","Franklin County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,128,130,129,929464,22415,587,554,"",3.72,0.50,0.50,0.50,0.38,0.16,2.03,0.77,"",0,0.0,-1,-0.8,-1,-0.8,-6,-4.4,-50104,-5.1,3184,16.6,83,16.5,-18,-3.1
"13119","2","10","71","0","2019","2","","Franklin County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,134,136,148,1014344,1903,50,560,"",3.72,0.53,0.54,0.60,0.40,0.02,0.22,0.72,"",0,0.0,2,1.5,0,0.0,8,5.7,26894,2.7,141,8.0,4,8.7,1,0.2
"13119","2","102","72","0","2019","1","","Franklin County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,128,130,129,929464,22415,587,554,"",3.83,0.51,0.51,0.51,0.39,0.17,2.09,0.77,"",0,0.0,-1,-0.8,-1,-0.8,-6,-4.4,-50104,-5.1,3184,16.6,83,16.5,-18,-3.1
"13119","2","102","72","0","2019","2","","Franklin County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,134,136,148,1014344,1903,50,560,"",3.82,0.54,0.55,0.61,0.41,0.02,0.23,0.72,"",0,0.0,2,1.5,0,0.0,8,5.7,26894,2.7,141,8.0,4,8.7,1,0.2
"13119","2","1021","73","0","2019","1","N","Franklin County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",22.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13119","2","1021","73","0","2019","2","N","Franklin County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",22.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13119","2","1022","73","0","2019","1","N","Franklin County, Georgia","State Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",134.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13119","2","1022","73","0","2019","2","N","Franklin County, Georgia","State Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",135.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13119","2","1025","73","0","2019","1","N","Franklin County, Georgia","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.49,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
