"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13133","0","10","70","0","2019","1","","Greene County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",475,6272,6357,6431,62305483,34576344,328157,754,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.4,201,3.3,214,3.5,203,3.3,3033001,5.1,1976529,6.1,-6371,-1.9,12,1.6
"13133","0","10","70","0","2019","2","","Greene County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",485,6473,6444,6498,63110079,12806066,114978,750,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.5,173,2.7,68,1.1,74,1.2,3881313,6.6,-293980,-2.2,-15835,-12.1,34,4.7
"13133","1","10","71","0","2019","1","","Greene County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,47,48,48,502580,0,0,811,"",1.79,0.39,0.39,0.39,0.33,0.00,0.00,0.83,"",0,0.0,2,4.4,0,0.0,0,0.0,-29099,-5.5,0,0.0,0,0.0,-59,-6.8
"13133","1","10","71","0","2019","2","","Greene County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,44,47,48,577521,0,0,959,"",1.77,0.36,0.39,0.39,0.32,0.00,0.00,0.86,"",0,0.0,-4,-8.3,0,0.0,2,4.3,-21598,-3.6,0,0.0,0,0.0,-22,-2.2
"13133","1","102","72","0","2019","1","","Greene County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,47,48,48,502580,0,0,811,"",1.79,0.40,0.40,0.40,0.33,0.00,0.00,0.83,"",0,0.0,2,4.4,0,0.0,0,0.0,-29099,-5.5,0,0.0,0,0.0,-59,-6.8
"13133","1","102","72","0","2019","2","","Greene County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,44,47,48,577521,0,0,959,"",1.77,0.36,0.39,0.40,0.33,0.00,0.00,0.86,"",0,0.0,-4,-8.3,0,0.0,2,4.3,-21598,-3.6,0,0.0,0,0.0,-22,-2.2
"13133","1","1021","73","0","2019","1","","Greene County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,45,46,46,473900,0,0,798,"",2.84,1.55,1.57,1.55,1.73,0.00,0.00,1.11,"",0,0.0,2,4.7,0,0.0,0,0.0,-24711,-5.0,0,0.0,0,0.0,-54,-6.3
"13133","1","1021","73","0","2019","2","","Greene County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,42,45,46,547979,0,0,951,"",2.80,1.42,1.54,1.56,1.67,0.00,0.00,1.11,"",0,0.0,-4,-8.7,0,0.0,2,4.5,-22460,-3.9,0,0.0,0,0.0,-24,-2.5
"13133","1","1028","73","0","2019","1","","Greene County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,28680,0,0,1103,"",0.89,0.03,0.03,0.03,0.03,0.00,0.00,1.01,"",0,0.0,0,0.0,0,0.0,0,0.0,-4388,-13.3,0,0.0,0,0.0,-169,-13.3
"13133","1","1028","73","0","2019","2","","Greene County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,29542,0,0,1136,"",0.88,0.03,0.03,0.03,0.03,0.00,0.00,0.92,"",0,0.0,0,0.0,0,0.0,0,0.0,862,3.0,0,0.0,0,0.0,33,3.0
"13133","1","48-49","74","0","2019","1","","Greene County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,45,46,46,473900,0,0,798,"",2.92,1.69,1.71,1.69,1.85,0.00,0.00,1.09,"",0,0.0,2,4.7,0,0.0,0,0.0,-24711,-5.0,0,0.0,0,0.0,-54,-6.3
"13133","1","48-49","74","0","2019","2","","Greene County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,42,45,46,547979,0,0,951,"",2.88,1.55,1.67,1.70,1.79,0.00,0.00,1.09,"",0,0.0,-4,-8.7,0,0.0,2,4.5,-22460,-3.9,0,0.0,0,0.0,-24,-2.5
"13133","1","491","75","0","2019","1","","Greene County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,45,46,46,473900,0,0,798,"",2.94,1.73,1.75,1.73,1.95,0.00,0.00,1.12,"",0,0.0,2,4.7,0,0.0,0,0.0,-24711,-5.0,0,0.0,0,0.0,-54,-6.3
"13133","1","491","75","0","2019","2","","Greene County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,42,45,46,547979,0,0,951,"",2.90,1.58,1.71,1.74,1.86,0.00,0.00,1.11,"",0,0.0,-4,-8.7,0,0.0,2,4.5,-22460,-3.9,0,0.0,0,0.0,-24,-2.5
"13133","1","4911","76","0","2019","1","","Greene County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,45,46,46,473900,0,0,798,"",2.94,1.73,1.75,1.73,1.95,0.00,0.00,1.12,"",0,0.0,2,4.7,0,0.0,0,0.0,-24711,-5.0,0,0.0,0,0.0,-54,-6.3
"13133","1","4911","76","0","2019","2","","Greene County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,42,45,46,547979,0,0,951,"",2.90,1.58,1.71,1.74,1.86,0.00,0.00,1.11,"",0,0.0,-4,-8.7,0,0.0,2,4.5,-22460,-3.9,0,0.0,0,0.0,-24,-2.5
"13133","1","49111","77","0","2019","1","","Greene County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,45,46,46,473900,0,0,798,"",2.94,1.73,1.75,1.73,1.95,0.00,0.00,1.12,"",0,0.0,2,4.7,0,0.0,0,0.0,-24711,-5.0,0,0.0,0,0.0,-54,-6.3
"13133","1","49111","77","0","2019","2","","Greene County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,42,45,46,547979,0,0,951,"",2.90,1.58,1.71,1.74,1.86,0.00,0.00,1.11,"",0,0.0,-4,-8.7,0,0.0,2,4.5,-22460,-3.9,0,0.0,0,0.0,-24,-2.5
"13133","1","491110","78","0","2019","1","","Greene County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,45,46,46,473900,0,0,798,"",2.94,1.73,1.75,1.73,1.95,0.00,0.00,1.12,"",0,0.0,2,4.7,0,0.0,0,0.0,-24711,-5.0,0,0.0,0,0.0,-54,-6.3
"13133","1","491110","78","0","2019","2","","Greene County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,42,45,46,547979,0,0,951,"",2.90,1.58,1.71,1.74,1.86,0.00,0.00,1.11,"",0,0.0,-4,-8.7,0,0.0,2,4.5,-22460,-3.9,0,0.0,0,0.0,-24,-2.5
"13133","1","92","74","0","2019","1","","Greene County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,28680,0,0,1103,"",0.89,0.03,0.03,0.03,0.03,0.00,0.00,1.01,"",0,0.0,0,0.0,0,0.0,0,0.0,-4388,-13.3,0,0.0,0,0.0,-169,-13.3
"13133","1","92","74","0","2019","2","","Greene County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,29542,0,0,1136,"",0.88,0.03,0.03,0.03,0.03,0.00,0.00,0.92,"",0,0.0,0,0.0,0,0.0,0,0.0,862,3.0,0,0.0,0,0.0,33,3.0
"13133","1","924","75","0","2019","1","","Greene County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,28680,0,0,1103,"",4.00,0.54,0.52,0.52,0.56,0.00,0.00,1.06,"",0,0.0,0,0.0,0,0.0,0,0.0,-4388,-13.3,0,0.0,0,0.0,-169,-13.3
"13133","1","924","75","0","2019","2","","Greene County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,29542,0,0,1136,"",3.96,0.51,0.48,0.46,0.54,0.00,0.00,1.13,"",0,0.0,0,0.0,0,0.0,0,0.0,862,3.0,0,0.0,0,0.0,33,3.0
"13133","1","9241","76","0","2019","1","","Greene County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,28680,0,0,1103,"",4.00,0.54,0.52,0.52,0.56,0.00,0.00,1.06,"",0,0.0,0,0.0,0,0.0,0,0.0,-4388,-13.3,0,0.0,0,0.0,-169,-13.3
"13133","1","9241","76","0","2019","2","","Greene County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,29542,0,0,1136,"",3.96,0.51,0.48,0.46,0.54,0.00,0.00,1.13,"",0,0.0,0,0.0,0,0.0,0,0.0,862,3.0,0,0.0,0,0.0,33,3.0
"13133","1","92412","77","0","2019","1","","Greene County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,28680,0,0,1103,"",4.21,0.67,0.64,0.64,0.76,0.00,0.00,1.17,"",0,0.0,0,0.0,0,0.0,0,0.0,-4388,-13.3,0,0.0,0,0.0,-169,-13.3
"13133","1","92412","77","0","2019","2","","Greene County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,29542,0,0,1136,"",4.17,0.62,0.57,0.55,0.72,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,0,0.0,862,3.0,0,0.0,0,0.0,33,3.0
"13133","1","924120","78","0","2019","1","","Greene County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,28680,0,0,1103,"",4.21,0.67,0.64,0.64,0.76,0.00,0.00,1.17,"",0,0.0,0,0.0,0,0.0,0,0.0,-4388,-13.3,0,0.0,0,0.0,-169,-13.3
"13133","1","924120","78","0","2019","2","","Greene County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,29542,0,0,1136,"",4.17,0.62,0.57,0.55,0.72,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,0,0.0,862,3.0,0,0.0,0,0.0,33,3.0
"13133","2","10","71","0","2019","1","","Greene County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,34,35,35,209206,0,0,464,"",2.45,0.17,0.17,0.17,0.11,0.00,0.00,0.61,"",-2,-20.0,-7,-17.1,-6,-14.6,-2,-5.4,-49170,-19.0,0,0.0,0,0.0,-37,-7.4
"13133","2","10","71","0","2019","2","","Greene County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,36,35,35,206075,0,0,449,"",2.42,0.18,0.17,0.17,0.10,0.00,0.00,0.55,"",-1,-11.1,-5,-12.2,-6,-14.6,-5,-12.5,-71154,-25.7,0,0.0,0,0.0,-75,-14.3
"13133","2","102","72","0","2019","1","","Greene County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,34,35,35,209206,0,0,464,"",2.52,0.18,0.18,0.17,0.11,0.00,0.00,0.61,"",-2,-20.0,-7,-17.1,-6,-14.6,-2,-5.4,-49170,-19.0,0,0.0,0,0.0,-37,-7.4
"13133","2","102","72","0","2019","2","","Greene County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,36,35,35,206075,0,0,449,"",2.49,0.18,0.18,0.18,0.10,0.00,0.00,0.55,"",-1,-11.1,-5,-12.2,-6,-14.6,-5,-12.5,-71154,-25.7,0,0.0,0,0.0,-75,-14.3
"13133","2","1021","73","0","2019","1","N","Greene County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",21.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","1021","73","0","2019","2","N","Greene County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",21.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","1022","73","0","2019","1","N","Greene County, Georgia","State Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",66.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","1022","73","0","2019","2","N","Greene County, Georgia","State Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",66.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","1028","73","0","2019","1","","Greene County, Georgia","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,19,20,20,159986,0,0,626,"",2.58,0.25,0.26,0.25,0.21,0.00,0.00,0.84,"",-1,-14.3,-2,-9.5,-1,-4.8,3,17.6,3978,2.5,0,0.0,0,0.0,16,2.6
"13133","2","1028","73","0","2019","2","","Greene County, Georgia","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,19,18,18,151960,0,0,638,"",2.55,0.24,0.23,0.23,0.18,0.00,0.00,0.79,"",0,0.0,-1,-5.0,-2,-10.0,-1,-5.3,-14662,-8.8,0,0.0,0,0.0,-14,-2.1
"13133","2","48-49","74","0","2019","1","N","Greene County, Georgia","State Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",44.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","48-49","74","0","2019","2","N","Greene County, Georgia","State Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",44.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","488","75","0","2019","1","N","Greene County, Georgia","State Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",54.96,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","488","75","0","2019","2","N","Greene County, Georgia","State Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",54.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","4881","76","0","2019","1","N","Greene County, Georgia","State Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",122.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","4881","76","0","2019","2","N","Greene County, Georgia","State Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",122.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","48811","77","0","2019","1","N","Greene County, Georgia","State Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",123.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","48811","77","0","2019","2","N","Greene County, Georgia","State Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",122.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","488111","78","0","2019","1","N","Greene County, Georgia","State Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",131.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","488111","78","0","2019","2","N","Greene County, Georgia","State Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",131.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13133","2","51","74","0","2019","1","N","Greene County, Georgia","State Government","NAICS 51 Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",66.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
