"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13141","0","10","70","0","2019","1","","Hancock County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",73,1463,1460,1445,13691558,5141609,39462,723,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-2.7,-64,-4.2,-77,-5.0,-75,-4.9,-964061,-6.6,-78285,-1.5,-9337,-19.1,-15,-2.0
"13141","0","10","70","0","2019","2","","Hancock County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",71,1460,1477,1334,13205137,1774567,16809,713,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-4.1,-58,-3.8,-39,-2.6,-163,-10.9,43690,0.3,111207,6.7,-2033,-10.8,43,6.4
"13141","1","10","71","0","2019","1","","Hancock County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,15,16,14,156295,0,0,802,"",2.33,0.54,0.57,0.51,0.46,0.00,0.00,0.86,"",0,0.0,-1,-6.2,1,6.7,-1,-6.7,4555,3.0,0,0.0,0,0.0,41,5.4
"13141","1","10","71","0","2019","2","","Hancock County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,13,14,15,181054,0,0,995,"",2.41,0.47,0.50,0.59,0.48,0.00,0.00,0.94,"",0,0.0,-2,-13.3,-2,-12.5,-1,-6.2,-208,-0.1,0,0.0,0,0.0,105,11.8
"13141","1","102","72","0","2019","1","","Hancock County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,15,16,14,156295,0,0,802,"",2.33,0.55,0.58,0.52,0.47,0.00,0.00,0.86,"",0,0.0,-1,-6.2,1,6.7,-1,-6.7,4555,3.0,0,0.0,0,0.0,41,5.4
"13141","1","102","72","0","2019","2","","Hancock County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,13,14,15,181054,0,0,995,"",2.42,0.48,0.51,0.60,0.49,0.00,0.00,0.94,"",0,0.0,-2,-13.3,-2,-12.5,-1,-6.2,-208,-0.1,0,0.0,0,0.0,105,11.8
"13141","1","1021","73","0","2019","1","","Hancock County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,15,16,14,156295,0,0,802,"",4.62,2.22,2.37,2.11,2.59,0.00,0.00,1.16,"",0,0.0,-1,-6.2,1,6.7,-1,-6.7,4555,3.0,0,0.0,0,0.0,41,5.4
"13141","1","1021","73","0","2019","2","","Hancock County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,13,14,15,181054,0,0,995,"",4.79,1.95,2.08,2.48,2.63,0.00,0.00,1.22,"",0,0.0,-2,-13.3,-2,-12.5,-1,-6.2,-208,-0.1,0,0.0,0,0.0,105,11.8
"13141","1","48-49","74","0","2019","1","","Hancock County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,16,14,156295,0,0,802,"",4.75,2.42,2.59,2.29,2.78,0.00,0.00,1.14,"",0,0.0,-1,-6.2,1,6.7,-1,-6.7,4555,3.0,0,0.0,0,0.0,41,5.4
"13141","1","48-49","74","0","2019","2","","Hancock County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,14,15,181054,0,0,995,"",4.92,2.13,2.27,2.71,2.82,0.00,0.00,1.20,"",0,0.0,-2,-13.3,-2,-12.5,-1,-6.2,-208,-0.1,0,0.0,0,0.0,105,11.8
"13141","1","491","75","0","2019","1","","Hancock County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,16,14,156295,0,0,802,"",4.78,2.47,2.65,2.34,2.92,0.00,0.00,1.17,"",0,0.0,-1,-6.2,1,6.7,-1,-6.7,4555,3.0,0,0.0,0,0.0,41,5.4
"13141","1","491","75","0","2019","2","","Hancock County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,14,15,181054,0,0,995,"",4.95,2.17,2.32,2.76,2.93,0.00,0.00,1.22,"",0,0.0,-2,-13.3,-2,-12.5,-1,-6.2,-208,-0.1,0,0.0,0,0.0,105,11.8
"13141","1","4911","76","0","2019","1","","Hancock County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,16,14,156295,0,0,802,"",4.78,2.47,2.65,2.34,2.92,0.00,0.00,1.17,"",0,0.0,-1,-6.2,1,6.7,-1,-6.7,4555,3.0,0,0.0,0,0.0,41,5.4
"13141","1","4911","76","0","2019","2","","Hancock County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,14,15,181054,0,0,995,"",4.95,2.17,2.32,2.76,2.93,0.00,0.00,1.22,"",0,0.0,-2,-13.3,-2,-12.5,-1,-6.2,-208,-0.1,0,0.0,0,0.0,105,11.8
"13141","1","49111","77","0","2019","1","","Hancock County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,16,14,156295,0,0,802,"",4.78,2.47,2.65,2.34,2.92,0.00,0.00,1.17,"",0,0.0,-1,-6.2,1,6.7,-1,-6.7,4555,3.0,0,0.0,0,0.0,41,5.4
"13141","1","49111","77","0","2019","2","","Hancock County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,14,15,181054,0,0,995,"",4.95,2.17,2.32,2.76,2.93,0.00,0.00,1.22,"",0,0.0,-2,-13.3,-2,-12.5,-1,-6.2,-208,-0.1,0,0.0,0,0.0,105,11.8
"13141","1","491110","78","0","2019","1","","Hancock County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,16,14,156295,0,0,802,"",4.78,2.47,2.65,2.34,2.92,0.00,0.00,1.17,"",0,0.0,-1,-6.2,1,6.7,-1,-6.7,4555,3.0,0,0.0,0,0.0,41,5.4
"13141","1","491110","78","0","2019","2","","Hancock County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,14,15,181054,0,0,995,"",4.95,2.17,2.32,2.76,2.93,0.00,0.00,1.22,"",0,0.0,-2,-13.3,-2,-12.5,-1,-6.2,-208,-0.1,0,0.0,0,0.0,105,11.8
"13141","2","10","71","0","2019","1","","Hancock County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,303,302,292,2532082,0,0,651,"",21.92,6.60,6.49,6.34,5.79,0.00,0.00,0.90,"",1,10.0,-30,-9.0,-29,-8.8,-26,-8.2,-300015,-10.6,0,0.0,0,0.0,-15,-2.3
"13141","2","10","71","0","2019","2","","Hancock County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,291,289,287,2534742,0,0,675,"",22.72,6.28,6.22,6.96,5.62,0.00,0.00,0.87,"",1,10.0,-27,-8.5,-26,-8.3,-20,-6.5,-244300,-8.8,0,0.0,0,0.0,-7,-1.0
"13141","2","102","72","0","2019","1","","Hancock County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,303,302,292,2532082,0,0,651,"",22.53,6.71,6.59,6.44,5.88,0.00,0.00,0.89,"",1,10.0,-30,-9.0,-29,-8.8,-26,-8.2,-300015,-10.6,0,0.0,0,0.0,-15,-2.3
"13141","2","102","72","0","2019","2","","Hancock County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,291,289,287,2534742,0,0,675,"",23.35,6.38,6.32,7.08,5.70,0.00,0.00,0.87,"",1,10.0,-27,-8.5,-26,-8.3,-20,-6.5,-244300,-8.8,0,0.0,0,0.0,-7,-1.0
"13141","2","1021","73","0","2019","1","N","Hancock County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",142.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13141","2","1021","73","0","2019","2","N","Hancock County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",147.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13141","2","1022","73","0","2019","1","N","Hancock County, Georgia","State Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",432.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13141","2","1022","73","0","2019","2","N","Hancock County, Georgia","State Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",451.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13141","2","1025","73","0","2019","1","N","Hancock County, Georgia","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",28.63,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13141","2","1025","73","0","2019","2","N","Hancock County, Georgia","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",29.55,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13141","2","1028","73","0","2019","1","N","Hancock County, Georgia","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",16.77,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13141","2","1028","73","0","2019","2","N","Hancock County, Georgia","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",17.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13141","2","48-49","74","0","2019","1","N","Hancock County, Georgia","State Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",289.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13141","2","48-49","74","0","2019","2","N","Hancock County, Georgia","State Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",300.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
