"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13159","0","10","70","0","2019","1","","Jasper County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",189,2263,2278,2297,18474642,9804105,130231,623,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.2,12,0.5,9,0.4,31,1.4,56137,0.3,56102,0.6,-25356,-16.3,-3,-0.5
"13159","0","10","70","0","2019","2","","Jasper County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",190,2333,2368,2302,19114741,3531965,46915,630,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,4.4,114,5.1,125,5.6,67,3.0,544969,2.9,34013,1.0,-4436,-8.6,-10,-1.6
"13159","1","10","71","0","2019","1","","Jasper County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,20,21,22,205752,0,0,754,"",2.69,0.46,0.48,0.50,0.45,0.00,0.00,0.94,"",0,0.0,1,5.3,2,10.5,2,10.0,25065,13.9,0,0.0,0,0.0,35,4.9
"13159","1","10","71","0","2019","2","","Jasper County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,21,22,22,245799,0,0,873,"",2.71,0.47,0.49,0.50,0.45,0.00,0.00,0.93,"",0,0.0,2,10.5,2,10.0,2,10.0,19222,8.5,0,0.0,0,0.0,-13,-1.5
"13159","1","102","72","0","2019","1","","Jasper County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,20,21,22,205752,0,0,754,"",2.70,0.47,0.49,0.51,0.46,0.00,0.00,0.94,"",0,0.0,1,5.3,2,10.5,2,10.0,25065,13.9,0,0.0,0,0.0,35,4.9
"13159","1","102","72","0","2019","2","","Jasper County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,21,22,22,245799,0,0,873,"",2.71,0.48,0.50,0.51,0.46,0.00,0.00,0.93,"",0,0.0,2,10.5,2,10.0,2,10.0,19222,8.5,0,0.0,0,0.0,-13,-1.5
"13159","1","1021","73","0","2019","1","","Jasper County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,20,21,22,205752,0,0,754,"",5.35,1.91,2.00,2.08,2.53,0.00,0.00,1.27,"",0,0.0,1,5.3,2,10.5,2,10.0,25065,13.9,0,0.0,0,0.0,35,4.9
"13159","1","1021","73","0","2019","2","","Jasper County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,21,22,22,245799,0,0,873,"",5.37,1.97,2.04,2.11,2.47,0.00,0.00,1.21,"",0,0.0,2,10.5,2,10.0,2,10.0,19222,8.5,0,0.0,0,0.0,-13,-1.5
"13159","1","48-49","74","0","2019","1","","Jasper County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,20,21,22,205752,0,0,754,"",5.50,2.08,2.18,2.27,2.71,0.00,0.00,1.25,"",0,0.0,1,5.3,2,10.5,2,10.0,25065,13.9,0,0.0,0,0.0,35,4.9
"13159","1","48-49","74","0","2019","2","","Jasper County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,21,22,22,245799,0,0,873,"",5.52,2.15,2.23,2.30,2.64,0.00,0.00,1.19,"",0,0.0,2,10.5,2,10.0,2,10.0,19222,8.5,0,0.0,0,0.0,-13,-1.5
"13159","1","491","75","0","2019","1","","Jasper County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,20,21,22,205752,0,0,754,"",5.53,2.13,2.23,2.32,2.85,0.00,0.00,1.28,"",0,0.0,1,5.3,2,10.5,2,10.0,25065,13.9,0,0.0,0,0.0,35,4.9
"13159","1","491","75","0","2019","2","","Jasper County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,21,22,22,245799,0,0,873,"",5.55,2.20,2.27,2.35,2.75,0.00,0.00,1.21,"",0,0.0,2,10.5,2,10.0,2,10.0,19222,8.5,0,0.0,0,0.0,-13,-1.5
"13159","1","4911","76","0","2019","1","","Jasper County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,20,21,22,205752,0,0,754,"",5.53,2.13,2.23,2.32,2.85,0.00,0.00,1.28,"",0,0.0,1,5.3,2,10.5,2,10.0,25065,13.9,0,0.0,0,0.0,35,4.9
