"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13189","0","10","70","0","2019","1","","McDuffie County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",423,6805,6791,6834,61102430,33994792,851044,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-2.5,78,1.2,0,0.0,-1,0.0,2244759,3.8,1176917,3.6,-4913,-0.6,23,3.4
"13189","0","10","70","0","2019","2","","McDuffie County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",423,6823,6915,6873,59858251,11676224,228028,670,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.2,-50,-0.7,-44,-0.6,-38,-0.5,1452704,2.5,309859,2.7,677,0.3,20,3.1
"13189","1","10","71","0","2019","1","","McDuffie County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,26,30,31,302313,0,0,802,"",1.61,0.20,0.23,0.24,0.20,0.00,0.00,0.90,"",0,0.0,1,4.0,4,15.4,6,24.0,-5870,-1.9,0,0.0,0,0.0,-134,-14.3
"13189","1","10","71","0","2019","2","","McDuffie County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,29,23,24,338936,0,0,1029,"",1.62,0.22,0.18,0.18,0.20,0.00,0.00,1.03,"",0,0.0,4,16.0,-2,-8.0,0,0.0,-20105,-5.6,0,0.0,0,0.0,-91,-8.1
"13189","1","102","72","0","2019","1","","McDuffie County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,26,30,31,302313,0,0,802,"",1.61,0.20,0.23,0.24,0.20,0.00,0.00,0.90,"",0,0.0,1,4.0,4,15.4,6,24.0,-5870,-1.9,0,0.0,0,0.0,-134,-14.3
"13189","1","102","72","0","2019","2","","McDuffie County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,29,23,24,338936,0,0,1029,"",1.62,0.23,0.18,0.19,0.20,0.00,0.00,1.03,"",0,0.0,4,16.0,-2,-8.0,0,0.0,-20105,-5.6,0,0.0,0,0.0,-91,-8.1
"13189","1","1021","73","0","2019","1","","McDuffie County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,23,23,23,266647,0,0,892,"",1.59,0.73,0.73,0.73,0.99,0.00,0.00,1.35,"",0,0.0,1,4.5,0,0.0,0,0.0,4657,1.8,0,0.0,0,0.0,3,0.3
"13189","1","1021","73","0","2019","2","","McDuffie County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,21,20,21,303866,0,0,1131,"",1.61,0.67,0.64,0.67,0.97,0.00,0.00,1.47,"",0,0.0,-2,-8.7,-3,-13.0,-1,-4.5,-18715,-5.8,0,0.0,0,0.0,36,3.3
"13189","1","1028","73","0","2019","1","","McDuffie County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,7,8,35666,0,0,457,"",1.99,0.04,0.10,0.11,0.04,0.00,0.00,0.46,"",0,0.0,0,0.0,4,133.3,6,300.0,-10527,-22.8,0,0.0,0,0.0,-875,-65.7
"13189","1","1028","73","0","2019","2","","McDuffie County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,3,3,35070,0,0,578,"",2.01,0.11,0.04,0.04,0.03,0.00,0.00,0.52,"",0,0.0,6,300.0,1,50.0,1,50.0,-1390,-3.8,0,0.0,0,0.0,-824,-58.8
"13189","1","48-49","74","0","2019","1","","McDuffie County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,23,23,23,266647,0,0,892,"",1.64,0.80,0.80,0.80,1.06,0.00,0.00,1.33,"",0,0.0,1,4.5,0,0.0,0,0.0,4657,1.8,0,0.0,0,0.0,3,0.3
"13189","1","48-49","74","0","2019","2","","McDuffie County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,21,20,21,303866,0,0,1131,"",1.65,0.74,0.69,0.74,1.04,0.00,0.00,1.45,"",0,0.0,-2,-8.7,-3,-13.0,-1,-4.5,-18715,-5.8,0,0.0,0,0.0,36,3.3
"13189","1","491","75","0","2019","1","","McDuffie County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,23,23,23,266647,0,0,892,"",1.65,0.81,0.82,0.81,1.12,0.00,0.00,1.37,"",0,0.0,1,4.5,0,0.0,0,0.0,4657,1.8,0,0.0,0,0.0,3,0.3
"13189","1","491","75","0","2019","2","","McDuffie County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,21,20,21,303866,0,0,1131,"",1.66,0.75,0.71,0.75,1.09,0.00,0.00,1.47,"",0,0.0,-2,-8.7,-3,-13.0,-1,-4.5,-18715,-5.8,0,0.0,0,0.0,36,3.3
"13189","1","4911","76","0","2019","1","","McDuffie County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,23,23,23,266647,0,0,892,"",1.65,0.81,0.82,0.81,1.12,0.00,0.00,1.37,"",0,0.0,1,4.5,0,0.0,0,0.0,4657,1.8,0,0.0,0,0.0,3,0.3
"13189","1","4911","76","0","2019","2","","McDuffie County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,21,20,21,303866,0,0,1131,"",1.66,0.75,0.71,0.75,1.09,0.00,0.00,1.47,"",0,0.0,-2,-8.7,-3,-13.0,-1,-4.5,-18715,-5.8,0,0.0,0,0.0,36,3.3
"13189","1","49111","77","0","2019","1","","McDuffie County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,23,23,23,266647,0,0,892,"",1.65,0.81,0.82,0.81,1.12,0.00,0.00,1.37,"",0,0.0,1,4.5,0,0.0,0,0.0,4657,1.8,0,0.0,0,0.0,3,0.3
"13189","1","49111","77","0","2019","2","","McDuffie County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,21,20,21,303866,0,0,1131,"",1.66,0.75,0.71,0.75,1.09,0.00,0.00,1.47,"",0,0.0,-2,-8.7,-3,-13.0,-1,-4.5,-18715,-5.8,0,0.0,0,0.0,36,3.3
"13189","1","491110","78","0","2019","1","","McDuffie County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,23,23,23,266647,0,0,892,"",1.65,0.81,0.82,0.81,1.12,0.00,0.00,1.37,"",0,0.0,1,4.5,0,0.0,0,0.0,4657,1.8,0,0.0,0,0.0,3,0.3
"13189","1","491110","78","0","2019","2","","McDuffie County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,21,20,21,303866,0,0,1131,"",1.66,0.75,0.71,0.75,1.09,0.00,0.00,1.47,"",0,0.0,-2,-8.7,-3,-13.0,-1,-4.5,-18715,-5.8,0,0.0,0,0.0,36,3.3
"13189","1","92","74","0","2019","1","","McDuffie County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,3,7,8,35666,0,0,457,"",1.99,0.04,0.10,0.11,0.04,0.00,0.00,0.46,"",0,0.0,0,0.0,4,133.3,6,300.0,-10527,-22.8,0,0.0,0,0.0,-875,-65.7
"13189","1","92","74","0","2019","2","","McDuffie County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,8,3,3,35070,0,0,578,"",2.01,0.11,0.04,0.04,0.03,0.00,0.00,0.52,"",0,0.0,6,300.0,1,50.0,1,50.0,-1390,-3.8,0,0.0,0,0.0,-824,-58.8
"13189","1","924","75","0","2019","1","","McDuffie County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,7,8,35666,0,0,457,"",8.98,0.75,1.71,1.97,0.71,0.00,0.00,0.48,"",0,0.0,0,0.0,4,133.3,6,300.0,-10527,-22.8,0,0.0,0,0.0,-875,-65.7
"13189","1","924","75","0","2019","2","","McDuffie County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,3,3,35070,0,0,578,"",9.08,1.92,0.67,0.65,0.68,0.00,0.00,0.65,"",0,0.0,6,300.0,1,50.0,1,50.0,-1390,-3.8,0,0.0,0,0.0,-824,-58.8
"13189","1","9241","76","0","2019","1","","McDuffie County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,7,8,35666,0,0,457,"",8.98,0.75,1.71,1.97,0.71,0.00,0.00,0.48,"",0,0.0,0,0.0,4,133.3,6,300.0,-10527,-22.8,0,0.0,0,0.0,-875,-65.7
"13189","1","9241","76","0","2019","2","","McDuffie County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,3,3,35070,0,0,578,"",9.08,1.92,0.67,0.65,0.68,0.00,0.00,0.65,"",0,0.0,6,300.0,1,50.0,1,50.0,-1390,-3.8,0,0.0,0,0.0,-824,-58.8
"13189","1","92412","77","0","2019","1","","McDuffie County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,3,7,8,35666,0,0,457,"",9.45,0.93,2.09,2.43,0.97,0.00,0.00,0.53,"",0,0.0,0,0.0,4,133.3,6,300.0,-10527,-22.8,0,0.0,0,0.0,-875,-65.7
"13189","1","92412","77","0","2019","2","","McDuffie County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,3,3,35070,0,0,578,"",9.56,2.34,0.80,0.78,0.90,0.00,0.00,0.71,"",0,0.0,6,300.0,1,50.0,1,50.0,-1390,-3.8,0,0.0,0,0.0,-824,-58.8
"13189","1","924120","78","0","2019","1","","McDuffie County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,3,7,8,35666,0,0,457,"",9.45,0.93,2.09,2.43,0.97,0.00,0.00,0.53,"",0,0.0,0,0.0,4,133.3,6,300.0,-10527,-22.8,0,0.0,0,0.0,-875,-65.7
"13189","1","924120","78","0","2019","2","","McDuffie County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,3,3,35070,0,0,578,"",9.56,2.34,0.80,0.78,0.90,0.00,0.00,0.71,"",0,0.0,6,300.0,1,50.0,1,50.0,-1390,-3.8,0,0.0,0,0.0,-824,-58.8
"13189","2","10","71","0","2019","1","","McDuffie County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,174,160,165,1863114,53247,1283,862,"",7.22,0.81,0.74,0.76,0.95,0.55,3.20,1.24,"",0,0.0,-9,-4.9,-23,-12.6,-15,-8.3,-78219,-4.0,1505,2.9,41,3.3,41,5.0
"13189","2","10","71","0","2019","2","","McDuffie County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,131,132,134,1557589,4184,100,905,"",7.28,0.61,0.61,0.63,0.76,0.05,0.35,1.24,"",1,5.0,-54,-29.2,-53,-28.6,-49,-26.8,-425528,-21.5,-512,-10.9,-14,-12.3,77,9.3
"13189","2","102","72","0","2019","1","","McDuffie County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,174,160,165,1863114,53247,1283,862,"",7.42,0.83,0.75,0.77,0.97,0.56,3.30,1.24,"",0,0.0,-9,-4.9,-23,-12.6,-15,-8.3,-78219,-4.0,1505,2.9,41,3.3,41,5.0
"13189","2","102","72","0","2019","2","","McDuffie County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,131,132,134,1557589,4184,100,905,"",7.48,0.61,0.62,0.64,0.77,0.05,0.36,1.24,"",1,5.0,-54,-29.2,-53,-28.6,-49,-26.8,-425528,-21.5,-512,-10.9,-14,-12.3,77,9.3
"13189","2","1021","73","0","2019","1","N","McDuffie County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",24.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13189","2","1021","73","0","2019","2","N","McDuffie County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",24.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
